Metagenome sample,euk_ORF_count,prok_ORF_count,total_ORF_count,euk_ORF_percent,prok_ORF_percent
1903_buk5-1,217466,1420545,1638011,0.13276223419745045,0.8672377658025495
1903_buk5-2,183297,1432456,1615753,0.11344370086269374,0.8865562991373063
1903_buk6-1,83615,1717416,1801031,0.04642618589019289,0.9535738141098071
1903_buk6-2,53306,1199861,1253167,0.0425370281853895,0.9574629718146105
1903buk1_0m-1,1008,11594,12602,0.07998730360260276,0.9200126963973972
1903buk1_0m-2,4965,69928,74893,0.0662945802678488,0.9337054197321512
1903buk2_0m-1,17496,91389,108885,0.16068328970932635,0.8393167102906737
1903buk2_0m-2,43771,471078,514849,0.08501716037129332,0.9149828396287066
1903buk3_0m-1,16309,126155,142464,0.11447804357592094,0.885521956424079
1903buk3_0m-2,10469,91272,101741,0.1028985364798852,0.8971014635201148
1903buk4_0m-1,773,27242,28015,0.02759236123505265,0.9724076387649474
1903buk4_0m-2,1489,60557,62046,0.02399832382425942,0.9760016761757406
1903c111_100m-1,57138,1945861,2002999,0.028526224925723875,0.9714737750742761
1903c111_100m-2,67911,1863480,1931391,0.0351617046988414,0.9648382953011586
1903c111_100m-3,53488,1568900,1622388,0.032968685665821,0.967031314334179
1903c111_10m-1,136340,1804120,1940460,0.07026169052698844,0.9297383094730115
1903c111_10m-2,128508,1472370,1600878,0.08027344994434304,0.919726550055657
1903c111_5m-1,153987,2258196,2412183,0.06383719643161402,0.936162803568386
1903c111_5m-2,232209,2375711,2607920,0.0890399245375625,0.9109600754624375
1903c114_100m-1,29056,1627313,1656369,0.017541984907952272,0.9824580150920478
1903c114_100m-2,39205,1693596,1732801,0.022625217783230733,0.9773747822167692
1903c114_100m-3,58436,2230840,2289276,0.02552597415077955,0.9744740258492205
1903c114_10m-1,11572,184036,195608,0.05915913459572206,0.9408408654042779
1903c114_10m-2,29017,455151,484168,0.059931676608119495,0.9400683233918805
1903c114_5m-2,3438,62196,65634,0.05238138769540177,0.9476186123045982
1903c117_100m-1,45646,1029601,1075247,0.042451641343802866,0.9575483586561971
1903c117_100m-2,22316,677233,699549,0.031900553070621215,0.9680994469293788
1903c117_100m-3,43201,1099018,1142219,0.03782199385581924,0.9621780061441808
1903c117_50m-1,102538,1278532,1381070,0.07424533151831551,0.9257546684816845
1903c117_50m-2,47982,651513,699495,0.0685952008234512,0.9314047991765488
1903c117_5m-1,50950,543944,594894,0.0856455099563956,0.9143544900436044
1903c118_100m-1,59629,1484813,1544442,0.03860876614337087,0.9613912338566292
1903c118_100m-2,65367,1712346,1777713,0.03677027731697974,0.9632297226830203
1903c118_100m-3,97758,2281546,2379304,0.04108680521698783,0.9589131947830122
1903c118_23m-1,30184,264124,294308,0.10255922367044049,0.8974407763295595
1903c118_5m-1,46205,472525,518730,0.08907331366992462,0.9109266863300753
1903c118_5m-2,37627,326398,364025,0.10336377996016757,0.8966362200398325
1903c119_100m-1,36314,1221611,1257925,0.028868175765645807,0.9711318242343542
1903c119_100m-2,45825,1423635,1469460,0.03118492507451717,0.9688150749254828
1903c119_100m-3,108961,1763858,1872819,0.05818020855192093,0.941819791448079
1903c119_11m-1,13487,287098,300585,0.04486917178169237,0.9551308282183076
1903c119_11m-2,27763,592194,619957,0.04478213811603063,0.9552178618839694
1903c119_5m-2,29894,575644,605538,0.0493676697416182,0.9506323302583818
1903c122_100m-1,66332,1144811,1211143,0.05476809922527728,0.9452319007747227
1903c122_100m-2,69989,2801769,2871758,0.02437148255528495,0.975628517444715
1903c122_100m-3,80353,1542393,1622746,0.0495166834489193,0.9504833165510806
1903c122_28m-1,107154,1841171,1948325,0.05499801111210912,0.9450019888878909
1903c122_28m-2,117100,1388301,1505401,0.0777865831097495,0.9222134168902505
1903c122_5m-1,244273,946176,1190449,0.20519400663111145,0.7948059933688886
1903c122_5m-2,235765,1848201,2083966,0.11313284381798935,0.8868671561820106
1903c123_10m-1,134216,1125323,1259539,0.10655962221098354,0.8934403777890164
1903c123_10m-2,108544,955497,1064041,0.10201110671487283,0.8979888932851272
1903c123_5m-2,145315,1190076,1335391,0.10881831613362677,0.8911816838663732
1903c123_70m-1,399385,1771355,2170740,0.18398564544809604,0.816014354551904
1903c123_70m-2,168793,1557118,1725911,0.09779936508892985,0.9022006349110702
1903c123_70m-3,132160,1456833,1588993,0.08317217256463685,0.9168278274353632
1903c124_100m-2,159479,1916989,2076468,0.07680301357882713,0.9231969864211729
1903c124_100m-3,136414,1874942,2011356,0.06782190721085675,0.9321780927891432
1903c124_15m-1,75346,1130116,1205462,0.06250383670327227,0.9374961632967277
1903c124_15m-2,78771,985715,1064486,0.07399909439861116,0.9260009056013888
1903c124_5m-1,165650,1692590,1858240,0.08914349061477528,0.9108565093852248
1903c124_5m-2,119162,1802017,1921179,0.062025454161220794,0.9379745458387793
1903c126_100m-1,47060,2453228,2500288,0.01882183172498528,0.9811781682750147
1903c126_100m-2,136649,1924893,2061542,0.0662848489140653,0.9337151510859347
1903c126_100m-3,71399,1587260,1658659,0.043046219867977686,0.9569537801320224
1903c126_45m-1,226780,834918,1061698,0.21360123123524768,0.7863987687647523
1903c126_45m-2,266972,787376,1054348,0.25321051493434804,0.7467894850656519
1903c126_5m-1,229503,1048685,1278188,0.17955339903050255,0.8204466009694974
1903c126_5m-2,222101,1755570,1977671,0.1123043215984863,0.8876956784015138
1903c127_100m-1,43261,1295324,1338585,0.032318455682679846,0.9676815443173201
1903c127_100m-2,47962,2645422,2693384,0.017807338277794776,0.9821926617222052
1903c127_100m-3,39329,1212917,1252246,0.03140676831868499,0.9685932316813151
1903c127_5m-1,54236,1314717,1368953,0.03961859903152263,0.9603814009684774
1903c127_5m-2,90836,1546043,1636879,0.055493411547218825,0.9445065884527811
1903c127_7m-1,57180,1138445,1195625,0.04782435964453738,0.9521756403554626
1903c127_7m-2,1850,50425,52275,0.03538976566236251,0.9646102343376375
1903c129_100m-1,49351,1302232,1351583,0.03651348085911113,0.9634865191408889
1903c129_100m-2,68353,1524209,1592562,0.042920150047533474,0.9570798499524665
1903c129_100m-3,91907,2002873,2094780,0.04387429706222133,0.9561257029377787
1903c129_26m-1,245467,1703966,1949433,0.12591712564627766,0.8740828743537223
1903c129_26m-2,364939,1303881,1668820,0.2186808643232943,0.7813191356767057
1903c129_5m-1,204976,3369767,3574743,0.057340066125033326,0.9426599338749667
1903c129_5m-2,231599,2234561,2466160,0.09391077626755766,0.9060892237324424
1903c134_12m-1,187613,1398582,1586195,0.11827864795942492,0.8817213520405751
1903c144_13m-1,27936,632125,660061,0.04232336102269336,0.9576766389773066
1903c144_13m-2,59696,1004054,1063750,0.05611844888366627,0.9438815511163338
1903c144_5m-1,179324,2638860,2818184,0.06363104751144709,0.9363689524885529
1903c144_5m-2,191315,2671235,2862550,0.06683376709577125,0.9331662329042287
1903c144_60m-1,48384,1636700,1685084,0.028713108664019122,0.9712868913359809
1903c144_60m-2,39558,1710906,1750464,0.022598579576615114,0.9774014204233848
1903c144_60m-3,61107,2359026,2420133,0.025249438770513853,0.9747505612294861
D0052A_S1,193109,8777347,8970456,0.021527222250463076,0.9784727777495369
D0053A_S2,114318,10104581,10218899,0.011186919451890072,0.9888130805481099
D0057A_S3,284283,5700594,5984877,0.04750022431538693,0.9524997756846131
