# Assembly Statistics Report
# Assembly name:  ASM77533v2
# Organism name:  Vaccinium macrocarpon (eudicots)
# Infraspecific name:  cultivar=Ben Lear (CNJ99-125-1 inbred clone)
# Taxid:          13750
# BioSample:      SAMN02739898
# BioProject:     PRJNA245813
# Submitter:      rutgers university
# Date:           2014-09-04
# Assembly type:  haploid
# Release type:   major
# Assembly level: Scaffold
# Genome representation: full
# WGS project:    JOTO01
# Assembly method: CLC NGS Cell v. CLC Genomic Workbench v6.5.1
# Expected final version: no
# Genome coverage: 20.0x
# Sequencing technology: Illumina GAIIx
# GenBank assembly accession: GCA_000775335.2
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_000775345.2		Primary Assembly
## GCA_002269315.1		non-nuclear
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# gc-perc	gc-count/atgc-count as percentage
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	414621889
all	all	all	all	spanned-gaps	743
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	200203
all	all	all	all	scaffold-N50	4291
all	all	all	all	scaffold-L50	28049
all	all	all	all	scaffold-N75	2085
all	all	all	all	scaffold-N90	917
all	all	all	all	contig-count	200946
all	all	all	all	contig-N50	4278
all	all	all	all	contig-L50	28132
all	all	all	all	total-gap-length	30922
all	all	all	all	molecule-count	2
all	all	all	all	top-level-count	200203
all	all	all	all	component-count	200203
all	all	all	all	gc-perc	37.5
Primary Assembly	all	all	all	total-length	402340004
Primary Assembly	all	all	all	ungapped-length	402313302
Primary Assembly	all	all	all	scaffold-count	197615
Primary Assembly	all	all	all	scaffold-N50	4207
Primary Assembly	all	all	all	spanned-gaps	682
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	all	gc-perc	37.5
Primary Assembly	all	all	assembled-molecule	total-length	0
Primary Assembly	all	all	assembled-molecule	ungapped-length	0
Primary Assembly	all	all	assembled-molecule	scaffold-count	0
Primary Assembly	all	all	assembled-molecule	scaffold-N50	0
Primary Assembly	all	all	assembled-molecule	spanned-gaps	0
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	402340004
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	402313302
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	197615
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	4207
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	682
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	gc-perc	37.5
non-nuclear	all	all	all	total-length	12281885
non-nuclear	all	all	all	ungapped-length	12277665
non-nuclear	all	all	all	scaffold-count	2588
