Metagenome sample,Data set,Cruise
zr2760_52,CANON 2018 Fall,CANON
zr2760_64,CANON 2018 Fall,CANON
zr2760_79,CANON 2018 Fall,CANON
zr2760_59,CANON 2018 Fall,CANON
zr2760_48,CANON 2018 Fall,CANON
zr2760_50,CANON 2018 Fall,CANON
zr2760_38,CANON 2018 Fall,CANON
zr2760_62,CANON 2018 Fall,CANON
zr2760_53,CANON 2018 Fall,CANON
zr2760_49,CANON 2018 Fall,CANON
zr2760_31,CANON 2018 Fall,CANON
zr2760_37,CANON 2018 Fall,CANON
zr2760_34,CANON 2018 Fall,CANON
zr2760_46,CANON 2018 Fall,CANON
zr2760_18,CANON 2018 Fall,CANON
zr2760_56,CANON 2018 Fall,CANON
zr2760_41,CANON 2018 Fall,CANON
zr2760_35,CANON 2018 Fall,CANON
zr2760_33,CANON 2018 Fall,CANON
zr2760_51,CANON 2018 Fall,CANON
zr2760_39,CANON 2018 Fall,CANON
zr2760_44,CANON 2018 Fall,CANON
zr2760_45,CANON 2018 Fall,CANON
zr2760_67,CANON 2018 Fall,CANON
zr2760_54,CANON 2018 Fall,CANON
zr2760_63,CANON 2018 Fall,CANON
zr2760_65,CANON 2018 Fall,CANON
zr2760_42,CANON 2018 Fall,CANON
zr2760_66,CANON 2018 Fall,CANON
zr2760_16,CANON 2018 Fall,CANON
zr2760_28,CANON 2018 Fall,CANON
zr2760_58,CANON 2018 Fall,CANON
zr2760_40,CANON 2018 Fall,CANON
zr2760_36,CANON 2018 Fall,CANON
zr2760_47,CANON 2018 Fall,CANON
zr2760_60,CANON 2018 Fall,CANON
zr2760_68,CANON 2018 Fall,CANON
zr2760_57,CANON 2018 Fall,CANON
zr2760_55,CANON 2018 Fall,CANON
zr2760_32,CANON 2018 Fall,CANON
zr2760_76,CANON 2018 Fall,CANON
zr2760_69,CANON 2018 Fall,CANON
zr2760_75,CANON 2018 Fall,CANON
zr2760_71,CANON 2018 Fall,CANON
zr2760_61,CANON 2018 Spring,CANON
zr2760_25,CANON 2018 Spring,CANON
zr2760_73,CANON 2018 Spring,CANON
zr2760_17,CANON 2018 Spring,CANON
zr2760_74,CANON 2018 Spring,CANON
zr2760_78,CANON 2018 Spring,CANON
zr2760_23,CANON 2018 Spring,CANON
zr2760_10,CANON 2018 Spring,CANON
zr2760_12,CANON 2018 Spring,CANON
zr2760_30,CANON 2018 Spring,CANON
zr2760_24,CANON 2018 Spring,CANON
zr2760_27,CANON 2018 Spring,CANON
zr2760_26,CANON 2018 Spring,CANON
zr2760_20,CANON 2018 Spring,CANON
zr2760_77,CANON 2018 Spring,CANON
zr2760_29,CANON 2018 Spring,CANON
zr2760_43,CANON 2018 Spring,CANON
zr2760_21,CANON 2018 Spring,CANON
zr2760_70,CANON 2018 Spring,CANON
D0052A_S1,RREAS 2018,RREAS
D0053A_S2,RREAS 2018,RREAS
D0057A_S3,RREAS 2018,RREAS
D0058A_S4,RREAS 2018,RREAS
D0063A_S5,RREAS 2018,RREAS
D0064A_S6,RREAS 2018,RREAS
D0068A_S7,RREAS 2018,RREAS
D0069A_S8,RREAS 2018,RREAS
D0073A_S9,RREAS 2018,RREAS
D0074A_S10,RREAS 2018,RREAS
D0078A_S11,RREAS 2018,RREAS
D0079A_S12,RREAS 2018,RREAS
D0085A_S13,RREAS 2018,RREAS
D0086A_S14,RREAS 2018,RREAS
D0090A_S16,RREAS 2018,RREAS
D0095A_S17,RREAS 2018,RREAS
D0096A_S18,RREAS 2018,RREAS
D0100A_S19,RREAS 2018,RREAS
D0101A_S20,RREAS 2018,RREAS
D0105A_S21,RREAS 2018,RREAS
D0107A_S22,RREAS 2018,RREAS
D0110A_S23,RREAS 2018,RREAS
D0111A_S24,RREAS 2018,RREAS
D0116A_S25,RREAS 2018,RREAS
D0117A_S26,RREAS 2018,RREAS
D0121A_S27,RREAS 2018,RREAS
D0122A_S28,RREAS 2018,RREAS
D0127A_S29,RREAS 2018,RREAS
D0128A_S30,RREAS 2018,RREAS
D0132A_S31,RREAS 2018,RREAS
D0133A_S32,RREAS 2018,RREAS
D0137A_S33,RREAS 2018,RREAS
D0138A_S34,RREAS 2018,RREAS
D0142A_S35,RREAS 2018,RREAS
D0143A_S36,RREAS 2018,RREAS
D0147A_S37,RREAS 2018,RREAS
D0148A_S38,RREAS 2018,RREAS
D0152A_S39,RREAS 2018,RREAS
D0153A_S40,RREAS 2018,RREAS
D0158A_S41,RREAS 2018,RREAS
D0159A_S42,RREAS 2018,RREAS
D0163A_S43,RREAS 2018,RREAS
D0164A_S44,RREAS 2018,RREAS
D0173A_S46,RREAS 2018,RREAS
D0174A_S47,RREAS 2018,RREAS
D0270A_S56,RREAS 2018,RREAS
D0271A_S57,RREAS 2018,RREAS
D0275A_S58,RREAS 2018,RREAS
D0276A_S59,RREAS 2018,RREAS
1903buk1_0m-1,RREAS 2019,RREAS
1903buk1_0m-2,RREAS 2019,RREAS
1903buk2_0m-1,RREAS 2019,RREAS
1903buk2_0m-2,RREAS 2019,RREAS
1903buk3_0m-1,RREAS 2019,RREAS
1903buk4_0m-1,RREAS 2019,RREAS
1903buk4_0m-2,RREAS 2019,RREAS
1903_buk5-1,RREAS 2019,RREAS
1903_buk5-2,RREAS 2019,RREAS
1903_buk6-1,RREAS 2019,RREAS
1903_buk6-2,RREAS 2019,RREAS
Las19c138_100m-1,RREAS 2019,RREAS
Las19c138_100m-2,RREAS 2019,RREAS
Las19c138_100m-3,RREAS 2019,RREAS
Las19c138_27m-1,RREAS 2019,RREAS
Las19c138_12m-1,RREAS 2019,RREAS
Las19c138_5m-1,RREAS 2019,RREAS
Las19c138_5m-2,RREAS 2019,RREAS
Las19c135_13m-1,RREAS 2019,RREAS
Las19c135_13m-3,RREAS 2019,RREAS
Las19c135_5m-1,RREAS 2019,RREAS
Las19c135_5m-2,RREAS 2019,RREAS
Las19c135_70m-1,RREAS 2019,RREAS
Las19c135_70m-2,RREAS 2019,RREAS
Las19c135_70m-3,RREAS 2019,RREAS
1903c134_12m-1,RREAS 2019,RREAS
1903c144_13m-1,RREAS 2019,RREAS
1903c144_13m-2,RREAS 2019,RREAS
1903c144_5m-1,RREAS 2019,RREAS
1903c144_5m-2,RREAS 2019,RREAS
1903c144_60m-1,RREAS 2019,RREAS
1903c144_60m-2,RREAS 2019,RREAS
1903c144_60m-3,RREAS 2019,RREAS
1903c129_100m-1,RREAS 2019,RREAS
1903c129_100m-2,RREAS 2019,RREAS
1903c129_100m-3,RREAS 2019,RREAS
1903c129_26m-1,RREAS 2019,RREAS
1903c129_26m-2,RREAS 2019,RREAS
1903c129_5m-1,RREAS 2019,RREAS
1903c129_5m-2,RREAS 2019,RREAS
1903c127_100m-2,RREAS 2019,RREAS
1903c127_100m-3,RREAS 2019,RREAS
1903c127_5m-1,RREAS 2019,RREAS
1903c127_5m-2,RREAS 2019,RREAS
1903c127_7m-1,RREAS 2019,RREAS
1903c127_7m-2,RREAS 2019,RREAS
1903c126_100m-1,RREAS 2019,RREAS
1903c126_100m-2,RREAS 2019,RREAS
1903c126_100m-3,RREAS 2019,RREAS
1903c126_45m-1,RREAS 2019,RREAS
1903c126_45m-2,RREAS 2019,RREAS
1903c126_5m-1,RREAS 2019,RREAS
1903c126_5m-2,RREAS 2019,RREAS
1903c122_100m-1,RREAS 2019,RREAS
1903c122_100m-2,RREAS 2019,RREAS
1903c122_100m-3,RREAS 2019,RREAS
1903c122_28m-1,RREAS 2019,RREAS
1903c122_28m-2,RREAS 2019,RREAS
1903c122_5m-1,RREAS 2019,RREAS
1903c122_5m-2,RREAS 2019,RREAS
1903c123_10m-1,RREAS 2019,RREAS
1903c123_10m-2,RREAS 2019,RREAS
1903c123_5m-1,RREAS 2019,RREAS
1903c123_5m-2,RREAS 2019,RREAS
1903c123_70m-1,RREAS 2019,RREAS
1903c123_70m-2,RREAS 2019,RREAS
1903c123_70m-3,RREAS 2019,RREAS
1903c124_100m-2,RREAS 2019,RREAS
1903c124_100m-3,RREAS 2019,RREAS
1903c124_15m-1,RREAS 2019,RREAS
1903c124_15m-2,RREAS 2019,RREAS
1903c124_5m-1,RREAS 2019,RREAS
1903c124_5m-2,RREAS 2019,RREAS
1903c111_100m-1,RREAS 2019,RREAS
1903c111_100m-2,RREAS 2019,RREAS
1903c111_100m-3,RREAS 2019,RREAS
1903c111_10m-1,RREAS 2019,RREAS
1903c111_10m-2,RREAS 2019,RREAS
1903c111_5m-1,RREAS 2019,RREAS
Las19c107_10m-1,RREAS 2019,RREAS
Las19c107_10m-2,RREAS 2019,RREAS
Las19c107_5m-1,RREAS 2019,RREAS
Las19c107_5m-2,RREAS 2019,RREAS
Las19c107_75m-1,RREAS 2019,RREAS
Las19c107_75m-2,RREAS 2019,RREAS
Las19c107_75m-3,RREAS 2019,RREAS
1903c119_100m-1,RREAS 2019,RREAS
1903c119_100m-2,RREAS 2019,RREAS
1903c119_100m-3,RREAS 2019,RREAS
1903c119_11m-1,RREAS 2019,RREAS
1903c119_11m-2,RREAS 2019,RREAS
1903c119_5m-2,RREAS 2019,RREAS
1903c114_100m-1,RREAS 2019,RREAS
1903c114_100m-2,RREAS 2019,RREAS
1903c114_100m-3,RREAS 2019,RREAS
1903c114_10m-1,RREAS 2019,RREAS
1903c114_10m-2,RREAS 2019,RREAS
1903c114_5m-1,RREAS 2019,RREAS
1903c114_5m-2,RREAS 2019,RREAS
1903c117_100m-1,RREAS 2019,RREAS
1903c117_100m-2,RREAS 2019,RREAS
1903c117_100m-3,RREAS 2019,RREAS
1903c117_50m-1,RREAS 2019,RREAS
1903c117_50m-2,RREAS 2019,RREAS
1903c117_5m-1,RREAS 2019,RREAS
1903c117_5m-2,RREAS 2019,RREAS
1903c118_100m-1,RREAS 2019,RREAS
1903c118_100m-2,RREAS 2019,RREAS
1903c118_100m-3,RREAS 2019,RREAS
1903c118_23m-1,RREAS 2019,RREAS
1903c118_23m-2,RREAS 2019,RREAS
1903c118_5m-1,RREAS 2019,RREAS
1903c118_5m-2,RREAS 2019,RREAS
