ID,Total Length (bp)
2761395.0,19574035.0
1213189.0,28700372.0
2761399.0,25184966.0
61397.0,22263034.0
1052880.0,14675238.0
133377.0,28045446.0
2059718.0,55954514.0
1126814.0,13098879.0
417184.0,23047638.0
4868.0,15821707.0
4864.0,14291446.0
1907219.0,10748482.0
417178.0,13792733.0
2789366.0,13792677.0
164418.0,56939702.0
4885.0,24845880.0
2213018.0,2054317516.0
1286916.0,18550337.0
1520584.0,21726176.0
78907.0,21008971.0
34485.0,1031188800.0
61424.0,28123040.0
2761393.0,20130883.0
2663919.0,13189536.0
68401.0,20085164.0
133381.0,43532022.0
1424467.0,18716323.0
1851187.0,29358178.0
2789359.0,39371718.0
1167838.0,29848509.0
2082957.0,16841201.0
1712513.0,16263107.0
133412.0,71049901.0
215637.0,30654840.0
348617.0,766562605.0
417177.0,17453606.0
1286918.0,18312338.0
61414.0,19815802.0
2761396.0,13369014.0
78921.0,50986572.0
133383.0,102350667.0
1851185.0,32907727.0
1172177.0,11176780.0
2663907.0,15295263.0
1052879.0,17253351.0
61395.0,26202545.0
78915.0,18203817.0
133385.0,43896580.0
147472.0,13048106.0
304332.0,25531049.0
4866.0,15199616.0
417176.0,12976280.0
1286919.0,13622209.0
2650707.0,12849188.0
1036909.074074074,95402705.2962963
,5151746086.0
