# Assembly Statistics Report
# Assembly name:  ASM1677196v1
# Organism name:  Brassica carinata (eudicots)
# Isolate:  sxm20200214
# Taxid:          52824
# BioSample:      SAMN14072354
# BioProject:     PRJNA605599
# Submitter:      North China University of Science and Technology
# Date:           2021-01-29
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    JAAMPC01
# Assembly method: canu v. 1.8
# Expected final version: no
# Genome coverage: 301.67x
# Sequencing technology: Illumina; Nanopore; Hi-C
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_016771965.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_016771975.1		Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# gc-perc	gc-count/atgc-count as percentage
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	1086987601
all	all	all	all	spanned-gaps	1963
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	1636
all	all	all	all	scaffold-N50	58891064
all	all	all	all	scaffold-L50	9
all	all	all	all	scaffold-N75	55501767
all	all	all	all	scaffold-N90	45607167
all	all	all	all	contig-count	3599
all	all	all	all	contig-N50	1386329
all	all	all	all	contig-L50	173
all	all	all	all	total-gap-length	195884
all	all	all	all	molecule-count	17
all	all	all	all	top-level-count	1636
all	all	all	all	component-count	1636
all	all	all	all	gc-perc	37
Primary Assembly	all	all	all	total-length	1086987601
Primary Assembly	all	all	all	ungapped-length	1086791717
Primary Assembly	all	all	all	scaffold-count	1636
Primary Assembly	all	all	all	scaffold-N50	58891064
Primary Assembly	all	all	all	spanned-gaps	1963
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	all	gc-perc	37
Primary Assembly	all	all	assembled-molecule	total-length	1019073312
Primary Assembly	all	all	assembled-molecule	ungapped-length	1018877490
Primary Assembly	all	all	assembled-molecule	scaffold-count	17
Primary Assembly	all	all	assembled-molecule	scaffold-N50	60001024
Primary Assembly	all	all	assembled-molecule	spanned-gaps	1961
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	gc-perc	37
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	67914289
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	67914227
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	1619
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	116664
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	2
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	gc-perc	37
Primary Assembly	B1	Chromosome	all	total-length	72379882
Primary Assembly	B1	Chromosome	all	ungapped-length	72363382
Primary Assembly	B1	Chromosome	all	scaffold-count	1
Primary Assembly	B1	Chromosome	all	scaffold-N50	72379882
Primary Assembly	B1	Chromosome	all	spanned-gaps	165
Primary Assembly	B1	Chromosome	all	unspanned-gaps	0
Primary Assembly	B1	Chromosome	all	gc-perc	37.5
Primary Assembly	B1	Chromosome	assembled-molecule	total-length	72379882
Primary Assembly	B1	Chromosome	assembled-molecule	ungapped-length	72363382
Primary Assembly	B1	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	B1	Chromosome	assembled-molecule	scaffold-N50	72379882
Primary Assembly	B1	Chromosome	assembled-molecule	spanned-gaps	165
Primary Assembly	B1	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	B1	Chromosome	assembled-molecule	gc-perc	37.5
Primary Assembly	B1	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	B1	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	B1	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	B1	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	B1	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	B1	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	B2	Chromosome	all	total-length	61106125
Primary Assembly	B2	Chromosome	all	ungapped-length	61093393
Primary Assembly	B2	Chromosome	all	scaffold-count	1
Primary Assembly	B2	Chromosome	all	scaffold-N50	61106125
Primary Assembly	B2	Chromosome	all	spanned-gaps	128
Primary Assembly	B2	Chromosome	all	unspanned-gaps	0
Primary Assembly	B2	Chromosome	all	gc-perc	38.5
