# Assembly Statistics Report
# Assembly name:  bStrAlu1.hap1
# Organism name:  Strix aluco (Tawny owl)
# Isolate:  bStrAlu1
# Sex:  female
# Taxid:          111821
# BioSample:      SAMN37055808
# BioProject:     PRJNA1007267
# Submitter:      Vertebrate Genomes Project
# Date:           2023-09-25
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    JAVFLD01
# Assembly method: Hifiasm + Hi-C phasing v. 0.18.5+galaxy1; purge_dups v. 1.2.6+galaxy0; Bionano Solve v. 3.7; yahs v. 1.2a.2+galaxy0
# Expected final version: no
# Genome coverage: 40.0x
# Sequencing technology: PacBio Sequel II HiFi; Bionano Genomics DLS; Arima Hi-C v2
# GenBank assembly accession: GCA_031877795.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_031877865.1		Primary Assembly
## GCA_031877875.1		non-nuclear
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# gc-perc	gc-count/atgc-count as percentage
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	1414802443
all	all	all	all	spanned-gaps	281
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	203
all	all	all	all	scaffold-N50	89389700
all	all	all	all	scaffold-L50	6
all	all	all	all	scaffold-N75	24464799
all	all	all	all	scaffold-N90	9115373
all	all	all	all	contig-count	484
all	all	all	all	contig-N50	11872084
all	all	all	all	contig-L50	33
all	all	all	all	total-gap-length	4312653
all	all	all	all	molecule-count	42
all	all	all	all	top-level-count	203
all	all	all	all	component-count	203
all	all	all	all	gc-perc	42.5
Primary Assembly	all	all	all	total-length	1414783145
Primary Assembly	all	all	all	ungapped-length	1410470492
Primary Assembly	all	all	all	scaffold-count	202
Primary Assembly	all	all	all	scaffold-N50	89389700
Primary Assembly	all	all	all	spanned-gaps	281
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	all	gc-perc	42.5
Primary Assembly	all	all	assembled-molecule	total-length	1340214490
Primary Assembly	all	all	assembled-molecule	ungapped-length	1338019608
Primary Assembly	all	all	assembled-molecule	scaffold-count	41
Primary Assembly	all	all	assembled-molecule	scaffold-N50	97043613
Primary Assembly	all	all	assembled-molecule	spanned-gaps	272
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	gc-perc	42.5
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	74568655
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	72450884
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	161
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	2155254
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	9
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	gc-perc	49
Primary Assembly	1	Chromosome	all	total-length	173077747
Primary Assembly	1	Chromosome	all	ungapped-length	173046008
Primary Assembly	1	Chromosome	all	scaffold-count	1
