# Assembly Statistics Report
# Assembly name:  PAHARI_EIJ_v1.1
# Organism name:  Mus pahari (shrew mouse)
# Sex:  female
# Taxid:          10093
# BioSample:      SAMEA3367645
# BioProject:     PRJEB14896
# Submitter:      EBI
# Date:           2017-04-28
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    FMBV02
# Genome coverage: 74x
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_900095145.2
# RefSeq assembly accession: GCF_900095145.1
# RefSeq assembly and GenBank assemblies identical: yes
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_900095144.2	GCF_900095144.1	Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# gc-perc	gc-count/atgc-count as percentage
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	2475012951
all	all	all	all	spanned-gaps	131139
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	2581
all	all	all	all	scaffold-N50	111406228
all	all	all	all	scaffold-L50	9
all	all	all	all	scaffold-N75	88915856
all	all	all	all	scaffold-N90	55716805
all	all	all	all	contig-count	133720
all	all	all	all	contig-N50	29465
all	all	all	all	contig-L50	22851
all	all	all	all	total-gap-length	234893073
all	all	all	all	molecule-count	24
all	all	all	all	top-level-count	2581
all	all	all	all	component-count	17879
all	all	all	all	gc-perc	42
Primary Assembly	all	all	all	total-length	2475012951
Primary Assembly	all	all	all	ungapped-length	2240119878
Primary Assembly	all	all	all	scaffold-count	2581
Primary Assembly	all	all	all	scaffold-N50	111406228
Primary Assembly	all	all	all	spanned-gaps	131139
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	all	gc-perc	42
Primary Assembly	all	all	assembled-molecule	total-length	2424440359
Primary Assembly	all	all	assembled-molecule	ungapped-length	2193682086
Primary Assembly	all	all	assembled-molecule	scaffold-count	24
Primary Assembly	all	all	assembled-molecule	scaffold-N50	111406228
Primary Assembly	all	all	assembled-molecule	spanned-gaps	127294
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	gc-perc	42
Primary Assembly	all	all	unlocalized-scaffold	total-length	1604929
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	1100852
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	5
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	404484
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	94
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	gc-perc	39
Primary Assembly	na	na	unplaced-scaffold	total-length	48967663
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	45336940
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	2552
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	35310
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	3751
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	gc-perc	39
Primary Assembly	1	Chromosome	all	total-length	172151128
Primary Assembly	1	Chromosome	all	ungapped-length	151543287
Primary Assembly	1	Chromosome	all	scaffold-count	1
Primary Assembly	1	Chromosome	all	scaffold-N50	172151128
Primary Assembly	1	Chromosome	all	spanned-gaps	8540
Primary Assembly	1	Chromosome	all	unspanned-gaps	0
Primary Assembly	1	Chromosome	all	gc-perc	43.5
Primary Assembly	1	Chromosome	assembled-molecule	total-length	172151128
Primary Assembly	1	Chromosome	assembled-molecule	ungapped-length	151543287
Primary Assembly	1	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	1	Chromosome	assembled-molecule	scaffold-N50	172151128
Primary Assembly	1	Chromosome	assembled-molecule	spanned-gaps	8540
Primary Assembly	1	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	1	Chromosome	assembled-molecule	gc-perc	43.5
Primary Assembly	1	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	2	Chromosome	all	total-length	164343849
Primary Assembly	2	Chromosome	all	ungapped-length	146018851
Primary Assembly	2	Chromosome	all	scaffold-count	2
Primary Assembly	2	Chromosome	all	scaffold-N50	163939365
Primary Assembly	2	Chromosome	all	spanned-gaps	8128
Primary Assembly	2	Chromosome	all	unspanned-gaps	0
Primary Assembly	2	Chromosome	all	gc-perc	41.5
Primary Assembly	2	Chromosome	assembled-molecule	total-length	163939365
Primary Assembly	2	Chromosome	assembled-molecule	ungapped-length	145707194
Primary Assembly	2	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	2	Chromosome	assembled-molecule	scaffold-N50	163939365
Primary Assembly	2	Chromosome	assembled-molecule	spanned-gaps	8106
Primary Assembly	2	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	2	Chromosome	assembled-molecule	gc-perc	41.5
Primary Assembly	2	Chromosome	unlocalized-scaffold	total-length	404484
Primary Assembly	2	Chromosome	unlocalized-scaffold	ungapped-length	311657
Primary Assembly	2	Chromosome	unlocalized-scaffold	scaffold-count	1
Primary Assembly	2	Chromosome	unlocalized-scaffold	scaffold-N50	404484
Primary Assembly	2	Chromosome	unlocalized-scaffold	spanned-gaps	22
Primary Assembly	2	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	gc-perc	38.5
Primary Assembly	3	Chromosome	all	total-length	164417126
Primary Assembly	3	Chromosome	all	ungapped-length	152797364
Primary Assembly	3	Chromosome	all	scaffold-count	2
Primary Assembly	3	Chromosome	all	scaffold-N50	164141553
Primary Assembly	3	Chromosome	all	spanned-gaps	8645
Primary Assembly	3	Chromosome	all	unspanned-gaps	0
Primary Assembly	3	Chromosome	all	gc-perc	42.5
Primary Assembly	3	Chromosome	assembled-molecule	total-length	164141553
Primary Assembly	3	Chromosome	assembled-molecule	ungapped-length	152533895
Primary Assembly	3	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	3	Chromosome	assembled-molecule	scaffold-N50	164141553
Primary Assembly	3	Chromosome	assembled-molecule	spanned-gaps	8623
Primary Assembly	3	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	3	Chromosome	assembled-molecule	gc-perc	42.5
Primary Assembly	3	Chromosome	unlocalized-scaffold	total-length	275573
Primary Assembly	3	Chromosome	unlocalized-scaffold	ungapped-length	263469
Primary Assembly	3	Chromosome	unlocalized-scaffold	scaffold-count	1
Primary Assembly	3	Chromosome	unlocalized-scaffold	scaffold-N50	275573
Primary Assembly	3	Chromosome	unlocalized-scaffold	spanned-gaps	22
Primary Assembly	3	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	3	Chromosome	unlocalized-scaffold	gc-perc	37
Primary Assembly	4	Chromosome	all	total-length	146658995
Primary Assembly	4	Chromosome	all	ungapped-length	135197484
Primary Assembly	4	Chromosome	all	scaffold-count	2
Primary Assembly	4	Chromosome	all	scaffold-N50	146485248
Primary Assembly	4	Chromosome	all	spanned-gaps	7871
Primary Assembly	4	Chromosome	all	unspanned-gaps	0
Primary Assembly	4	Chromosome	all	gc-perc	40.5
Primary Assembly	4	Chromosome	assembled-molecule	total-length	146485248
Primary Assembly	4	Chromosome	assembled-molecule	ungapped-length	135030060
Primary Assembly	4	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	4	Chromosome	assembled-molecule	scaffold-N50	146485248
Primary Assembly	4	Chromosome	assembled-molecule	spanned-gaps	7857
Primary Assembly	4	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	4	Chromosome	assembled-molecule	gc-perc	40.5
Primary Assembly	4	Chromosome	unlocalized-scaffold	total-length	173747
Primary Assembly	4	Chromosome	unlocalized-scaffold	ungapped-length	167424
Primary Assembly	4	Chromosome	unlocalized-scaffold	scaffold-count	1
Primary Assembly	4	Chromosome	unlocalized-scaffold	scaffold-N50	173747
Primary Assembly	4	Chromosome	unlocalized-scaffold	spanned-gaps	14
Primary Assembly	4	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	4	Chromosome	unlocalized-scaffold	gc-perc	40.5
Primary Assembly	5	Chromosome	all	total-length	167013402
Primary Assembly	5	Chromosome	all	ungapped-length	155870086
Primary Assembly	5	Chromosome	all	scaffold-count	1
Primary Assembly	5	Chromosome	all	scaffold-N50	167013402
Primary Assembly	5	Chromosome	all	spanned-gaps	8781
Primary Assembly	5	Chromosome	all	unspanned-gaps	0
Primary Assembly	5	Chromosome	all	gc-perc	41.5
Primary Assembly	5	Chromosome	assembled-molecule	total-length	167013402
Primary Assembly	5	Chromosome	assembled-molecule	ungapped-length	155870086
Primary Assembly	5	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	5	Chromosome	assembled-molecule	scaffold-N50	167013402
Primary Assembly	5	Chromosome	assembled-molecule	spanned-gaps	8781
Primary Assembly	5	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	5	Chromosome	assembled-molecule	gc-perc	41.5
Primary Assembly	5	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	5	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	5	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	5	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	5	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	5	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	6	Chromosome	all	total-length	107150856
Primary Assembly	6	Chromosome	all	ungapped-length	93749561
Primary Assembly	6	Chromosome	all	scaffold-count	1
Primary Assembly	6	Chromosome	all	scaffold-N50	107150856
Primary Assembly	6	Chromosome	all	spanned-gaps	5457
Primary Assembly	6	Chromosome	all	unspanned-gaps	0
Primary Assembly	6	Chromosome	all	gc-perc	43.5
Primary Assembly	6	Chromosome	assembled-molecule	total-length	107150856
Primary Assembly	6	Chromosome	assembled-molecule	ungapped-length	93749561
Primary Assembly	6	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	6	Chromosome	assembled-molecule	scaffold-N50	107150856
Primary Assembly	6	Chromosome	assembled-molecule	spanned-gaps	5457
Primary Assembly	6	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	6	Chromosome	assembled-molecule	gc-perc	43.5
Primary Assembly	6	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	6	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	6	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	6	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	6	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	6	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	7	Chromosome	all	total-length	113323912
Primary Assembly	7	Chromosome	all	ungapped-length	100599838
Primary Assembly	7	Chromosome	all	scaffold-count	1
Primary Assembly	7	Chromosome	all	scaffold-N50	113323912
Primary Assembly	7	Chromosome	all	spanned-gaps	5734
Primary Assembly	7	Chromosome	all	unspanned-gaps	0
Primary Assembly	7	Chromosome	all	gc-perc	41.5
Primary Assembly	7	Chromosome	assembled-molecule	total-length	113323912
Primary Assembly	7	Chromosome	assembled-molecule	ungapped-length	100599838
Primary Assembly	7	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	7	Chromosome	assembled-molecule	scaffold-N50	113323912
Primary Assembly	7	Chromosome	assembled-molecule	spanned-gaps	5734
Primary Assembly	7	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	7	Chromosome	assembled-molecule	gc-perc	41.5
Primary Assembly	7	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	7	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	7	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	7	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	7	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	7	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	8	Chromosome	all	total-length	111406228
Primary Assembly	8	Chromosome	all	ungapped-length	100965028
Primary Assembly	8	Chromosome	all	scaffold-count	1
Primary Assembly	8	Chromosome	all	scaffold-N50	111406228
Primary Assembly	8	Chromosome	all	spanned-gaps	5595
Primary Assembly	8	Chromosome	all	unspanned-gaps	0
Primary Assembly	8	Chromosome	all	gc-perc	41
Primary Assembly	8	Chromosome	assembled-molecule	total-length	111406228
Primary Assembly	8	Chromosome	assembled-molecule	ungapped-length	100965028
Primary Assembly	8	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	8	Chromosome	assembled-molecule	scaffold-N50	111406228
Primary Assembly	8	Chromosome	assembled-molecule	spanned-gaps	5595
Primary Assembly	8	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	8	Chromosome	assembled-molecule	gc-perc	41
Primary Assembly	8	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	8	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	8	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	8	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	8	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	8	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	9	Chromosome	all	total-length	92399829
Primary Assembly	9	Chromosome	all	ungapped-length	86886273
Primary Assembly	9	Chromosome	all	scaffold-count	1
