# Assembly Statistics Report
# Assembly name:  KU_S4
# Organism name:  Muraenolepis orangiensis (Patagonian moray cod)
# Isolate:  KU_S4_2022
# Taxid:          630683
# BioSample:      SAMN25602345
# BioProject:     PRJNA802969
# Submitter:      Korea University
# Date:           2023-01-13
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    JANIIK01
# Assembly method: Flye v. 2.8.3
# Expected final version: yes
# Genome coverage: 100.0x
# Sequencing technology: PacBio Sequel; Illumina NovaSeq
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_027704905.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_027704915.1		Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# gc-perc	gc-count/atgc-count as percentage
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	893743365
all	all	all	all	spanned-gaps	3026
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	7737
all	all	all	all	scaffold-N50	30072179
all	all	all	all	scaffold-L50	13
all	all	all	all	scaffold-N75	23339615
all	all	all	all	scaffold-N90	69000
all	all	all	all	contig-count	10763
all	all	all	all	contig-N50	636888
all	all	all	all	contig-L50	362
all	all	all	all	total-gap-length	2810103
all	all	all	all	molecule-count	25
all	all	all	all	top-level-count	7737
all	all	all	all	component-count	7737
all	all	all	all	gc-perc	46
Primary Assembly	all	all	all	total-length	893743365
Primary Assembly	all	all	all	ungapped-length	890933262
Primary Assembly	all	all	all	scaffold-count	7737
Primary Assembly	all	all	all	scaffold-N50	30072179
Primary Assembly	all	all	all	spanned-gaps	3026
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	all	gc-perc	46
Primary Assembly	all	all	assembled-molecule	total-length	746128393
Primary Assembly	all	all	assembled-molecule	ungapped-length	743623735
Primary Assembly	all	all	assembled-molecule	scaffold-count	25
Primary Assembly	all	all	assembled-molecule	scaffold-N50	31427946
Primary Assembly	all	all	assembled-molecule	spanned-gaps	2693
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	gc-perc	46
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	147614972
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	147309527
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	7712
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	50000
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	333
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	gc-perc	46
Primary Assembly	1	Chromosome	all	total-length	39771771
Primary Assembly	1	Chromosome	all	ungapped-length	39635993
Primary Assembly	1	Chromosome	all	scaffold-count	1
Primary Assembly	1	Chromosome	all	scaffold-N50	39771771
Primary Assembly	1	Chromosome	all	spanned-gaps	141
Primary Assembly	1	Chromosome	all	unspanned-gaps	0
Primary Assembly	1	Chromosome	all	gc-perc	46
Primary Assembly	1	Chromosome	assembled-molecule	total-length	39771771
Primary Assembly	1	Chromosome	assembled-molecule	ungapped-length	39635993
Primary Assembly	1	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	1	Chromosome	assembled-molecule	scaffold-N50	39771771
Primary Assembly	1	Chromosome	assembled-molecule	spanned-gaps	141
Primary Assembly	1	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	1	Chromosome	assembled-molecule	gc-perc	46
Primary Assembly	1	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	2	Chromosome	all	total-length	38605500
Primary Assembly	2	Chromosome	all	ungapped-length	38514994
Primary Assembly	2	Chromosome	all	scaffold-count	1
Primary Assembly	2	Chromosome	all	scaffold-N50	38605500
Primary Assembly	2	Chromosome	all	spanned-gaps	98
Primary Assembly	2	Chromosome	all	unspanned-gaps	0
Primary Assembly	2	Chromosome	all	gc-perc	46
Primary Assembly	2	Chromosome	assembled-molecule	total-length	38605500
Primary Assembly	2	Chromosome	assembled-molecule	ungapped-length	38514994
Primary Assembly	2	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	2	Chromosome	assembled-molecule	scaffold-N50	38605500
Primary Assembly	2	Chromosome	assembled-molecule	spanned-gaps	98
Primary Assembly	2	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	2	Chromosome	assembled-molecule	gc-perc	46
Primary Assembly	2	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	3	Chromosome	all	total-length	37617775
Primary Assembly	3	Chromosome	all	ungapped-length	37463719
Primary Assembly	3	Chromosome	all	scaffold-count	1
Primary Assembly	3	Chromosome	all	scaffold-N50	37617775
Primary Assembly	3	Chromosome	all	spanned-gaps	163
Primary Assembly	3	Chromosome	all	unspanned-gaps	0
Primary Assembly	3	Chromosome	all	gc-perc	46
Primary Assembly	3	Chromosome	assembled-molecule	total-length	37617775
Primary Assembly	3	Chromosome	assembled-molecule	ungapped-length	37463719
Primary Assembly	3	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	3	Chromosome	assembled-molecule	scaffold-N50	37617775
Primary Assembly	3	Chromosome	assembled-molecule	spanned-gaps	163
Primary Assembly	3	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	3	Chromosome	assembled-molecule	gc-perc	46
Primary Assembly	3	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	3	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	3	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	3	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	3	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	3	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	4	Chromosome	all	total-length	37028254
Primary Assembly	4	Chromosome	all	ungapped-length	36956490
Primary Assembly	4	Chromosome	all	scaffold-count	1
Primary Assembly	4	Chromosome	all	scaffold-N50	37028254
Primary Assembly	4	Chromosome	all	spanned-gaps	76
Primary Assembly	4	Chromosome	all	unspanned-gaps	0
Primary Assembly	4	Chromosome	all	gc-perc	46
Primary Assembly	4	Chromosome	assembled-molecule	total-length	37028254
Primary Assembly	4	Chromosome	assembled-molecule	ungapped-length	36956490
Primary Assembly	4	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	4	Chromosome	assembled-molecule	scaffold-N50	37028254
Primary Assembly	4	Chromosome	assembled-molecule	spanned-gaps	76
Primary Assembly	4	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	4	Chromosome	assembled-molecule	gc-perc	46
Primary Assembly	4	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	4	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	4	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	4	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	4	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	4	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	5	Chromosome	all	total-length	36952264
Primary Assembly	5	Chromosome	all	ungapped-length	36873851
Primary Assembly	5	Chromosome	all	scaffold-count	1
Primary Assembly	5	Chromosome	all	scaffold-N50	36952264
Primary Assembly	5	Chromosome	all	spanned-gaps	86
Primary Assembly	5	Chromosome	all	unspanned-gaps	0
Primary Assembly	5	Chromosome	all	gc-perc	45
Primary Assembly	5	Chromosome	assembled-molecule	total-length	36952264
Primary Assembly	5	Chromosome	assembled-molecule	ungapped-length	36873851
Primary Assembly	5	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	5	Chromosome	assembled-molecule	scaffold-N50	36952264
Primary Assembly	5	Chromosome	assembled-molecule	spanned-gaps	86
Primary Assembly	5	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	5	Chromosome	assembled-molecule	gc-perc	45
Primary Assembly	5	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	5	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	5	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	5	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	5	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	5	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	6	Chromosome	all	total-length	33655560
Primary Assembly	6	Chromosome	all	ungapped-length	33562619
Primary Assembly	6	Chromosome	all	scaffold-count	1
Primary Assembly	6	Chromosome	all	scaffold-N50	33655560
Primary Assembly	6	Chromosome	all	spanned-gaps	100
Primary Assembly	6	Chromosome	all	unspanned-gaps	0
Primary Assembly	6	Chromosome	all	gc-perc	46
Primary Assembly	6	Chromosome	assembled-molecule	total-length	33655560
Primary Assembly	6	Chromosome	assembled-molecule	ungapped-length	33562619
Primary Assembly	6	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	6	Chromosome	assembled-molecule	scaffold-N50	33655560
Primary Assembly	6	Chromosome	assembled-molecule	spanned-gaps	100
Primary Assembly	6	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	6	Chromosome	assembled-molecule	gc-perc	46
Primary Assembly	6	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	6	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	6	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	6	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	6	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	6	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	7	Chromosome	all	total-length	33543500
Primary Assembly	7	Chromosome	all	ungapped-length	33437186
Primary Assembly	7	Chromosome	all	scaffold-count	1
Primary Assembly	7	Chromosome	all	scaffold-N50	33543500
Primary Assembly	7	Chromosome	all	spanned-gaps	111
Primary Assembly	7	Chromosome	all	unspanned-gaps	0
Primary Assembly	7	Chromosome	all	gc-perc	46
Primary Assembly	7	Chromosome	assembled-molecule	total-length	33543500
Primary Assembly	7	Chromosome	assembled-molecule	ungapped-length	33437186
Primary Assembly	7	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	7	Chromosome	assembled-molecule	scaffold-N50	33543500
Primary Assembly	7	Chromosome	assembled-molecule	spanned-gaps	111
Primary Assembly	7	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	7	Chromosome	assembled-molecule	gc-perc	46
Primary Assembly	7	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	7	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	7	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	7	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	7	Chromosome	unlocalized-scaffold	spanned-gaps	0
