# Assembly Statistics Report
# Assembly name:  AKTIVAN_assembly
# Organism name:  Scilla litardierei (monocots)
# Infraspecific name:  strain=CROMET1-2023
# Taxid:          82011
# BioSample:      SAMN35298062
# BioProject:     PRJNA974736
# Submitter:      University of Zagreb, Faculty of Science
# Date:           2023-08-21
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    JAULAV01
# Assembly method: HiFiasm v. 0.19.3-r572
# Expected final version: yes
# Genome coverage: 25.0x
# Sequencing technology: PacBio HiFi
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_030789695.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_030789715.1		Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# gc-perc	gc-count/atgc-count as percentage
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	3696589761
all	all	all	all	spanned-gaps	7287
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	9864
all	all	all	all	scaffold-N50	210067440
all	all	all	all	scaffold-L50	5
all	all	all	all	scaffold-N75	173891768
all	all	all	all	scaffold-N90	145637839
all	all	all	all	contig-count	17151
all	all	all	all	contig-N50	1380720
all	all	all	all	contig-L50	720
all	all	all	all	total-gap-length	3643500
all	all	all	all	molecule-count	13
all	all	all	all	top-level-count	9864
all	all	all	all	component-count	9864
all	all	all	all	gc-perc	43
Primary Assembly	all	all	all	total-length	3696589761
Primary Assembly	all	all	all	ungapped-length	3692946261
Primary Assembly	all	all	all	scaffold-count	9864
Primary Assembly	all	all	all	scaffold-N50	210067440
Primary Assembly	all	all	all	spanned-gaps	7287
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	all	gc-perc	43
Primary Assembly	all	all	assembled-molecule	total-length	3330194261
Primary Assembly	all	all	assembled-molecule	ungapped-length	3326643261
Primary Assembly	all	all	assembled-molecule	scaffold-count	13
Primary Assembly	all	all	assembled-molecule	scaffold-N50	227701209
Primary Assembly	all	all	assembled-molecule	spanned-gaps	7102
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	gc-perc	43
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	366395500
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	366303000
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	9851
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	57000
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	185
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	gc-perc	43.5
Primary Assembly	1	Chromosome	all	total-length	147885834
Primary Assembly	1	Chromosome	all	ungapped-length	147738334
Primary Assembly	1	Chromosome	all	scaffold-count	1
Primary Assembly	1	Chromosome	all	scaffold-N50	147885834
Primary Assembly	1	Chromosome	all	spanned-gaps	295
Primary Assembly	1	Chromosome	all	unspanned-gaps	0
Primary Assembly	1	Chromosome	all	gc-perc	43
Primary Assembly	1	Chromosome	assembled-molecule	total-length	147885834
Primary Assembly	1	Chromosome	assembled-molecule	ungapped-length	147738334
Primary Assembly	1	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	1	Chromosome	assembled-molecule	scaffold-N50	147885834
Primary Assembly	1	Chromosome	assembled-molecule	spanned-gaps	295
Primary Assembly	1	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	1	Chromosome	assembled-molecule	gc-perc	43
Primary Assembly	1	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	2	Chromosome	all	total-length	145637839
Primary Assembly	2	Chromosome	all	ungapped-length	145448839
Primary Assembly	2	Chromosome	all	scaffold-count	1
Primary Assembly	2	Chromosome	all	scaffold-N50	145637839
Primary Assembly	2	Chromosome	all	spanned-gaps	378
Primary Assembly	2	Chromosome	all	unspanned-gaps	0
Primary Assembly	2	Chromosome	all	gc-perc	43
Primary Assembly	2	Chromosome	assembled-molecule	total-length	145637839
Primary Assembly	2	Chromosome	assembled-molecule	ungapped-length	145448839
Primary Assembly	2	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	2	Chromosome	assembled-molecule	scaffold-N50	145637839
Primary Assembly	2	Chromosome	assembled-molecule	spanned-gaps	378
Primary Assembly	2	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	2	Chromosome	assembled-molecule	gc-perc	43
