# Assembly Statistics Report
# Assembly name:  ASM1336523v1
# Organism name:  Cercospora sesami (ascomycetes)
# Isolate:  Cers 52-10
# Taxid:          1490871
# BioSample:      SAMN14395398
# BioProject:     PRJNA613165
# Submitter:      Banaras Hindu University
# Date:           2020-06-22
# Assembly type:  haploid
# Release type:   major
# Assembly level: Scaffold
# Genome representation: full
# WGS project:    JAASLG01
# Assembly method: MaSuRCA v. 3.2.3
# Expected final version: no
# Genome coverage: 90.0x
# Sequencing technology: Illumina HiSeq
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_013365235.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_013365265.1		Primary Assembly
## GCA_013365285.1		non-nuclear
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	34336664
all	all	all	all	spanned-gaps	208
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	1878
all	all	all	all	scaffold-N50	26222
all	all	all	all	scaffold-L50	405
all	all	all	all	scaffold-N75	17364
all	all	all	all	scaffold-N90	10252
all	all	all	all	contig-count	2086
all	all	all	all	contig-N50	25693
all	all	all	all	contig-L50	415
all	all	all	all	total-gap-length	7479
all	all	all	all	molecule-count	1
all	all	all	all	top-level-count	1878
all	all	all	all	component-count	1878
Primary Assembly	all	all	all	total-length	34325786
Primary Assembly	all	all	all	ungapped-length	34318385
Primary Assembly	all	all	all	scaffold-count	1867
Primary Assembly	all	all	all	scaffold-N50	26227
Primary Assembly	all	all	all	spanned-gaps	205
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	total-length	0
Primary Assembly	all	all	assembled-molecule	ungapped-length	0
Primary Assembly	all	all	assembled-molecule	scaffold-count	0
Primary Assembly	all	all	assembled-molecule	scaffold-N50	0
Primary Assembly	all	all	assembled-molecule	spanned-gaps	0
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	34325786
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	34318385
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	1867
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	26227
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	205
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
non-nuclear	all	all	all	total-length	10878
non-nuclear	all	all	all	ungapped-length	10800
non-nuclear	all	all	all	scaffold-count	11
non-nuclear	all	all	all	scaffold-N50	1160
non-nuclear	all	all	all	spanned-gaps	3
non-nuclear	all	all	all	unspanned-gaps	0
non-nuclear	all	all	assembled-molecule	total-length	0
non-nuclear	all	all	assembled-molecule	ungapped-length	0
non-nuclear	all	all	assembled-molecule	scaffold-count	0
non-nuclear	all	all	assembled-molecule	scaffold-N50	0
non-nuclear	all	all	assembled-molecule	spanned-gaps	0
non-nuclear	all	all	assembled-molecule	unspanned-gaps	0
non-nuclear	all	all	unlocalized-scaffold	total-length	10878
non-nuclear	all	all	unlocalized-scaffold	ungapped-length	10800
non-nuclear	all	all	unlocalized-scaffold	scaffold-count	11
non-nuclear	all	all	unlocalized-scaffold	scaffold-N50	1160
non-nuclear	all	all	unlocalized-scaffold	spanned-gaps	3
non-nuclear	all	all	unlocalized-scaffold	unspanned-gaps	0
non-nuclear	MT	Mitochondrion	all	total-length	10878
non-nuclear	MT	Mitochondrion	all	ungapped-length	10800
non-nuclear	MT	Mitochondrion	all	scaffold-count	11
non-nuclear	MT	Mitochondrion	all	scaffold-N50	1160
non-nuclear	MT	Mitochondrion	all	spanned-gaps	3
non-nuclear	MT	Mitochondrion	all	unspanned-gaps	0
non-nuclear	MT	Mitochondrion	assembled-molecule	total-length	0
non-nuclear	MT	Mitochondrion	assembled-molecule	ungapped-length	0
non-nuclear	MT	Mitochondrion	assembled-molecule	scaffold-count	0
non-nuclear	MT	Mitochondrion	assembled-molecule	scaffold-N50	0
non-nuclear	MT	Mitochondrion	assembled-molecule	spanned-gaps	0
non-nuclear	MT	Mitochondrion	assembled-molecule	unspanned-gaps	0
non-nuclear	MT	Mitochondrion	unlocalized-scaffold	total-length	10878
non-nuclear	MT	Mitochondrion	unlocalized-scaffold	ungapped-length	10800
non-nuclear	MT	Mitochondrion	unlocalized-scaffold	scaffold-count	11
non-nuclear	MT	Mitochondrion	unlocalized-scaffold	scaffold-N50	1160
