# Assembly Statistics Report
# Assembly name:  ASM2882989v1
# Organism name:  Sinotaia purificata (gastropods)
# Infraspecific name:  strain=BP
# Sex:  female
# Taxid:          1134467
# BioSample:      SAMN26886297
# BioProject:     PRJNA818874
# Submitter:      Freshwater Fisheries Research Center of Chinese Academy of Fishery Sciences
# Date:           2023-02-24
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    JALGAQ01
# Assembly method: FALCON v. 3.0
# Expected final version: yes
# Genome coverage: 20.0x
# Sequencing technology: PacBio
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_028829895.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_028829905.1		Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# gc-perc	gc-count/atgc-count as percentage
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	984328742
all	all	all	all	spanned-gaps	248
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	38
all	all	all	all	scaffold-N50	141970838
all	all	all	all	scaffold-L50	4
all	all	all	all	scaffold-N75	98878684
all	all	all	all	scaffold-N90	97867070
all	all	all	all	contig-count	286
all	all	all	all	contig-N50	37213934
all	all	all	all	contig-L50	10
all	all	all	all	total-gap-length	24800
all	all	all	all	molecule-count	8
all	all	all	all	top-level-count	38
all	all	all	all	component-count	38
all	all	all	all	gc-perc	34.5
Primary Assembly	all	all	all	total-length	984328742
Primary Assembly	all	all	all	ungapped-length	984303942
Primary Assembly	all	all	all	scaffold-count	38
Primary Assembly	all	all	all	scaffold-N50	141970838
Primary Assembly	all	all	all	spanned-gaps	248
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	all	gc-perc	34.5
Primary Assembly	all	all	assembled-molecule	total-length	977253404
Primary Assembly	all	all	assembled-molecule	ungapped-length	977248604
Primary Assembly	all	all	assembled-molecule	scaffold-count	8
Primary Assembly	all	all	assembled-molecule	scaffold-N50	141970838
Primary Assembly	all	all	assembled-molecule	spanned-gaps	48
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	gc-perc	34.5
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	7075338
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	7055338
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	30
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	6159660
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	200
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	gc-perc	40
