# Assembly Statistics Report
# Assembly name:  ASM176148v1
# Organism name:  Yarrowia lipolytica (budding yeasts)
# Infraspecific name:  strain=CLIB89(W29)
# Taxid:          4952
# BioSample:      SAMN04088558
# BioProject:     PRJNA295780
# Submitter:      University of California, Irvine
# Date:           2016-10-12
# Assembly type:  haploid
# Release type:   major
# Assembly level: Complete Genome
# Genome representation: full
# Assembly method: in-house assembly program v. unspecified
# Genome coverage: 2041x; 68x
# Sequencing technology: Illumina HiSeq 2500 DNASeq; Pacbio RSII
# GenBank assembly accession: GCA_001761485.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_001761495.1		Primary Assembly
## GCA_001761505.1		non-nuclear
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# gc-perc	gc-count/atgc-count as percentage
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	20547992
all	all	all	all	spanned-gaps	0
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	7
all	all	all	all	scaffold-N50	3629463
all	all	all	all	scaffold-L50	3
all	all	all	all	scaffold-N75	3044971
all	all	all	all	scaffold-N90	2257857
all	all	all	all	total-gap-length	0
all	all	all	all	molecule-count	7
all	all	all	all	top-level-count	7
all	all	all	all	component-count	7
all	all	all	all	gc-perc	49
Primary Assembly	all	all	all	total-length	20500066
Primary Assembly	all	all	all	ungapped-length	20500066
Primary Assembly	all	all	all	scaffold-count	6
Primary Assembly	all	all	all	scaffold-N50	3629463
Primary Assembly	all	all	all	spanned-gaps	0
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	all	gc-perc	49
Primary Assembly	all	all	assembled-molecule	total-length	20500066
Primary Assembly	all	all	assembled-molecule	ungapped-length	20500066
Primary Assembly	all	all	assembled-molecule	scaffold-count	6
Primary Assembly	all	all	assembled-molecule	scaffold-N50	3629463
Primary Assembly	all	all	assembled-molecule	spanned-gaps	0
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	gc-perc	49
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	1A	Chromosome	all	total-length	2257857
Primary Assembly	1A	Chromosome	all	ungapped-length	2257857
Primary Assembly	1A	Chromosome	all	scaffold-count	1
Primary Assembly	1A	Chromosome	all	scaffold-N50	2257857
Primary Assembly	1A	Chromosome	all	spanned-gaps	0
Primary Assembly	1A	Chromosome	all	unspanned-gaps	0
Primary Assembly	1A	Chromosome	all	gc-perc	48.5
