# Assembly Statistics Report
# Assembly name:  Criollo_cocoa_genome_V2
# Organism name:  Theobroma cacao (cacao)
# Infraspecific name:  cultivar=B97-61/B2
# Taxid:          3641
# BioSample:      SAMEA4028428
# BioProject:     PRJEB14326
# Submitter:      CIRAD
# Date:           2016-07-09
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    FLSQ01
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_000208745.2
# RefSeq assembly accession: GCF_000208745.1
# RefSeq assembly and GenBank assemblies identical: no
# Reporting on RefSeq assembly.
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_000208755.2	GCF_000208755.1	Primary Assembly
## 	GCF_000199885.2	non-nuclear
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# gc-perc	gc-count/atgc-count as percentage
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	324719311
all	all	all	all	spanned-gaps	7312
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	430
all	all	all	all	scaffold-N50	36364294
all	all	all	all	scaffold-L50	5
all	all	all	all	scaffold-N75	26303135
all	all	all	all	scaffold-N90	21614486
all	all	all	all	contig-count	7742
all	all	all	all	contig-N50	87341
all	all	all	all	contig-L50	879
all	all	all	all	total-gap-length	18499634
all	all	all	all	molecule-count	10
all	all	all	all	top-level-count	430
all	all	all	all	component-count	430
all	all	all	all	gc-perc	34
Primary Assembly	all	all	all	total-length	324719311
Primary Assembly	all	all	all	ungapped-length	306219677
Primary Assembly	all	all	all	scaffold-count	430
Primary Assembly	all	all	all	scaffold-N50	36364294
Primary Assembly	all	all	all	spanned-gaps	7312
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	all	gc-perc	34
Primary Assembly	all	all	assembled-molecule	total-length	314189522
Primary Assembly	all	all	assembled-molecule	ungapped-length	297310617
Primary Assembly	all	all	assembled-molecule	scaffold-count	10
Primary Assembly	all	all	assembled-molecule	scaffold-N50	36364294
Primary Assembly	all	all	assembled-molecule	spanned-gaps	6744
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	gc-perc	34
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	10529789
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	8909060
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	420
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	54306
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	568
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	gc-perc	33.5
Primary Assembly	1	Chromosome	all	total-length	37323695
