# Assembly Statistics Report
# Assembly name:  ASM2422231v1
# Organism name:  Thymus quinquecostatus (eudicots)
# Isolate:  CNT39
# Sex:  hermaphrodite
# Taxid:          228974
# BioSample:      SAMN17214456
# BioProject:     PRJNA690675
# Submitter:      Institute of Botany, Chinese Academy of Sciences
# Date:           2022-07-13
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    JANAFA01
# Assembly method: SOAPdenovo v. November-2021
# Expected final version: yes
# Genome coverage: 40.0x
# Sequencing technology: PacBio RS
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_024222315.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_024222385.1		Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# gc-perc	gc-count/atgc-count as percentage
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	528675121
all	all	all	all	spanned-gaps	150
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	478
all	all	all	all	scaffold-N50	36440660
all	all	all	all	scaffold-L50	7
all	all	all	all	scaffold-N75	33596851
all	all	all	all	scaffold-N90	31440434
all	all	all	all	contig-count	628
all	all	all	all	contig-N50	8059748
all	all	all	all	contig-L50	23
all	all	all	all	total-gap-length	15000
all	all	all	all	molecule-count	13
all	all	all	all	top-level-count	478
all	all	all	all	component-count	478
all	all	all	all	gc-perc	40.5
Primary Assembly	all	all	all	total-length	528675121
Primary Assembly	all	all	all	ungapped-length	528660121
Primary Assembly	all	all	all	scaffold-count	478
Primary Assembly	all	all	all	scaffold-N50	36440660
Primary Assembly	all	all	all	spanned-gaps	150
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	all	gc-perc	40.5
Primary Assembly	all	all	assembled-molecule	total-length	488761465
Primary Assembly	all	all	assembled-molecule	ungapped-length	488746465
Primary Assembly	all	all	assembled-molecule	scaffold-count	13
Primary Assembly	all	all	assembled-molecule	scaffold-N50	36629419
Primary Assembly	all	all	assembled-molecule	spanned-gaps	150
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	gc-perc	40
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	39913656
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	39913656
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	465
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	105034
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	gc-perc	45
Primary Assembly	LG01	Linkage Group	all	total-length	36629419
Primary Assembly	LG01	Linkage Group	all	ungapped-length	36627619
Primary Assembly	LG01	Linkage Group	all	scaffold-count	1
Primary Assembly	LG01	Linkage Group	all	scaffold-N50	36629419
Primary Assembly	LG01	Linkage Group	all	spanned-gaps	18
Primary Assembly	LG01	Linkage Group	all	unspanned-gaps	0
Primary Assembly	LG01	Linkage Group	all	gc-perc	40
Primary Assembly	LG01	Linkage Group	assembled-molecule	total-length	36629419
Primary Assembly	LG01	Linkage Group	assembled-molecule	ungapped-length	36627619
Primary Assembly	LG01	Linkage Group	assembled-molecule	scaffold-count	1
Primary Assembly	LG01	Linkage Group	assembled-molecule	scaffold-N50	36629419
Primary Assembly	LG01	Linkage Group	assembled-molecule	spanned-gaps	18
Primary Assembly	LG01	Linkage Group	assembled-molecule	unspanned-gaps	0
Primary Assembly	LG01	Linkage Group	assembled-molecule	gc-perc	40
Primary Assembly	LG01	Linkage Group	unlocalized-scaffold	total-length	0
Primary Assembly	LG01	Linkage Group	unlocalized-scaffold	ungapped-length	0
Primary Assembly	LG01	Linkage Group	unlocalized-scaffold	scaffold-count	0
Primary Assembly	LG01	Linkage Group	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	LG01	Linkage Group	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	LG01	Linkage Group	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	LG02	Linkage Group	all	total-length	34679789
Primary Assembly	LG02	Linkage Group	all	ungapped-length	34678889
Primary Assembly	LG02	Linkage Group	all	scaffold-count	1
Primary Assembly	LG02	Linkage Group	all	scaffold-N50	34679789
Primary Assembly	LG02	Linkage Group	all	spanned-gaps	9
Primary Assembly	LG02	Linkage Group	all	unspanned-gaps	0
Primary Assembly	LG02	Linkage Group	all	gc-perc	40
Primary Assembly	LG02	Linkage Group	assembled-molecule	total-length	34679789
Primary Assembly	LG02	Linkage Group	assembled-molecule	ungapped-length	34678889
Primary Assembly	LG02	Linkage Group	assembled-molecule	scaffold-count	1
Primary Assembly	LG02	Linkage Group	assembled-molecule	scaffold-N50	34679789
Primary Assembly	LG02	Linkage Group	assembled-molecule	spanned-gaps	9
Primary Assembly	LG02	Linkage Group	assembled-molecule	unspanned-gaps	0
Primary Assembly	LG02	Linkage Group	assembled-molecule	gc-perc	40
Primary Assembly	LG02	Linkage Group	unlocalized-scaffold	total-length	0
Primary Assembly	LG02	Linkage Group	unlocalized-scaffold	ungapped-length	0
Primary Assembly	LG02	Linkage Group	unlocalized-scaffold	scaffold-count	0
Primary Assembly	LG02	Linkage Group	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	LG02	Linkage Group	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	LG02	Linkage Group	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	LG03	Linkage Group	all	total-length	43944365
Primary Assembly	LG03	Linkage Group	all	ungapped-length	43943365
Primary Assembly	LG03	Linkage Group	all	scaffold-count	1
Primary Assembly	LG03	Linkage Group	all	scaffold-N50	43944365
Primary Assembly	LG03	Linkage Group	all	spanned-gaps	10
Primary Assembly	LG03	Linkage Group	all	unspanned-gaps	0
Primary Assembly	LG03	Linkage Group	all	gc-perc	39.5
Primary Assembly	LG03	Linkage Group	assembled-molecule	total-length	43944365
Primary Assembly	LG03	Linkage Group	assembled-molecule	ungapped-length	43943365
Primary Assembly	LG03	Linkage Group	assembled-molecule	scaffold-count	1
Primary Assembly	LG03	Linkage Group	assembled-molecule	scaffold-N50	43944365
Primary Assembly	LG03	Linkage Group	assembled-molecule	spanned-gaps	10
Primary Assembly	LG03	Linkage Group	assembled-molecule	unspanned-gaps	0
Primary Assembly	LG03	Linkage Group	assembled-molecule	gc-perc	39.5
Primary Assembly	LG03	Linkage Group	unlocalized-scaffold	total-length	0
