# Assembly Statistics Report
# Assembly name:  BPBGC_Snae_1.0
# Organism name:  Stictonetta naevosa (freckled duck)
# Infraspecific name:  breed=freckled duck
# Isolate:  SHBPF4130
# Sex:  female
# Taxid:          45637
# BioSample:      SAMN13257911
# BioProject:     PRJNA588796
# Submitter:      Brood Parasitic Bird Genomes Consortium
# Date:           2020-03-10
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    JAACYO01
# Assembly method: Supernova 2 v. SEPT-2019
# Expected final version: no
# Genome coverage: 60.0x
# Sequencing technology: Illumina NovaSeq
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_011074415.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_011074425.1		Primary Assembly
## GCA_011074535.1		non-nuclear
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	1132698962
all	all	all	all	spanned-gaps	18928
all	all	all	all	unspanned-gaps	326
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	8736
all	all	all	all	scaffold-N50	10707530
all	all	all	all	scaffold-L50	33
all	all	all	all	scaffold-N75	4128042
all	all	all	all	scaffold-N90	534639
all	all	all	all	contig-count	27664
all	all	all	all	contig-N50	136958
all	all	all	all	contig-L50	2155
all	all	all	all	total-gap-length	15971500
all	all	all	all	molecule-count	35
all	all	all	all	top-level-count	8410
all	all	all	all	component-count	27664
Primary Assembly	all	all	all	total-length	1132682184
Primary Assembly	all	all	all	ungapped-length	1116710684
Primary Assembly	all	all	all	scaffold-count	8735
Primary Assembly	all	all	all	scaffold-N50	10707530
Primary Assembly	all	all	all	spanned-gaps	18928
Primary Assembly	all	all	all	unspanned-gaps	326
Primary Assembly	all	all	assembled-molecule	total-length	1054105859
Primary Assembly	all	all	assembled-molecule	ungapped-length	1039593839
Primary Assembly	all	all	assembled-molecule	scaffold-count	360
Primary Assembly	all	all	assembled-molecule	scaffold-N50	11670397
Primary Assembly	all	all	assembled-molecule	spanned-gaps	15519
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	326
Primary Assembly	all	all	unlocalized-scaffold	total-length	51419239
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	50608569
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	3255
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	41594
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	1433
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	27157086
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	26508276
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	5120
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	9588
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	1976
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	1	Chromosome	all	total-length	208731708
Primary Assembly	1	Chromosome	all	ungapped-length	206159517
Primary Assembly	1	Chromosome	all	scaffold-count	421
Primary Assembly	1	Chromosome	all	scaffold-N50	16014927
