# Assembly Statistics Report
# Assembly name:  Grampus_griseus_HiC
# Organism name:  Grampus griseus (Risso's dolphin)
# Isolate:  Sample2556
# Sex:  female
# Taxid:          83653
# BioSample:      SAMN16895759
# BioProject:     PRJNA512907
# Submitter:      DNA Zoo
# Date:           2023-02-16
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    JAQQSP01
# Assembly method: 3D-DNA v. 2020; JBAT v. 2020 (see dnazoo.org/methods)
# Expected final version: yes
# Genome coverage: 131x
# Sequencing technology: Illumina NovaSeq 6000
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_028646425.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_028646435.1		Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# gc-perc	gc-count/atgc-count as percentage
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	2536411710
all	all	all	all	spanned-gaps	39852
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	773381
all	all	all	all	scaffold-N50	93180659
all	all	all	all	scaffold-L50	11
all	all	all	all	scaffold-N75	72876058
all	all	all	all	scaffold-N90	1308
all	all	all	all	contig-count	813233
all	all	all	all	contig-N50	62041
all	all	all	all	contig-L50	11274
all	all	all	all	total-gap-length	15322385
all	all	all	all	molecule-count	22
all	all	all	all	top-level-count	773381
all	all	all	all	component-count	773381
all	all	all	all	gc-perc	41.5
Primary Assembly	all	all	all	total-length	2536411710
Primary Assembly	all	all	all	ungapped-length	2521089325
Primary Assembly	all	all	all	scaffold-count	773381
Primary Assembly	all	all	all	scaffold-N50	93180659
Primary Assembly	all	all	all	spanned-gaps	39852
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	all	gc-perc	41.5
Primary Assembly	all	all	assembled-molecule	total-length	2119425205
Primary Assembly	all	all	assembled-molecule	ungapped-length	2104130805
Primary Assembly	all	all	assembled-molecule	scaffold-count	22
Primary Assembly	all	all	assembled-molecule	scaffold-N50	98147114
Primary Assembly	all	all	assembled-molecule	spanned-gaps	39584
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	gc-perc	41.5
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	416986505
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	416958520
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	773359
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	790
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	268
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	gc-perc	42
Primary Assembly	1	Chromosome	all	total-length	92578106
Primary Assembly	1	Chromosome	all	ungapped-length	91917306
Primary Assembly	1	Chromosome	all	scaffold-count	1
Primary Assembly	1	Chromosome	all	scaffold-N50	92578106
Primary Assembly	1	Chromosome	all	spanned-gaps	1688
Primary Assembly	1	Chromosome	all	unspanned-gaps	0
Primary Assembly	1	Chromosome	all	gc-perc	41.5
Primary Assembly	1	Chromosome	assembled-molecule	total-length	92578106
Primary Assembly	1	Chromosome	assembled-molecule	ungapped-length	91917306
Primary Assembly	1	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	1	Chromosome	assembled-molecule	scaffold-N50	92578106
Primary Assembly	1	Chromosome	assembled-molecule	spanned-gaps	1688
Primary Assembly	1	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	1	Chromosome	assembled-molecule	gc-perc	41.5
Primary Assembly	1	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	2	Chromosome	all	total-length	31522026
Primary Assembly	2	Chromosome	all	ungapped-length	31265326
Primary Assembly	2	Chromosome	all	scaffold-count	1
Primary Assembly	2	Chromosome	all	scaffold-N50	31522026
Primary Assembly	2	Chromosome	all	spanned-gaps	651
Primary Assembly	2	Chromosome	all	unspanned-gaps	0
Primary Assembly	2	Chromosome	all	gc-perc	40.5
Primary Assembly	2	Chromosome	assembled-molecule	total-length	31522026
Primary Assembly	2	Chromosome	assembled-molecule	ungapped-length	31265326
Primary Assembly	2	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	2	Chromosome	assembled-molecule	scaffold-N50	31522026
Primary Assembly	2	Chromosome	assembled-molecule	spanned-gaps	651
Primary Assembly	2	Chromosome	assembled-molecule	unspanned-gaps	0
