# Assembly Statistics Report
# Assembly name:  ilEreLige1.2
# Organism name:  Erebia ligea (Arran brown butterfly)
# Taxid:          111903
# BioSample:      SAMEA7523313
# BioProject:     PRJEB47965
# Submitter:      WELLCOME SANGER INSTITUTE
# Date:           2022-02-09
# Assembly type:  haploid (principal pseudohaplotype of diploid)
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    CAKAVA02
# Genome coverage: 34x
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_917051295.2
# Linked assembly: GCA_917050995.2 (alternate pseudohaplotype of diploid)
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_917051294.2		Primary Assembly
## GCA_917051296.2		non-nuclear
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# gc-perc	gc-count/atgc-count as percentage
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	506397422
all	all	all	all	spanned-gaps	38
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	41
all	all	all	all	scaffold-N50	19149538
all	all	all	all	scaffold-L50	13
all	all	all	all	scaffold-N75	16815746
all	all	all	all	scaffold-N90	12368103
all	all	all	all	contig-count	79
all	all	all	all	contig-N50	14975182
all	all	all	all	contig-L50	15
all	all	all	all	total-gap-length	5593
all	all	all	all	molecule-count	30
all	all	all	all	top-level-count	41
all	all	all	all	component-count	41
all	all	all	all	gc-perc	37.5
Primary Assembly	all	all	all	total-length	506382226
Primary Assembly	all	all	all	ungapped-length	506376633
Primary Assembly	all	all	all	scaffold-count	40
Primary Assembly	all	all	all	scaffold-N50	19149538
Primary Assembly	all	all	all	spanned-gaps	38
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	all	gc-perc	37.5
Primary Assembly	all	all	assembled-molecule	total-length	505993816
Primary Assembly	all	all	assembled-molecule	ungapped-length	505988223
Primary Assembly	all	all	assembled-molecule	scaffold-count	29
Primary Assembly	all	all	assembled-molecule	scaffold-N50	19149538
Primary Assembly	all	all	assembled-molecule	spanned-gaps	38
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	gc-perc	37.5
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	388410
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	388410
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	11
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	34430
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	gc-perc	41.5
Primary Assembly	1	Chromosome	all	total-length	22722498
Primary Assembly	1	Chromosome	all	ungapped-length	22722398
Primary Assembly	1	Chromosome	all	scaffold-count	1
Primary Assembly	1	Chromosome	all	scaffold-N50	22722498
Primary Assembly	1	Chromosome	all	spanned-gaps	1
Primary Assembly	1	Chromosome	all	unspanned-gaps	0
Primary Assembly	1	Chromosome	all	gc-perc	37
