# Assembly Statistics Report
# Assembly name:  ASM1899795v1
# Organism name:  Gossypium barbadense (sea-island cotton)
# Infraspecific name:  cultivar=Pima90
# Taxid:          3634
# BioSample:      SAMN16880046
# BioProject:     PRJNA680449
# Submitter:      Hebei Agricultural University
# Date:           2021-06-24
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    JAHMMW01
# Assembly method: FALCON v. 1.0
# Expected final version: yes
# Genome coverage: 90.78x
# Sequencing technology: PacBio RSII; Illumina HiSeq
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_018997955.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_018998115.1		Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# gc-perc	gc-count/atgc-count as percentage
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	2210132348
all	all	all	all	spanned-gaps	1722
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	305
all	all	all	all	scaffold-N50	102448369
all	all	all	all	scaffold-L50	10
all	all	all	all	scaffold-N75	67066849
all	all	all	all	scaffold-N90	58605821
all	all	all	all	contig-count	2027
all	all	all	all	contig-N50	3516879
all	all	all	all	contig-L50	199
all	all	all	all	total-gap-length	2177950
all	all	all	all	molecule-count	26
all	all	all	all	top-level-count	305
all	all	all	all	component-count	305
all	all	all	all	gc-perc	34
Primary Assembly	all	all	all	total-length	2210132348
Primary Assembly	all	all	all	ungapped-length	2207954398
Primary Assembly	all	all	all	scaffold-count	305
Primary Assembly	all	all	all	scaffold-N50	102448369
Primary Assembly	all	all	all	spanned-gaps	1722
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	all	gc-perc	34
Primary Assembly	all	all	assembled-molecule	total-length	2204667639
Primary Assembly	all	all	assembled-molecule	ungapped-length	2202533538
Primary Assembly	all	all	assembled-molecule	scaffold-count	26
Primary Assembly	all	all	assembled-molecule	scaffold-N50	102448369
Primary Assembly	all	all	assembled-molecule	spanned-gaps	1678
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	gc-perc	34
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	5464709
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	5420860
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	279
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	50000
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	44
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	gc-perc	38
Primary Assembly	A01	Chromosome	all	total-length	116205217
Primary Assembly	A01	Chromosome	all	ungapped-length	116119069
Primary Assembly	A01	Chromosome	all	scaffold-count	1
Primary Assembly	A01	Chromosome	all	scaffold-N50	116205217
Primary Assembly	A01	Chromosome	all	spanned-gaps	72
Primary Assembly	A01	Chromosome	all	unspanned-gaps	0
Primary Assembly	A01	Chromosome	all	gc-perc	35
Primary Assembly	A01	Chromosome	assembled-molecule	total-length	116205217
Primary Assembly	A01	Chromosome	assembled-molecule	ungapped-length	116119069
Primary Assembly	A01	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	A01	Chromosome	assembled-molecule	scaffold-N50	116205217
Primary Assembly	A01	Chromosome	assembled-molecule	spanned-gaps	72
Primary Assembly	A01	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	A01	Chromosome	assembled-molecule	gc-perc	35
Primary Assembly	A01	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	A01	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	A01	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	A01	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	A01	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	A01	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	D01	Chromosome	all	total-length	64421210
Primary Assembly	D01	Chromosome	all	ungapped-length	64368233
Primary Assembly	D01	Chromosome	all	scaffold-count	1
Primary Assembly	D01	Chromosome	all	scaffold-N50	64421210
Primary Assembly	D01	Chromosome	all	spanned-gaps	43
Primary Assembly	D01	Chromosome	all	unspanned-gaps	0
Primary Assembly	D01	Chromosome	all	gc-perc	33.5
Primary Assembly	D01	Chromosome	assembled-molecule	total-length	64421210
Primary Assembly	D01	Chromosome	assembled-molecule	ungapped-length	64368233
Primary Assembly	D01	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	D01	Chromosome	assembled-molecule	scaffold-N50	64421210
Primary Assembly	D01	Chromosome	assembled-molecule	spanned-gaps	43
Primary Assembly	D01	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	D01	Chromosome	assembled-molecule	gc-perc	33.5
Primary Assembly	D01	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	D01	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	D01	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	D01	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	D01	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	D01	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	A02	Chromosome	all	total-length	103411127
Primary Assembly	A02	Chromosome	all	ungapped-length	103329448
Primary Assembly	A02	Chromosome	all	scaffold-count	1
Primary Assembly	A02	Chromosome	all	scaffold-N50	103411127
Primary Assembly	A02	Chromosome	all	spanned-gaps	62
Primary Assembly	A02	Chromosome	all	unspanned-gaps	0
Primary Assembly	A02	Chromosome	all	gc-perc	35
Primary Assembly	A02	Chromosome	assembled-molecule	total-length	103411127
Primary Assembly	A02	Chromosome	assembled-molecule	ungapped-length	103329448
Primary Assembly	A02	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	A02	Chromosome	assembled-molecule	scaffold-N50	103411127
