# Assembly Statistics Report
# Assembly name:  Gossypium_mustelinum_v1.1
# Organism name:  Gossypium mustelinum (eudicots)
# Isolate:  1408120.09
# Taxid:          34275
# BioSample:      SAMN11110849
# BioProject:     PRJNA525892
# Submitter:      HudsonAlpha Genome Sequencing Center
# Date:           2019-08-27
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    VKGF01
# Assembly method: Mecat v. 1.0
# Genome coverage: 94.12x
# Sequencing technology: PacBio Sequel
# GenBank assembly accession: GCA_007990455.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_007990465.1		Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# gc-perc	gc-count/atgc-count as percentage
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	2315094184
all	all	all	all	spanned-gaps	0
all	all	all	all	unspanned-gaps	1763
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	2146
all	all	all	all	scaffold-N50	2312865
all	all	all	all	scaffold-L50	272
all	all	all	all	scaffold-N75	1144452
all	all	all	all	scaffold-N90	571890
all	all	all	all	contig-count	2146
all	all	all	all	contig-N50	2312865
all	all	all	all	contig-L50	272
all	all	all	all	total-gap-length	17749680
all	all	all	all	molecule-count	26
all	all	all	all	top-level-count	383
all	all	all	all	component-count	2146
all	all	all	all	gc-perc	34.5
Primary Assembly	all	all	all	total-length	2315094184
Primary Assembly	all	all	all	ungapped-length	2297344504
Primary Assembly	all	all	all	scaffold-count	2146
Primary Assembly	all	all	all	scaffold-N50	2312865
Primary Assembly	all	all	all	spanned-gaps	0
Primary Assembly	all	all	all	unspanned-gaps	1763
Primary Assembly	all	all	all	gc-perc	34.5
Primary Assembly	all	all	assembled-molecule	total-length	2292878629
Primary Assembly	all	all	assembled-molecule	ungapped-length	2275128949
Primary Assembly	all	all	assembled-molecule	scaffold-count	1789
Primary Assembly	all	all	assembled-molecule	scaffold-N50	2347251
Primary Assembly	all	all	assembled-molecule	spanned-gaps	0
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	1763
Primary Assembly	all	all	assembled-molecule	gc-perc	34.5
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	22215555
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	22215555
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	357
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	61378
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
