# Assembly Statistics Report
# Assembly name:  BBRACH_0.4
# Organism name:  Brienomyrus brachyistius (bony fishes)
# Isolate:  T26
# Sex:  male
# Taxid:          42636
# BioSample:      SAMN28860763
# BioProject:     PRJNA845764
# Submitter:      Michigan State University
# Date:           2022-06-28
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    JAMWYG01
# Assembly method: hifiasm v. 0.13-r308
# Expected final version: yes
# Genome coverage: 20.0x
# Sequencing technology: PacBio Sequel; Illumina
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_023856365.1
# RefSeq assembly accession: GCF_023856365.1
# RefSeq assembly and GenBank assemblies identical: no
# Reporting on RefSeq assembly.
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_023856375.1	GCF_023856375.1	Primary Assembly
## GCA_023856385.1		non-nuclear
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# gc-perc	gc-count/atgc-count as percentage
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	988106108
all	all	all	all	spanned-gaps	234
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	1426
all	all	all	all	scaffold-N50	27298164
all	all	all	all	scaffold-L50	14
all	all	all	all	scaffold-N75	4225782
all	all	all	all	scaffold-N90	265506
all	all	all	all	contig-count	1660
all	all	all	all	contig-N50	4190077
all	all	all	all	contig-L50	63
all	all	all	all	total-gap-length	112552
all	all	all	all	molecule-count	26
all	all	all	all	top-level-count	1426
all	all	all	all	component-count	1426
all	all	all	all	gc-perc	44
Primary Assembly	all	all	all	total-length	988088817
Primary Assembly	all	all	all	ungapped-length	987976265
Primary Assembly	all	all	all	scaffold-count	1425
Primary Assembly	all	all	all	scaffold-N50	27298164
Primary Assembly	all	all	all	spanned-gaps	234
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	all	gc-perc	44
Primary Assembly	all	all	assembled-molecule	total-length	718061911
Primary Assembly	all	all	assembled-molecule	ungapped-length	717974255
Primary Assembly	all	all	assembled-molecule	scaffold-count	25
Primary Assembly	all	all	assembled-molecule	scaffold-N50	29998957
Primary Assembly	all	all	assembled-molecule	spanned-gaps	178
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	gc-perc	44.5
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	270026906
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	270002010
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	1400
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	690299
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	56
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	gc-perc	43.5
Primary Assembly	1	Chromosome	all	total-length	56739146
Primary Assembly	1	Chromosome	all	ungapped-length	56734646
Primary Assembly	1	Chromosome	all	scaffold-count	1
