# Assembly Statistics Report
# Assembly name:  ASM1839867v1
# Organism name:  Coregonus clupeaformis (lake whitefish)
# Isolate:  EN20210322
# Sex:  male
# Taxid:          59861
# BioSample:      SAMN18351024
# BioProject:     PRJNA715481
# Submitter:      Laval University
# Date:           2021-05-25
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    JAGFYH01
# Assembly method: Flye v. 2.5
# Expected final version: no
# Genome coverage: 20.0x
# Sequencing technology: Oxford Nanopore PromethION
# Excluded from RefSeq: superseded by newer assembly for species
# GenBank assembly accession: GCA_018398675.1
# RefSeq assembly accession: GCF_018398675.1
# RefSeq assembly and GenBank assemblies identical: no
# Reporting on RefSeq assembly.
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_018398705.1	GCF_018398705.1	Primary Assembly
## GCA_018398715.1	GCF_018584365.1	non-nuclear
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# gc-perc	gc-count/atgc-count as percentage
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	2682612298
all	all	all	all	spanned-gaps	1716
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	6355
all	all	all	all	scaffold-N50	57494107
all	all	all	all	scaffold-L50	19
all	all	all	all	scaffold-N75	42336011
all	all	all	all	scaffold-N90	355832
all	all	all	all	contig-count	8071
all	all	all	all	contig-N50	5728271
all	all	all	all	contig-L50	108
all	all	all	all	total-gap-length	74680
all	all	all	all	molecule-count	41
all	all	all	all	top-level-count	6355
all	all	all	all	component-count	6355
all	all	all	all	gc-perc	44
Primary Assembly	all	all	all	total-length	2682595567
Primary Assembly	all	all	all	ungapped-length	2682520887
Primary Assembly	all	all	all	scaffold-count	6354
Primary Assembly	all	all	all	scaffold-N50	57494107
Primary Assembly	all	all	all	spanned-gaps	1716
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	all	gc-perc	44
Primary Assembly	all	all	assembled-molecule	total-length	2217246225
Primary Assembly	all	all	assembled-molecule	ungapped-length	2217183360
Primary Assembly	all	all	assembled-molecule	scaffold-count	40
Primary Assembly	all	all	assembled-molecule	scaffold-N50	63151756
Primary Assembly	all	all	assembled-molecule	spanned-gaps	786
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	gc-perc	44
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	465349342
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	465337527
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	6314
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	266069
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	930
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	gc-perc	44.5
Primary Assembly	1	Chromosome	all	total-length	121031747
Primary Assembly	1	Chromosome	all	ungapped-length	121028167
Primary Assembly	1	Chromosome	all	scaffold-count	1
