# Assembly Statistics Report
# Assembly name:  icSilAtra2.1
# Organism name:  Phosphuga atrata (black snail beetle)
# Taxid:          414934
# BioSample:      SAMEA7520321
# BioProject:     PRJEB53719
# Submitter:      WELLCOME SANGER INSTITUTE
# Date:           2022-07-13
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    CALYMW01
# Genome coverage: 29x
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_944588485.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_944588484.1		Primary Assembly
## GCA_944588486.1		non-nuclear
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# gc-perc	gc-count/atgc-count as percentage
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	1199998149
all	all	all	all	spanned-gaps	1119
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	590
all	all	all	all	scaffold-N50	74247030
all	all	all	all	scaffold-L50	7
all	all	all	all	scaffold-N75	57482062
all	all	all	all	scaffold-N90	34571110
all	all	all	all	contig-count	1709
all	all	all	all	contig-N50	2238738
all	all	all	all	contig-L50	119
all	all	all	all	total-gap-length	223625
all	all	all	all	molecule-count	19
all	all	all	all	top-level-count	590
all	all	all	all	component-count	590
all	all	all	all	gc-perc	36
Primary Assembly	all	all	all	total-length	1199979240
Primary Assembly	all	all	all	ungapped-length	1199755615
Primary Assembly	all	all	all	scaffold-count	589
Primary Assembly	all	all	all	scaffold-N50	74247030
Primary Assembly	all	all	all	spanned-gaps	1119
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	all	gc-perc	36
Primary Assembly	all	all	assembled-molecule	total-length	1146593402
Primary Assembly	all	all	assembled-molecule	ungapped-length	1146378602
Primary Assembly	all	all	assembled-molecule	scaffold-count	18
Primary Assembly	all	all	assembled-molecule	scaffold-N50	74247030
Primary Assembly	all	all	assembled-molecule	spanned-gaps	1074
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	gc-perc	36
Primary Assembly	all	all	unlocalized-scaffold	total-length	5436337
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	5434937
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	16
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	458597
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	7
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	gc-perc	36
Primary Assembly	na	na	unplaced-scaffold	total-length	47949501
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	47942076
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	555
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	191002
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	38
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	gc-perc	37
Primary Assembly	1	Chromosome	all	total-length	111445931
Primary Assembly	1	Chromosome	all	ungapped-length	111421131
Primary Assembly	1	Chromosome	all	scaffold-count	1
Primary Assembly	1	Chromosome	all	scaffold-N50	111445931
Primary Assembly	1	Chromosome	all	spanned-gaps	124
Primary Assembly	1	Chromosome	all	unspanned-gaps	0
Primary Assembly	1	Chromosome	all	gc-perc	35
Primary Assembly	1	Chromosome	assembled-molecule	total-length	111445931
Primary Assembly	1	Chromosome	assembled-molecule	ungapped-length	111421131
Primary Assembly	1	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	1	Chromosome	assembled-molecule	scaffold-N50	111445931
Primary Assembly	1	Chromosome	assembled-molecule	spanned-gaps	124
Primary Assembly	1	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	1	Chromosome	assembled-molecule	gc-perc	35
Primary Assembly	1	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	scaffold-N50	0
