# Assembly Statistics Report
# Assembly name:  SCUR_v1.1
# Organism name:  Sporothrix curviconia (ascomycete fungi)
# Infraspecific name:  strain=CBS 959.73
# Taxid:          1260050
# BioSample:      SAMN14972253
# BioProject:     PRJNA633855
# Submitter:      Wenchao Gao (Third Affiliated Hospital of Sun Yat-sen University, Guangzhou, Guangdong, China), Sun Yao (Third Affiliated Hospital of Sun Yat-sen University, Guangzhou, Guangdong, China), Domenico Giosa (University of Messina, Italy), Letterio Giuffrè (University of Messina, Italy), Huaiqiu Huang (Third Affiliated Hospital of Sun Yat-sen University, Guangzhou, Guangdong, China)
# Date:           2021-09-29
# Assembly type:  haploid
# Release type:   minor
# Assembly level: Contig
# Genome representation: full
# WGS project:    JADMNF01
# Assembly method: CANU v. 2.0; circlator v. 1.5.5
# Expected final version: yes
# Genome coverage: 13x
# Sequencing technology: PacBio RSII
# Relation to type material: assembly from type material
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_016097085.2
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_016097165.2		Primary Assembly
## GCA_020149865.1		non-nuclear
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# gc-perc	gc-count/atgc-count as percentage
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	35088102
all	all	all	all	spanned-gaps	0
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	contig-count	434
all	all	all	all	contig-N50	153870
all	all	all	all	contig-L50	71
all	all	all	all	total-gap-length	0
all	all	all	all	molecule-count	1
all	all	all	all	top-level-count	434
all	all	all	all	component-count	434
all	all	all	all	gc-perc	54.5
Primary Assembly	all	all	all	total-length	35054974
Primary Assembly	all	all	all	ungapped-length	35054974
Primary Assembly	all	all	all	spanned-gaps	0
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	all	gc-perc	54.5
Primary Assembly	all	all	assembled-molecule	total-length	0
Primary Assembly	all	all	assembled-molecule	ungapped-length	0
Primary Assembly	all	all	assembled-molecule	spanned-gaps	0
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	35054974
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	35054974
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	gc-perc	54.5
non-nuclear	all	all	all	total-length	33128
non-nuclear	all	all	all	ungapped-length	33128
non-nuclear	all	all	all	spanned-gaps	0
non-nuclear	all	all	all	unspanned-gaps	0
non-nuclear	all	all	all	gc-perc	25
non-nuclear	all	all	assembled-molecule	total-length	33128
non-nuclear	all	all	assembled-molecule	ungapped-length	33128
non-nuclear	all	all	assembled-molecule	spanned-gaps	0
non-nuclear	all	all	assembled-molecule	unspanned-gaps	0
non-nuclear	all	all	assembled-molecule	gc-perc	25
non-nuclear	all	all	unlocalized-scaffold	total-length	0
non-nuclear	all	all	unlocalized-scaffold	ungapped-length	0
non-nuclear	all	all	unlocalized-scaffold	spanned-gaps	0
non-nuclear	all	all	unlocalized-scaffold	unspanned-gaps	0
non-nuclear	MT	Mitochondrion	all	total-length	33128
non-nuclear	MT	Mitochondrion	all	ungapped-length	33128
non-nuclear	MT	Mitochondrion	all	spanned-gaps	0
non-nuclear	MT	Mitochondrion	all	unspanned-gaps	0
non-nuclear	MT	Mitochondrion	all	gc-perc	25
non-nuclear	MT	Mitochondrion	assembled-molecule	total-length	33128
non-nuclear	MT	Mitochondrion	assembled-molecule	ungapped-length	33128
non-nuclear	MT	Mitochondrion	assembled-molecule	spanned-gaps	0
non-nuclear	MT	Mitochondrion	assembled-molecule	unspanned-gaps	0
non-nuclear	MT	Mitochondrion	assembled-molecule	gc-perc	25
non-nuclear	MT	Mitochondrion	unlocalized-scaffold	total-length	0
non-nuclear	MT	Mitochondrion	unlocalized-scaffold	ungapped-length	0
non-nuclear	MT	Mitochondrion	unlocalized-scaffold	spanned-gaps	0
non-nuclear	MT	Mitochondrion	unlocalized-scaffold	unspanned-gaps	0
