# Assembly Statistics Report
# Assembly name:  ASM2987363v1
# Organism name:  Malania oleifera (eudicots)
# Infraspecific name:  ecotype=guangnan
# Isolate:  guangnan
# Taxid:          397392
# BioSample:      SAMN09235853
# BioProject:     PRJNA472200
# Submitter:      Beijing Forestry University
# Date:           2023-05-15
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    JARUNQ01
# Assembly method: 3d-dna v. 180922
# Expected final version: yes
# Genome coverage: 120.0x
# Sequencing technology: Illumina; PacBio
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_029873635.1
# RefSeq assembly accession: GCF_029873635.1
# RefSeq assembly and GenBank assemblies identical: no
# Reporting on RefSeq assembly.
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_029873805.1	GCF_029873805.1	Primary Assembly
## GCA_029873835.1		non-nuclear
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# gc-perc	gc-count/atgc-count as percentage
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	1495100881
all	all	all	all	spanned-gaps	589
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	514
all	all	all	all	scaffold-N50	112642085
all	all	all	all	scaffold-L50	6
all	all	all	all	scaffold-N75	95940539
all	all	all	all	scaffold-N90	88385804
all	all	all	all	contig-count	1103
all	all	all	all	contig-N50	4952199
all	all	all	all	contig-L50	93
all	all	all	all	total-gap-length	57004
all	all	all	all	molecule-count	15
all	all	all	all	top-level-count	514
all	all	all	all	component-count	514
all	all	all	all	gc-perc	36
Primary Assembly	all	all	all	total-length	1494424960
Primary Assembly	all	all	all	ungapped-length	1494367956
Primary Assembly	all	all	all	scaffold-count	510
Primary Assembly	all	all	all	scaffold-N50	112642085
Primary Assembly	all	all	all	spanned-gaps	589
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	all	gc-perc	36
Primary Assembly	all	all	assembled-molecule	total-length	1468261657
Primary Assembly	all	all	assembled-molecule	ungapped-length	1468204653
Primary Assembly	all	all	assembled-molecule	scaffold-count	13
Primary Assembly	all	all	assembled-molecule	scaffold-N50	112642085
Primary Assembly	all	all	assembled-molecule	spanned-gaps	589
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	gc-perc	36
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	26163303
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	26163303
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	497
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	56417
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	gc-perc	38.5
Primary Assembly	1	Chromosome	all	total-length	156926036
Primary Assembly	1	Chromosome	all	ungapped-length	156917635
Primary Assembly	1	Chromosome	all	scaffold-count	1
