# Assembly Statistics Report
# Assembly name:  fTriRos1.hap1
# Organism name:  Trichomycterus rosablanca (bony fishes)
# Isolate:  fTriRos1
# Sex:  male
# Taxid:          2290929
# BioSample:      SAMN32755940
# BioProject:     PRJNA924296
# Submitter:      Vertebrate Genomes Project
# Date:           2023-05-16
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    JASDDV01
# Assembly method: Hifiasm + Hi-C phasing v. 0.16.1 + galaxy4; yahs v. 1.2a.2 + galaxy0
# Expected final version: no
# Genome coverage: 40.0x
# Sequencing technology: PacBio Sequel II HiFi; Arima Hi-C v2
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_030014385.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_030015035.1		Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# gc-perc	gc-count/atgc-count as percentage
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	1045025885
all	all	all	all	spanned-gaps	198
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	349
all	all	all	all	scaffold-N50	40419146
all	all	all	all	scaffold-L50	10
all	all	all	all	scaffold-N75	30931393
all	all	all	all	scaffold-N90	19820548
all	all	all	all	contig-count	547
all	all	all	all	contig-N50	13074164
all	all	all	all	contig-L50	24
all	all	all	all	total-gap-length	39600
all	all	all	all	molecule-count	27
all	all	all	all	top-level-count	349
all	all	all	all	component-count	349
all	all	all	all	gc-perc	40.5
Primary Assembly	all	all	all	total-length	1045025885
Primary Assembly	all	all	all	ungapped-length	1044986285
Primary Assembly	all	all	all	scaffold-count	349
Primary Assembly	all	all	all	scaffold-N50	40419146
Primary Assembly	all	all	all	spanned-gaps	198
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	all	gc-perc	40.5
Primary Assembly	all	all	assembled-molecule	total-length	1016639594
Primary Assembly	all	all	assembled-molecule	ungapped-length	1016599994
Primary Assembly	all	all	assembled-molecule	scaffold-count	27
Primary Assembly	all	all	assembled-molecule	scaffold-N50	40419146
Primary Assembly	all	all	assembled-molecule	spanned-gaps	198
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	gc-perc	40
Primary Assembly	all	all	unlocalized-scaffold	total-length	1909031
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	1909031
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	3
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	1270000
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	gc-perc	44.5
Primary Assembly	na	na	unplaced-scaffold	total-length	26477260
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	26477260
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	319
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	124928
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	gc-perc	41.5
