# Assembly Statistics Report
# Assembly name:  UCONN_Acsa_1.0
# Organism name:  Acer saccharum (sugar maple)
# Isolate:  NS2018
# Taxid:          4024
# BioSample:      SAMN20306893
# BioProject:     PRJNA748028
# Submitter:      University of Connecticut
# Date:           2023-07-18
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    JAUESC01
# Assembly method: FALCON-Unzip v. pb-assembly v0.0.6
# Expected final version: yes
# Genome coverage: 103.0x
# Sequencing technology: PacBio Sequel
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_030490815.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_030490825.1		Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# gc-perc	gc-count/atgc-count as percentage
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	626454929
all	all	all	all	spanned-gaps	1025
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	388
all	all	all	all	scaffold-N50	45724731
all	all	all	all	scaffold-L50	6
all	all	all	all	scaffold-N75	40376603
all	all	all	all	scaffold-N90	36639500
all	all	all	all	contig-count	1413
all	all	all	all	contig-N50	1081516
all	all	all	all	contig-L50	165
all	all	all	all	total-gap-length	512500
all	all	all	all	molecule-count	13
all	all	all	all	top-level-count	388
all	all	all	all	component-count	388
all	all	all	all	gc-perc	35.5
Primary Assembly	all	all	all	total-length	626454929
Primary Assembly	all	all	all	ungapped-length	625942429
Primary Assembly	all	all	all	scaffold-count	388
Primary Assembly	all	all	all	scaffold-N50	45724731
Primary Assembly	all	all	all	spanned-gaps	1025
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	all	gc-perc	35.5
Primary Assembly	all	all	assembled-molecule	total-length	607988323
Primary Assembly	all	all	assembled-molecule	ungapped-length	607499323
Primary Assembly	all	all	assembled-molecule	scaffold-count	13
Primary Assembly	all	all	assembled-molecule	scaffold-N50	45724731
Primary Assembly	all	all	assembled-molecule	spanned-gaps	978
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	gc-perc	35.5
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	18466606
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	18443106
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	375
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	109938
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	47
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	gc-perc	44.5
Primary Assembly	1	Chromosome	all	total-length	68459104
Primary Assembly	1	Chromosome	all	ungapped-length	68404104
Primary Assembly	1	Chromosome	all	scaffold-count	1
