# Assembly Statistics Report
# Assembly name:  bCapEur3.1
# Organism name:  Caprimulgus europaeus (Eurasian nightjar)
# Taxid:          111811
# BioSample:      SAMEA7524394
# BioProject:     PRJEB44540
# Submitter:      WELLCOME SANGER INSTITUTE
# Date:           2021-05-17
# Assembly type:  haploid (principal pseudohaplotype of diploid)
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    CAJRAV01
# Genome coverage: 87x
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_907165065.1
# Linked assembly: GCA_907165095.1 (alternate pseudohaplotype of diploid)
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_907165064.1		Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	1177791212
all	all	all	all	spanned-gaps	153
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	121
all	all	all	all	scaffold-N50	82614289
all	all	all	all	scaffold-L50	6
all	all	all	all	scaffold-N75	35230674
all	all	all	all	scaffold-N90	15699869
all	all	all	all	contig-count	274
all	all	all	all	contig-N50	30622946
all	all	all	all	contig-L50	11
all	all	all	all	total-gap-length	25835
all	all	all	all	molecule-count	37
all	all	all	all	top-level-count	121
all	all	all	all	component-count	121
Primary Assembly	all	all	all	total-length	1177791212
Primary Assembly	all	all	all	ungapped-length	1177765377
Primary Assembly	all	all	all	scaffold-count	121
Primary Assembly	all	all	all	scaffold-N50	82614289
Primary Assembly	all	all	all	spanned-gaps	153
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	total-length	1169931112
Primary Assembly	all	all	assembled-molecule	ungapped-length	1169911329
Primary Assembly	all	all	assembled-molecule	scaffold-count	37
Primary Assembly	all	all	assembled-molecule	scaffold-N50	82614289
Primary Assembly	all	all	assembled-molecule	spanned-gaps	136
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	7860100
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	7854048
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	84
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	236727
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	17
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	1	Chromosome	all	total-length	126318510
Primary Assembly	1	Chromosome	all	ungapped-length	126317310
