# Assembly Statistics Report
# Assembly name:  ASM3246443v1
# Organism name:  Aegilops umbellulata (monocots)
# Infraspecific name:  cultivar=TA1851
# Taxid:          4491
# BioSample:      SAMN37527811
# BioProject:     PRJNA1020739
# Submitter:      King Abdullah University of Science and Technology
# Date:           2023-10-09
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# Assembly method: LJA v. 0.2; DeepConsensus v. 1.0.0
# Expected final version: yes
# Genome coverage: 30.0x
# Sequencing technology: PacBio Sequel
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_032464435.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_032464445.1		Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# gc-perc	gc-count/atgc-count as percentage
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	4226360594
all	all	all	all	spanned-gaps	423
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	7
all	all	all	all	scaffold-N50	626841358
all	all	all	all	scaffold-L50	4
all	all	all	all	scaffold-N75	587623253
all	all	all	all	scaffold-N90	494422770
all	all	all	all	contig-count	430
all	all	all	all	contig-N50	17920629
all	all	all	all	contig-L50	77
all	all	all	all	total-gap-length	42300
all	all	all	all	molecule-count	7
all	all	all	all	top-level-count	7
all	all	all	all	component-count	7
all	all	all	all	gc-perc	47
Primary Assembly	all	all	all	total-length	4226360594
Primary Assembly	all	all	all	ungapped-length	4226318294
Primary Assembly	all	all	all	scaffold-count	7
Primary Assembly	all	all	all	scaffold-N50	626841358
Primary Assembly	all	all	all	spanned-gaps	423
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	all	gc-perc	47
Primary Assembly	all	all	assembled-molecule	total-length	4226360594
Primary Assembly	all	all	assembled-molecule	ungapped-length	4226318294
Primary Assembly	all	all	assembled-molecule	scaffold-count	7
Primary Assembly	all	all	assembled-molecule	scaffold-N50	626841358
Primary Assembly	all	all	assembled-molecule	spanned-gaps	423
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	gc-perc	47
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	1U	Chromosome	all	total-length	494422770
Primary Assembly	1U	Chromosome	all	ungapped-length	494418470
Primary Assembly	1U	Chromosome	all	scaffold-count	1
Primary Assembly	1U	Chromosome	all	scaffold-N50	494422770
Primary Assembly	1U	Chromosome	all	spanned-gaps	43
Primary Assembly	1U	Chromosome	all	unspanned-gaps	0
Primary Assembly	1U	Chromosome	all	gc-perc	47
Primary Assembly	1U	Chromosome	assembled-molecule	total-length	494422770
Primary Assembly	1U	Chromosome	assembled-molecule	ungapped-length	494418470
Primary Assembly	1U	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	1U	Chromosome	assembled-molecule	scaffold-N50	494422770
Primary Assembly	1U	Chromosome	assembled-molecule	spanned-gaps	43
Primary Assembly	1U	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	1U	Chromosome	assembled-molecule	gc-perc	47
Primary Assembly	1U	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	1U	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	1U	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	1U	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	1U	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	1U	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	2U	Chromosome	all	total-length	646201372
Primary Assembly	2U	Chromosome	all	ungapped-length	646194872
Primary Assembly	2U	Chromosome	all	scaffold-count	1
Primary Assembly	2U	Chromosome	all	scaffold-N50	646201372
Primary Assembly	2U	Chromosome	all	spanned-gaps	65
Primary Assembly	2U	Chromosome	all	unspanned-gaps	0
Primary Assembly	2U	Chromosome	all	gc-perc	47
Primary Assembly	2U	Chromosome	assembled-molecule	total-length	646201372
Primary Assembly	2U	Chromosome	assembled-molecule	ungapped-length	646194872
Primary Assembly	2U	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	2U	Chromosome	assembled-molecule	scaffold-N50	646201372
Primary Assembly	2U	Chromosome	assembled-molecule	spanned-gaps	65
Primary Assembly	2U	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	2U	Chromosome	assembled-molecule	gc-perc	47
Primary Assembly	2U	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	2U	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	2U	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	2U	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	2U	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	2U	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	3U	Chromosome	all	total-length	587623253
Primary Assembly	3U	Chromosome	all	ungapped-length	587615653
Primary Assembly	3U	Chromosome	all	scaffold-count	1
Primary Assembly	3U	Chromosome	all	scaffold-N50	587623253
Primary Assembly	3U	Chromosome	all	spanned-gaps	76
Primary Assembly	3U	Chromosome	all	unspanned-gaps	0
Primary Assembly	3U	Chromosome	all	gc-perc	47
Primary Assembly	3U	Chromosome	assembled-molecule	total-length	587623253
