# Assembly Statistics Report
# Assembly name:  PisVer_v2
# Organism name:  Pistacia vera (pistachio)
# Infraspecific name:  cultivar=Batoury
# Taxid:          55513
# BioSample:      SAMN11269074
# BioProject:     PRJNA526975
# Submitter:      Chinese Academy of Sciences
# Date:           2019-09-23
# Assembly type:  haploid
# Release type:   major
# Assembly level: Scaffold
# Genome representation: full
# WGS project:    VTWI01
# Assembly method: PBJelly v. 15.8.24
# Expected final version: yes
# Genome coverage: 374x
# Sequencing technology: PacBio Sequel
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_008641045.1
# RefSeq assembly accession: GCF_008641045.1
# RefSeq assembly and GenBank assemblies identical: no
# Reporting on RefSeq assembly.
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_008641385.1	GCF_008641385.1	Primary Assembly
## GCA_008641405.1	GCF_009150705.1	non-nuclear
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# gc-perc	gc-count/atgc-count as percentage
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	671152441
all	all	all	all	spanned-gaps	462
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	1888
all	all	all	all	scaffold-N50	949204
all	all	all	all	scaffold-L50	217
all	all	all	all	scaffold-N75	507168
all	all	all	all	scaffold-N90	263530
all	all	all	all	contig-count	2350
all	all	all	all	contig-N50	714252
all	all	all	all	contig-L50	282
all	all	all	all	total-gap-length	1059236
all	all	all	all	molecule-count	1
all	all	all	all	top-level-count	1888
all	all	all	all	component-count	1888
all	all	all	all	gc-perc	36
Primary Assembly	all	all	all	total-length	671119336
Primary Assembly	all	all	all	ungapped-length	670060100
Primary Assembly	all	all	all	scaffold-count	1864
Primary Assembly	all	all	all	scaffold-N50	949204
Primary Assembly	all	all	all	spanned-gaps	462
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	all	gc-perc	36
Primary Assembly	all	all	assembled-molecule	total-length	0
Primary Assembly	all	all	assembled-molecule	ungapped-length	0
Primary Assembly	all	all	assembled-molecule	scaffold-count	0
Primary Assembly	all	all	assembled-molecule	scaffold-N50	0
Primary Assembly	all	all	assembled-molecule	spanned-gaps	0
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	671119336
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	670060100
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	1864
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	949204
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	462
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	gc-perc	36
non-nuclear	all	all	all	total-length	33105
non-nuclear	all	all	all	ungapped-length	33105
non-nuclear	all	all	all	scaffold-count	24
non-nuclear	all	all	all	scaffold-N50	1382
non-nuclear	all	all	all	spanned-gaps	0
non-nuclear	all	all	all	unspanned-gaps	0
