# Assembly Statistics Report
# Assembly name:  BlacSF5v2
# Organism name:  Bremia lactucae (lettuce downy mildew)
# Infraspecific name:  strain=SF5
# Taxid:          4779
# BioSample:      SAMN07163504
# BioProject:     PRJNA387613
# Submitter:      UC Davis Genome Center
# Date:           2021-08-20
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    SHOA02
# Assembly method: Celera Assembler v. 2011
# Expected final version: yes
# Genome coverage: 200.0x
# Sequencing technology: Moleculo; PacBio; Illumina
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_004359215.2
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_004359225.2		Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# gc-perc	gc-count/atgc-count as percentage
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	115935664
all	all	all	all	spanned-gaps	5000
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	220
all	all	all	all	scaffold-N50	5324134
all	all	all	all	scaffold-L50	7
all	all	all	all	scaffold-N75	2839311
all	all	all	all	scaffold-N90	1233567
all	all	all	all	contig-count	5220
all	all	all	all	contig-N50	28789
all	all	all	all	contig-L50	932
all	all	all	all	total-gap-length	24921225
all	all	all	all	molecule-count	19
all	all	all	all	top-level-count	220
all	all	all	all	component-count	220
all	all	all	all	gc-perc	46
Primary Assembly	all	all	all	total-length	115935664
Primary Assembly	all	all	all	ungapped-length	91014439
Primary Assembly	all	all	all	scaffold-count	220
Primary Assembly	all	all	all	scaffold-N50	5324134
Primary Assembly	all	all	all	spanned-gaps	5000
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	all	gc-perc	46
Primary Assembly	all	all	assembled-molecule	total-length	97075051
Primary Assembly	all	all	assembled-molecule	ungapped-length	75843929
Primary Assembly	all	all	assembled-molecule	scaffold-count	19
Primary Assembly	all	all	assembled-molecule	scaffold-N50	6072256
Primary Assembly	all	all	assembled-molecule	spanned-gaps	4219
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	gc-perc	46
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	18860613
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	15170510
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	201
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	1233567
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	781
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	gc-perc	46
Primary Assembly	LG1	Linkage Group	all	total-length	16032334
Primary Assembly	LG1	Linkage Group	all	ungapped-length	12281613
Primary Assembly	LG1	Linkage Group	all	scaffold-count	1
Primary Assembly	LG1	Linkage Group	all	scaffold-N50	16032334
Primary Assembly	LG1	Linkage Group	all	spanned-gaps	672
