# Assembly Statistics Report
# Assembly name:  Cadam_11369
# Organism name:  Crotalus adamanteus (eastern diamondback rattlesnake)
# Isolate:  Cadam-KW1264
# Sex:  female
# Taxid:          8729
# BioSample:      SAMN16378231
# BioProject:     PRJNA667573
# Submitter:      Florida State University
# Date:           2021-05-25
# Assembly type:  haploid
# Release type:   major
# Assembly level: Scaffold
# Genome representation: full
# WGS project:    JADPQB01
# Assembly method: MaSuRCA v. 3.2.8
# Expected final version: no
# Genome coverage: 60.0x
# Sequencing technology: Illumina HiSeq; Oxford Nanopore; PacBio
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_018446365.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_018447795.1		Primary Assembly
## GCA_018447805.1		non-nuclear
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# gc-perc	gc-count/atgc-count as percentage
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	1597647985
all	all	all	all	spanned-gaps	2
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	11369
all	all	all	all	scaffold-N50	338034
all	all	all	all	scaffold-L50	1275
all	all	all	all	scaffold-N75	152941
all	all	all	all	scaffold-N90	67021
all	all	all	all	contig-count	11371
all	all	all	all	contig-N50	338034
all	all	all	all	contig-L50	1275
all	all	all	all	total-gap-length	150
all	all	all	all	molecule-count	20
all	all	all	all	top-level-count	11369
all	all	all	all	component-count	11369
all	all	all	all	gc-perc	40
Primary Assembly	all	all	all	total-length	1597630743
Primary Assembly	all	all	all	ungapped-length	1597630593
Primary Assembly	all	all	all	scaffold-count	11368
Primary Assembly	all	all	all	scaffold-N50	338034
Primary Assembly	all	all	all	spanned-gaps	2
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	all	gc-perc	40
Primary Assembly	all	all	assembled-molecule	total-length	0
Primary Assembly	all	all	assembled-molecule	ungapped-length	0
Primary Assembly	all	all	assembled-molecule	scaffold-count	0
Primary Assembly	all	all	assembled-molecule	scaffold-N50	0
Primary Assembly	all	all	assembled-molecule	spanned-gaps	0
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	total-length	1479479078
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	1479478928
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	9847
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	351297
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	2
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	gc-perc	39.5
Primary Assembly	na	na	unplaced-scaffold	total-length	118151665
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	118151665
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	1521
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	202593
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	gc-perc	43
Primary Assembly	1	Chromosome	all	total-length	313131583
