# Assembly Statistics Report
# Assembly name:  ASM2063173v1
# Organism name:  Saccharum officinarum (monocots)
# Infraspecific name:  cultivar=LA-purple
# Taxid:          4547
# BioSample:      SAMN20080868
# BioProject:     PRJNA744175
# Submitter:      Fujian Agriculture and Forestry University
# Date:           2021-10-27
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    JAIWYO01
# Assembly method: FALCON v. 0.3; CANU v. 1.5
# Expected final version: yes
# Genome coverage: 66.0x
# Sequencing technology: PacBio RSII; Illumina
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_020631735.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_020631745.1		Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# gc-perc	gc-count/atgc-count as percentage
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	6804885551
all	all	all	all	spanned-gaps	93841
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	9617
all	all	all	all	scaffold-N50	82862972
all	all	all	all	scaffold-L50	32
all	all	all	all	scaffold-N75	64600919
all	all	all	all	scaffold-N90	52719268
all	all	all	all	contig-count	103458
all	all	all	all	contig-N50	87345
all	all	all	all	contig-L50	22099
all	all	all	all	total-gap-length	17568243
all	all	all	all	molecule-count	80
all	all	all	all	top-level-count	9617
all	all	all	all	component-count	9617
all	all	all	all	gc-perc	44.5
Primary Assembly	all	all	all	total-length	6804885551
Primary Assembly	all	all	all	ungapped-length	6787317308
Primary Assembly	all	all	all	scaffold-count	9617
Primary Assembly	all	all	all	scaffold-N50	82862972
Primary Assembly	all	all	all	spanned-gaps	93841
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	all	gc-perc	44.5
Primary Assembly	all	all	assembled-molecule	total-length	6496772101
Primary Assembly	all	all	assembled-molecule	ungapped-length	6479233171
Primary Assembly	all	all	assembled-molecule	scaffold-count	80
Primary Assembly	all	all	assembled-molecule	scaffold-N50	85721986
Primary Assembly	all	all	assembled-molecule	spanned-gaps	93803
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	gc-perc	44.5
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	308113450
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	308084137
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	9537
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	38282
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	38
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	gc-perc	45
Primary Assembly	A01	Chromosome	all	total-length	149504399
Primary Assembly	A01	Chromosome	all	ungapped-length	149295281
Primary Assembly	A01	Chromosome	all	scaffold-count	1
Primary Assembly	A01	Chromosome	all	scaffold-N50	149504399
Primary Assembly	A01	Chromosome	all	spanned-gaps	1722
Primary Assembly	A01	Chromosome	all	unspanned-gaps	0
Primary Assembly	A01	Chromosome	all	gc-perc	44.5
Primary Assembly	A01	Chromosome	assembled-molecule	total-length	149504399
Primary Assembly	A01	Chromosome	assembled-molecule	ungapped-length	149295281
Primary Assembly	A01	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	A01	Chromosome	assembled-molecule	scaffold-N50	149504399
Primary Assembly	A01	Chromosome	assembled-molecule	spanned-gaps	1722
Primary Assembly	A01	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	A01	Chromosome	assembled-molecule	gc-perc	44.5
Primary Assembly	A01	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	A01	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	A01	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	A01	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	A01	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	A01	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	A02	Chromosome	all	total-length	123138761
Primary Assembly	A02	Chromosome	all	ungapped-length	122887303
Primary Assembly	A02	Chromosome	all	scaffold-count	1
Primary Assembly	A02	Chromosome	all	scaffold-N50	123138761
Primary Assembly	A02	Chromosome	all	spanned-gaps	1749
Primary Assembly	A02	Chromosome	all	unspanned-gaps	0
Primary Assembly	A02	Chromosome	all	gc-perc	44.5
Primary Assembly	A02	Chromosome	assembled-molecule	total-length	123138761
Primary Assembly	A02	Chromosome	assembled-molecule	ungapped-length	122887303
Primary Assembly	A02	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	A02	Chromosome	assembled-molecule	scaffold-N50	123138761
Primary Assembly	A02	Chromosome	assembled-molecule	spanned-gaps	1749
Primary Assembly	A02	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	A02	Chromosome	assembled-molecule	gc-perc	44.5
Primary Assembly	A02	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	A02	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	A02	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	A02	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	A02	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	A02	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	A03	Chromosome	all	total-length	104873904
Primary Assembly	A03	Chromosome	all	ungapped-length	104651654
Primary Assembly	A03	Chromosome	all	scaffold-count	1
Primary Assembly	A03	Chromosome	all	scaffold-N50	104873904
Primary Assembly	A03	Chromosome	all	spanned-gaps	1395
Primary Assembly	A03	Chromosome	all	unspanned-gaps	0
Primary Assembly	A03	Chromosome	all	gc-perc	45
Primary Assembly	A03	Chromosome	assembled-molecule	total-length	104873904
Primary Assembly	A03	Chromosome	assembled-molecule	ungapped-length	104651654
Primary Assembly	A03	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	A03	Chromosome	assembled-molecule	scaffold-N50	104873904
Primary Assembly	A03	Chromosome	assembled-molecule	spanned-gaps	1395
Primary Assembly	A03	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	A03	Chromosome	assembled-molecule	gc-perc	45
Primary Assembly	A03	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	A03	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	A03	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	A03	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	A03	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	A03	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	A04	Chromosome	all	total-length	114710991
Primary Assembly	A04	Chromosome	all	ungapped-length	114381258
Primary Assembly	A04	Chromosome	all	scaffold-count	1
Primary Assembly	A04	Chromosome	all	scaffold-N50	114710991
Primary Assembly	A04	Chromosome	all	spanned-gaps	1657
Primary Assembly	A04	Chromosome	all	unspanned-gaps	0
Primary Assembly	A04	Chromosome	all	gc-perc	45
Primary Assembly	A04	Chromosome	assembled-molecule	total-length	114710991
Primary Assembly	A04	Chromosome	assembled-molecule	ungapped-length	114381258
Primary Assembly	A04	Chromosome	assembled-molecule	scaffold-count	1
