# Assembly Statistics Report
# Assembly name:  iyGasJacu1.1
# Organism name:  Gasteruption jaculator (wasps, ants & bees)
# Taxid:          2718756
# BioSample:      SAMEA7524391
# BioProject:     PRJEB61396
# Submitter:      WELLCOME SANGER INSTITUTE
# Date:           2023-04-19
# Assembly type:  haploid (principal pseudohaplotype of diploid)
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    CATKWD01
# Assembly method: various
# Genome coverage: 99x
# Sequencing technology: PacBio,Arima2
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_949825005.1
# Linked assembly: GCA_949825035.1 (alternate pseudohaplotype of diploid)
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_949825004.1		Primary Assembly
## GCA_949825006.1		non-nuclear
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# gc-perc	gc-count/atgc-count as percentage
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	275622403
all	all	all	all	spanned-gaps	359
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	243
all	all	all	all	scaffold-N50	17765206
all	all	all	all	scaffold-L50	7
all	all	all	all	scaffold-N75	12839293
all	all	all	all	scaffold-N90	11165018
all	all	all	all	contig-count	602
all	all	all	all	contig-N50	1418786
all	all	all	all	contig-L50	55
all	all	all	all	total-gap-length	71800
all	all	all	all	molecule-count	17
all	all	all	all	top-level-count	243
all	all	all	all	component-count	243
all	all	all	all	gc-perc	36.5
Primary Assembly	all	all	all	total-length	275602730
Primary Assembly	all	all	all	ungapped-length	275530930
Primary Assembly	all	all	all	scaffold-count	242
Primary Assembly	all	all	all	scaffold-N50	17765206
Primary Assembly	all	all	all	spanned-gaps	359
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	all	gc-perc	36.5
Primary Assembly	all	all	assembled-molecule	total-length	259029022
Primary Assembly	all	all	assembled-molecule	ungapped-length	258957622
Primary Assembly	all	all	assembled-molecule	scaffold-count	16
Primary Assembly	all	all	assembled-molecule	scaffold-N50	17765206
Primary Assembly	all	all	assembled-molecule	spanned-gaps	357
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	gc-perc	36
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	16573708
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	16573308
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	226
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	108018
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	2
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	gc-perc	40.5
Primary Assembly	1	Chromosome	all	total-length	25051164
