# Assembly Statistics Report
# Assembly name:  COCON_1.0
# Organism name:  Conger conger (European conger)
# Isolate:  Concon-B
# Sex:  female
# Taxid:          82655
# BioSample:      SAMN17922836
# BioProject:     PRJNA702045
# Submitter:      GenoFish
# Date:           2023-04-12
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    JAFJMO01
# Assembly method: WTDBG2 v. 2.3; Juicer v. 1.5.7; 3D-DNA v. 180114
# Expected final version: yes
# Genome coverage: 38.0x
# Sequencing technology: Oxford Nanopore GridION; Oxford Nanopore PromethION; Illumina HiSeq
# GenBank assembly accession: GCA_029692045.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_029692055.1		Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# gc-perc	gc-count/atgc-count as percentage
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	1005908649
all	all	all	all	spanned-gaps	2357
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	1686
all	all	all	all	scaffold-N50	55204474
all	all	all	all	scaffold-L50	8
all	all	all	all	scaffold-N75	43673778
all	all	all	all	scaffold-N90	35661501
all	all	all	all	contig-count	4043
all	all	all	all	contig-N50	1398550
all	all	all	all	contig-L50	197
all	all	all	all	total-gap-length	235700
all	all	all	all	molecule-count	19
all	all	all	all	top-level-count	1686
all	all	all	all	component-count	1686
all	all	all	all	gc-perc	43.5
Primary Assembly	all	all	all	total-length	1005908649
Primary Assembly	all	all	all	ungapped-length	1005672949
Primary Assembly	all	all	all	scaffold-count	1686
Primary Assembly	all	all	all	scaffold-N50	55204474
Primary Assembly	all	all	all	spanned-gaps	2357
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	all	gc-perc	43.5
Primary Assembly	all	all	assembled-molecule	total-length	974117540
Primary Assembly	all	all	assembled-molecule	ungapped-length	973917940
Primary Assembly	all	all	assembled-molecule	scaffold-count	19
Primary Assembly	all	all	assembled-molecule	scaffold-N50	55204474
Primary Assembly	all	all	assembled-molecule	spanned-gaps	1996
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	gc-perc	43.5
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	31791109
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	31755009
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	1667
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	25941
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	361
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	gc-perc	43
Primary Assembly	1	Chromosome	all	total-length	83362354
Primary Assembly	1	Chromosome	all	ungapped-length	83345854
