# Assembly Statistics Report
# Assembly name:  Gothu_v1
# Organism name:  Gossypium thurberi (eudicots)
# Isolate:  35
# Taxid:          34273
# BioSample:      SAMN09928035
# BioProject:     PRJNA488266
# Submitter:      Mississippi State University
# Date:           2019-01-16
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    RCOT01
# Assembly method: ABySS v. 2.0.1; Chromosomer v. August 2017
# Expected final version: yes
# Reference guided assembly: GCA_000327365.1
# Genome coverage: 37.5x
# Sequencing technology: Illumina HiSeq
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_004027125.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_004027135.1		Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# gc-perc	gc-count/atgc-count as percentage
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	582006748
all	all	all	all	spanned-gaps	262606
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	15297
all	all	all	all	scaffold-N50	40416325
all	all	all	all	scaffold-L50	7
all	all	all	all	scaffold-N75	33811007
all	all	all	all	scaffold-N90	13137
all	all	all	all	contig-count	277903
all	all	all	all	contig-N50	6033
all	all	all	all	contig-L50	26257
all	all	all	all	total-gap-length	25910976
all	all	all	all	molecule-count	13
all	all	all	all	top-level-count	15297
all	all	all	all	component-count	15297
all	all	all	all	gc-perc	33.5
Primary Assembly	all	all	all	total-length	582006748
Primary Assembly	all	all	all	ungapped-length	556095772
Primary Assembly	all	all	all	scaffold-count	15297
Primary Assembly	all	all	all	scaffold-N50	40416325
Primary Assembly	all	all	all	spanned-gaps	262606
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	all	gc-perc	33.5
Primary Assembly	all	all	assembled-molecule	total-length	496766117
Primary Assembly	all	all	assembled-molecule	ungapped-length	471249178
Primary Assembly	all	all	assembled-molecule	scaffold-count	13
Primary Assembly	all	all	assembled-molecule	scaffold-N50	40620803
Primary Assembly	all	all	assembled-molecule	spanned-gaps	257200
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	gc-perc	33.5
Primary Assembly	all	all	unlocalized-scaffold	total-length	54706688
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	54581175
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	7937
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	10662
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	2275
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	gc-perc	33.5
Primary Assembly	na	na	unplaced-scaffold	total-length	30533943
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	30265419
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	7347
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	5736
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	3131
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	gc-perc	35.5
Primary Assembly	1	Chromosome	all	total-length	41638125
Primary Assembly	1	Chromosome	all	ungapped-length	39377755
Primary Assembly	1	Chromosome	all	scaffold-count	568
Primary Assembly	1	Chromosome	all	scaffold-N50	37417161
Primary Assembly	1	Chromosome	all	spanned-gaps	18686
Primary Assembly	1	Chromosome	all	unspanned-gaps	0
Primary Assembly	1	Chromosome	all	gc-perc	33.5
