# Assembly Statistics Report
# Assembly name:  PAN1.0
# Organism name:  Protopterus annectens (West African lungfish)
# Isolate:  FY-2018-M
# Sex:  male
# Taxid:          7888
# BioSample:      SAMN17890435
# BioProject:     PRJNA701604
# Submitter:      Northwestern Polytechnical University
# Date:           2021-07-20
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    JAGYFI01
# Assembly method: wtdbg v. huge
# Expected final version: yes
# Genome coverage: 50.0x
# Sequencing technology: Oxford Nanopore
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_019279795.1
# RefSeq assembly accession: GCF_019279795.1
# RefSeq assembly and GenBank assemblies identical: no
# Reporting on RefSeq assembly.
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_019279805.1	GCF_019279805.1	Primary Assembly
## 	GCF_019584425.1	non-nuclear
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# gc-perc	gc-count/atgc-count as percentage
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	40054324612
all	all	all	all	spanned-gaps	61560
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	12667
all	all	all	all	scaffold-N50	1974114035
all	all	all	all	scaffold-L50	11
all	all	all	all	scaffold-N75	1371727335
all	all	all	all	scaffold-N90	863342500
all	all	all	all	contig-count	74227
all	all	all	all	contig-N50	1603140
all	all	all	all	contig-L50	6864
all	all	all	all	total-gap-length	993106966
all	all	all	all	molecule-count	27
all	all	all	all	top-level-count	12667
all	all	all	all	component-count	12667
all	all	all	all	gc-perc	40
Primary Assembly	all	all	all	total-length	40054324612
Primary Assembly	all	all	all	ungapped-length	39061217646
Primary Assembly	all	all	all	scaffold-count	12667
Primary Assembly	all	all	all	scaffold-N50	1974114035
Primary Assembly	all	all	all	spanned-gaps	61560
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	all	gc-perc	40
Primary Assembly	all	all	assembled-molecule	total-length	39928011021
Primary Assembly	all	all	assembled-molecule	ungapped-length	38934904055
Primary Assembly	all	all	assembled-molecule	scaffold-count	27
Primary Assembly	all	all	assembled-molecule	scaffold-N50	2000000000
Primary Assembly	all	all	assembled-molecule	spanned-gaps	61560
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	gc-perc	40
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	126313591
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	126313591
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	12640
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	10894
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	gc-perc	41
Primary Assembly	1.part0	Chromosome	all	total-length	2000000000
Primary Assembly	1.part0	Chromosome	all	ungapped-length	1956520579
