# Assembly Statistics Report
# Assembly name:  icNebBrev1.1
# Organism name:  Nebria brevicollis (beetles)
# Taxid:          110024
# BioSample:      SAMEA7520209
# BioProject:     PRJEB53866
# Submitter:      WELLCOME SANGER INSTITUTE
# Date:           2022-07-13
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    CALYJB01
# Genome coverage: 70x
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_944738965.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_944738964.1		Primary Assembly
## GCA_944738966.1		non-nuclear
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# gc-perc	gc-count/atgc-count as percentage
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	241934194
all	all	all	all	spanned-gaps	363
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	425
all	all	all	all	scaffold-N50	13798286
all	all	all	all	scaffold-L50	7
all	all	all	all	scaffold-N75	9408851
all	all	all	all	scaffold-N90	301996
all	all	all	all	contig-count	788
all	all	all	all	contig-N50	2458479
all	all	all	all	contig-L50	29
all	all	all	all	total-gap-length	68680
all	all	all	all	molecule-count	16
all	all	all	all	top-level-count	425
all	all	all	all	component-count	425
all	all	all	all	gc-perc	33
Primary Assembly	all	all	all	total-length	241909001
Primary Assembly	all	all	all	ungapped-length	241840321
Primary Assembly	all	all	all	scaffold-count	424
Primary Assembly	all	all	all	scaffold-N50	13798286
Primary Assembly	all	all	all	spanned-gaps	363
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	all	gc-perc	33
Primary Assembly	all	all	assembled-molecule	total-length	208173776
Primary Assembly	all	all	assembled-molecule	ungapped-length	208106319
Primary Assembly	all	all	assembled-molecule	scaffold-count	15
Primary Assembly	all	all	assembled-molecule	scaffold-N50	15819629
Primary Assembly	all	all	assembled-molecule	spanned-gaps	339
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	gc-perc	32.5
Primary Assembly	all	all	unlocalized-scaffold	total-length	1976040
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	1976040
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	18
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	179956
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	gc-perc	34.5
Primary Assembly	na	na	unplaced-scaffold	total-length	31759185
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	31757962
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	391
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	118222
