# Assembly Statistics Report
# Assembly name:  ASM2803193v1
# Organism name:  Paedocypris micromegethes (bony fishes)
# Isolate:  Sarawak
# Sex:  pooled male and female
# Taxid:          1093616
# BioSample:      SAMN09373892
# BioProject:     PRJNA474779
# Submitter:      Universiti Sains Malaysia
# Date:           2023-01-31
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    QKNR01
# Assembly method: Platanus v. 1.2.4
# Expected final version: yes
# Genome coverage: 194.0x
# Sequencing technology: Illumina
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_028031935.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_028050635.1		Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# gc-perc	gc-count/atgc-count as percentage
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	421346737
all	all	all	all	spanned-gaps	16982
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	23820
all	all	all	all	scaffold-N50	29801667
all	all	all	all	scaffold-L50	7
all	all	all	all	scaffold-N75	26856683
all	all	all	all	scaffold-N90	14745644
all	all	all	all	contig-count	40802
all	all	all	all	contig-N50	63146
all	all	all	all	contig-L50	1881
all	all	all	all	total-gap-length	4553091
all	all	all	all	molecule-count	15
all	all	all	all	top-level-count	23820
all	all	all	all	component-count	23820
all	all	all	all	gc-perc	39.5
Primary Assembly	all	all	all	total-length	421346737
Primary Assembly	all	all	all	ungapped-length	416793646
Primary Assembly	all	all	all	scaffold-count	23820
Primary Assembly	all	all	all	scaffold-N50	29801667
Primary Assembly	all	all	all	spanned-gaps	16982
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	all	gc-perc	39.5
Primary Assembly	all	all	assembled-molecule	total-length	395872347
Primary Assembly	all	all	assembled-molecule	ungapped-length	392414010
Primary Assembly	all	all	assembled-molecule	scaffold-count	15
Primary Assembly	all	all	assembled-molecule	scaffold-N50	31590355
Primary Assembly	all	all	assembled-molecule	spanned-gaps	14586
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	gc-perc	39.5
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	25474390
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	24379636
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	23805
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	58957
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	2396
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	gc-perc	43
Primary Assembly	1	Chromosome	all	total-length	38525711
Primary Assembly	1	Chromosome	all	ungapped-length	38051313
Primary Assembly	1	Chromosome	all	scaffold-count	1
Primary Assembly	1	Chromosome	all	scaffold-N50	38525711
Primary Assembly	1	Chromosome	all	spanned-gaps	1662
Primary Assembly	1	Chromosome	all	unspanned-gaps	0
Primary Assembly	1	Chromosome	all	gc-perc	39.5
Primary Assembly	1	Chromosome	assembled-molecule	total-length	38525711
Primary Assembly	1	Chromosome	assembled-molecule	ungapped-length	38051313
Primary Assembly	1	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	1	Chromosome	assembled-molecule	scaffold-N50	38525711
Primary Assembly	1	Chromosome	assembled-molecule	spanned-gaps	1662
Primary Assembly	1	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	1	Chromosome	assembled-molecule	gc-perc	39.5
Primary Assembly	1	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	2	Chromosome	all	total-length	34752357
Primary Assembly	2	Chromosome	all	ungapped-length	34446260
Primary Assembly	2	Chromosome	all	scaffold-count	1
Primary Assembly	2	Chromosome	all	scaffold-N50	34752357
Primary Assembly	2	Chromosome	all	spanned-gaps	1367
Primary Assembly	2	Chromosome	all	unspanned-gaps	0
Primary Assembly	2	Chromosome	all	gc-perc	39.5
Primary Assembly	2	Chromosome	assembled-molecule	total-length	34752357
Primary Assembly	2	Chromosome	assembled-molecule	ungapped-length	34446260
Primary Assembly	2	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	2	Chromosome	assembled-molecule	scaffold-N50	34752357
Primary Assembly	2	Chromosome	assembled-molecule	spanned-gaps	1367
