# Assembly Statistics Report
# Assembly name:  ASM2097549v1
# Organism name:  Cryptococcus neoformans (basidiomycete fungi)
# Infraspecific name:  strain=A5-35-17
# Taxid:          5207
# BioSample:      SAMN16236536
# BioProject:     PRJNA664881
# Submitter:      RMIT University
# Date:           2021-11-30
# Assembly type:  haploid
# Release type:   major
# Assembly level: Complete Genome
# Genome representation: full
# WGS project:    JAHXIZ01
# Assembly method: Geneious v. 11.0.2
# Expected final version: yes
# Reference guided assembly: GCA_000149245.3
# Genome coverage: 226x
# Sequencing technology: Illumina HiSeq
# GenBank assembly accession: GCA_020975495.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_020975515.1		Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# gc-perc	gc-count/atgc-count as percentage
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	18778437
all	all	all	all	spanned-gaps	1
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	14
all	all	all	all	scaffold-N50	1419721
all	all	all	all	scaffold-L50	6
all	all	all	all	scaffold-N75	1177121
all	all	all	all	scaffold-N90	933040
all	all	all	all	contig-count	15
all	all	all	all	contig-N50	1419721
all	all	all	all	contig-L50	6
all	all	all	all	total-gap-length	11
all	all	all	all	molecule-count	14
all	all	all	all	top-level-count	14
all	all	all	all	component-count	14
all	all	all	all	gc-perc	48
Primary Assembly	all	all	all	total-length	18778437
Primary Assembly	all	all	all	ungapped-length	18778426
Primary Assembly	all	all	all	scaffold-count	14
Primary Assembly	all	all	all	scaffold-N50	1419721
Primary Assembly	all	all	all	spanned-gaps	1
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	all	gc-perc	48
Primary Assembly	all	all	assembled-molecule	total-length	18778437
Primary Assembly	all	all	assembled-molecule	ungapped-length	18778426
Primary Assembly	all	all	assembled-molecule	scaffold-count	14
Primary Assembly	all	all	assembled-molecule	scaffold-N50	1419721
Primary Assembly	all	all	assembled-molecule	spanned-gaps	1
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	gc-perc	48
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	1	Chromosome	all	total-length	2276336
Primary Assembly	1	Chromosome	all	ungapped-length	2276336
Primary Assembly	1	Chromosome	all	scaffold-count	1
Primary Assembly	1	Chromosome	all	scaffold-N50	2276336
Primary Assembly	1	Chromosome	all	spanned-gaps	0
Primary Assembly	1	Chromosome	all	unspanned-gaps	0
Primary Assembly	1	Chromosome	all	gc-perc	48
Primary Assembly	1	Chromosome	assembled-molecule	total-length	2276336
