# Assembly Statistics Report
# Assembly name:  UHH_iyHylVolc1.0_haploid
# Organism name:  Hylaeus volcanicus (bees)
# Isolate:  JK05
# Sex:  male
# Taxid:          313075
# BioSample:      SAMN24175050
# BioProject:     PRJNA789929
# Submitter:      USDA-ARS
# Date:           2022-11-22
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    JANILQ01
# Assembly method: Supernova v. 2.1.1
# Expected final version: yes
# Genome coverage: 47.8x
# Sequencing technology: Illumina HiSeq
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_026283585.1
# RefSeq assembly accession: GCF_026283585.1
# RefSeq assembly and GenBank assemblies identical: yes
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_026283595.1	GCF_026283595.1	Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# gc-perc	gc-count/atgc-count as percentage
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	252651163
all	all	all	all	spanned-gaps	5689
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	1869
all	all	all	all	scaffold-N50	30801132
all	all	all	all	scaffold-L50	4
all	all	all	all	scaffold-N75	22716845
all	all	all	all	scaffold-N90	18743269
all	all	all	all	contig-count	7558
all	all	all	all	contig-N50	120369
all	all	all	all	contig-L50	485
all	all	all	all	total-gap-length	5511720
all	all	all	all	molecule-count	9
all	all	all	all	top-level-count	1869
all	all	all	all	component-count	1869
all	all	all	all	gc-perc	40
Primary Assembly	all	all	all	total-length	252651163
Primary Assembly	all	all	all	ungapped-length	247139443
Primary Assembly	all	all	all	scaffold-count	1869
Primary Assembly	all	all	all	scaffold-N50	30801132
Primary Assembly	all	all	all	spanned-gaps	5689
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	all	gc-perc	40
Primary Assembly	all	all	assembled-molecule	total-length	234070146
Primary Assembly	all	all	assembled-molecule	ungapped-length	229398686
Primary Assembly	all	all	assembled-molecule	scaffold-count	9
Primary Assembly	all	all	assembled-molecule	scaffold-N50	30801132
Primary Assembly	all	all	assembled-molecule	spanned-gaps	4997
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	gc-perc	40
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	18581017
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	17740757
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	1860
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	151231
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	692
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	gc-perc	37.5
Primary Assembly	1	Chromosome	all	total-length	36694119
Primary Assembly	1	Chromosome	all	ungapped-length	35863909
Primary Assembly	1	Chromosome	all	scaffold-count	1
Primary Assembly	1	Chromosome	all	scaffold-N50	36694119
Primary Assembly	1	Chromosome	all	spanned-gaps	639
Primary Assembly	1	Chromosome	all	unspanned-gaps	0
Primary Assembly	1	Chromosome	all	gc-perc	39.5
Primary Assembly	1	Chromosome	assembled-molecule	total-length	36694119
Primary Assembly	1	Chromosome	assembled-molecule	ungapped-length	35863909
Primary Assembly	1	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	1	Chromosome	assembled-molecule	scaffold-N50	36694119
Primary Assembly	1	Chromosome	assembled-molecule	spanned-gaps	639
Primary Assembly	1	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	1	Chromosome	assembled-molecule	gc-perc	39.5
Primary Assembly	1	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	scaffold-count	0
