# Assembly Statistics Report
# Assembly name:  ASM1169623v1
# Organism name:  Quercus mongolica (Mongolian oak)
# Infraspecific name:  ecotype=a wild type in Shenyang
# Isolate:  Qm_2020SYAU
# Taxid:          103485
# BioSample:      SAMN14113687
# BioProject:     PRJNA609556
# Submitter:      Shenyang Agricultural University
# Date:           2020-03-25
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    JAAMOV01
# Assembly method: FALCON v. 2.0
# Expected final version: yes
# Genome coverage: 103.1x
# Sequencing technology: PacBio Sequel
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_011696235.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_011696365.1		Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# gc-perc	gc-count/atgc-count as percentage
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	809993317
all	all	all	all	spanned-gaps	414
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	321
all	all	all	all	scaffold-N50	66735633
all	all	all	all	scaffold-L50	5
all	all	all	all	scaffold-N75	53762559
all	all	all	all	scaffold-N90	49853796
all	all	all	all	contig-count	735
all	all	all	all	contig-N50	2446788
all	all	all	all	contig-L50	112
all	all	all	all	total-gap-length	207000
all	all	all	all	molecule-count	12
all	all	all	all	top-level-count	321
all	all	all	all	component-count	321
all	all	all	all	gc-perc	36
Primary Assembly	all	all	all	total-length	809993317
Primary Assembly	all	all	all	ungapped-length	809786317
Primary Assembly	all	all	all	scaffold-count	321
Primary Assembly	all	all	all	scaffold-N50	66735633
Primary Assembly	all	all	all	spanned-gaps	414
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	all	gc-perc	36
Primary Assembly	all	all	assembled-molecule	total-length	774799106
Primary Assembly	all	all	assembled-molecule	ungapped-length	774592106
Primary Assembly	all	all	assembled-molecule	scaffold-count	12
Primary Assembly	all	all	assembled-molecule	scaffold-N50	66735633
Primary Assembly	all	all	assembled-molecule	spanned-gaps	414
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	gc-perc	35.5
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	35194211
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	35194211
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	309
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	396829
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	gc-perc	42
Primary Assembly	1	Chromosome	all	total-length	51942588
Primary Assembly	1	Chromosome	all	ungapped-length	51927088
Primary Assembly	1	Chromosome	all	scaffold-count	1
Primary Assembly	1	Chromosome	all	scaffold-N50	51942588
Primary Assembly	1	Chromosome	all	spanned-gaps	31
Primary Assembly	1	Chromosome	all	unspanned-gaps	0
Primary Assembly	1	Chromosome	all	gc-perc	36
Primary Assembly	1	Chromosome	assembled-molecule	total-length	51942588
Primary Assembly	1	Chromosome	assembled-molecule	ungapped-length	51927088
Primary Assembly	1	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	1	Chromosome	assembled-molecule	scaffold-N50	51942588
Primary Assembly	1	Chromosome	assembled-molecule	spanned-gaps	31
Primary Assembly	1	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	1	Chromosome	assembled-molecule	gc-perc	36
Primary Assembly	1	Chromosome	unlocalized-scaffold	total-length	0
