# Assembly Statistics Report
# Assembly name:  ASM3331037v1
# Organism name:  Conus canariensis (gastropods)
# Isolate:  TF39
# Taxid:          2750724
# BioSample:      SAMN28796099
# BioProject:     PRJNA843968
# Submitter:      Museo Nacional de Ciencias Naturales (MNCN-CSIC)
# Date:           2023-11-06
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    JAMYXO01
# Assembly method: WTDBG2 v. 2.5
# Expected final version: yes
# Genome coverage: 103.0x
# Sequencing technology: PacBio Sequel
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_033310375.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_033311275.1		Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# gc-perc	gc-count/atgc-count as percentage
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	2867906435
all	all	all	all	spanned-gaps	7422
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	18562
all	all	all	all	scaffold-N50	79645777
all	all	all	all	scaffold-L50	16
all	all	all	all	scaffold-N75	60109553
all	all	all	all	scaffold-N90	40485963
all	all	all	all	contig-count	25984
all	all	all	all	contig-N50	641429
all	all	all	all	contig-L50	1243
all	all	all	all	total-gap-length	742200
all	all	all	all	molecule-count	35
all	all	all	all	top-level-count	18562
all	all	all	all	component-count	18562
all	all	all	all	gc-perc	44
Primary Assembly	all	all	all	total-length	2867906435
Primary Assembly	all	all	all	ungapped-length	2867164235
Primary Assembly	all	all	all	scaffold-count	18562
Primary Assembly	all	all	all	scaffold-N50	79645777
Primary Assembly	all	all	all	spanned-gaps	7422
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	all	gc-perc	44
Primary Assembly	all	all	assembled-molecule	total-length	2616237741
Primary Assembly	all	all	assembled-molecule	ungapped-length	2615495641
Primary Assembly	all	all	assembled-molecule	scaffold-count	35
Primary Assembly	all	all	assembled-molecule	scaffold-N50	80521922
Primary Assembly	all	all	assembled-molecule	spanned-gaps	7421
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	gc-perc	44
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	251668694
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	251668594
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	18527
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	18172
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	1
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	gc-perc	42.5
