# Assembly Statistics Report
# Assembly name:  ASM2254549v1
# Organism name:  Chrysanthemum lavandulifolium (eudicots)
# Infraspecific name:  cultivar=G1
# Taxid:          146996
# BioSample:      SAMN18652137
# BioProject:     PRJNA681093
# Submitter:      Beijing Forestry University
# Date:           2022-03-21
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    JAHFWF01
# Assembly method: WTDBG v. 2.5
# Expected final version: yes
# Genome coverage: 164.0x
# Sequencing technology: Oxford Nanopore PromethION; PacBio RSII
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_022545495.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_022545785.1		Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# gc-perc	gc-count/atgc-count as percentage
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	2670468074
all	all	all	all	spanned-gaps	10291
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	178
all	all	all	all	scaffold-N50	300401778
all	all	all	all	scaffold-L50	5
all	all	all	all	scaffold-N75	283675880
all	all	all	all	scaffold-N90	212345931
all	all	all	all	contig-count	10469
all	all	all	all	contig-N50	480732
all	all	all	all	contig-L50	1828
all	all	all	all	total-gap-length	1092972
all	all	all	all	molecule-count	9
all	all	all	all	top-level-count	178
all	all	all	all	component-count	178
all	all	all	all	gc-perc	36
Primary Assembly	all	all	all	total-length	2670468074
Primary Assembly	all	all	all	ungapped-length	2669375102
Primary Assembly	all	all	all	scaffold-count	178
Primary Assembly	all	all	all	scaffold-N50	300401778
Primary Assembly	all	all	all	spanned-gaps	10291
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	all	gc-perc	36
Primary Assembly	all	all	assembled-molecule	total-length	2597589389
Primary Assembly	all	all	assembled-molecule	ungapped-length	2596502568
Primary Assembly	all	all	assembled-molecule	scaffold-count	9
Primary Assembly	all	all	assembled-molecule	scaffold-N50	300401778
Primary Assembly	all	all	assembled-molecule	spanned-gaps	10285
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	gc-perc	36
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	72878685
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	72872534
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	169
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	570454
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	6
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	gc-perc	36.5
Primary Assembly	1	Chromosome	all	total-length	322278347
Primary Assembly	1	Chromosome	all	ungapped-length	322149482
Primary Assembly	1	Chromosome	all	scaffold-count	1
Primary Assembly	1	Chromosome	all	scaffold-N50	322278347
Primary Assembly	1	Chromosome	all	spanned-gaps	1256
Primary Assembly	1	Chromosome	all	unspanned-gaps	0
Primary Assembly	1	Chromosome	all	gc-perc	36
Primary Assembly	1	Chromosome	assembled-molecule	total-length	322278347
Primary Assembly	1	Chromosome	assembled-molecule	ungapped-length	322149482
Primary Assembly	1	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	1	Chromosome	assembled-molecule	scaffold-N50	322278347
Primary Assembly	1	Chromosome	assembled-molecule	spanned-gaps	1256
Primary Assembly	1	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	1	Chromosome	assembled-molecule	gc-perc	36
Primary Assembly	1	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	2	Chromosome	all	total-length	309494648
Primary Assembly	2	Chromosome	all	ungapped-length	309360072
Primary Assembly	2	Chromosome	all	scaffold-count	1
Primary Assembly	2	Chromosome	all	scaffold-N50	309494648
Primary Assembly	2	Chromosome	all	spanned-gaps	1276
Primary Assembly	2	Chromosome	all	unspanned-gaps	0
Primary Assembly	2	Chromosome	all	gc-perc	36
Primary Assembly	2	Chromosome	assembled-molecule	total-length	309494648
Primary Assembly	2	Chromosome	assembled-molecule	ungapped-length	309360072
Primary Assembly	2	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	2	Chromosome	assembled-molecule	scaffold-N50	309494648
Primary Assembly	2	Chromosome	assembled-molecule	spanned-gaps	1276
Primary Assembly	2	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	2	Chromosome	assembled-molecule	gc-perc	36
Primary Assembly	2	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	3	Chromosome	all	total-length	303300410
Primary Assembly	3	Chromosome	all	ungapped-length	303167040
Primary Assembly	3	Chromosome	all	scaffold-count	1
Primary Assembly	3	Chromosome	all	scaffold-N50	303300410
