# Assembly Statistics Report
# Assembly name:  O.geoffroyi_Oge1_pat1.0
# Organism name:  Leopardus geoffroyi (Geoffroy's cat)
# Isolate:  Oge1
# Sex:  male
# Taxid:          46844
# BioSample:      SAMN19729386
# BioProject:     PRJNA684599
# Submitter:      Texas A&M University
# Date:           2021-05-13
# Assembly type:  alternate-pseudohaplotype
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    JAFEKB01
# Assembly method: NextDenovo v. 2.2-beta.0
# Expected final version: yes
# Reference guided assembly: GCA_016509815.1
# Genome coverage: 85.0x
# Sequencing technology: PacBio Sequel 2
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_018350155.1
# RefSeq assembly accession: GCF_018350155.1
# RefSeq assembly and GenBank assemblies identical: no
# Reporting on RefSeq assembly.
# Linked assembly: GCF_018350175.1 (principal pseudohaplotype of diploid)
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_018350165.1	GCF_018350165.1	Primary Assembly
## 	GCF_021095085.1	non-nuclear
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# gc-perc	gc-count/atgc-count as percentage
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	2426370816
all	all	all	all	spanned-gaps	45
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	46
all	all	all	all	scaffold-N50	152606360
all	all	all	all	scaffold-L50	7
all	all	all	all	scaffold-N75	128930408
all	all	all	all	scaffold-N90	88472993
all	all	all	all	contig-count	91
all	all	all	all	contig-N50	104474415
all	all	all	all	contig-L50	9
all	all	all	all	total-gap-length	8500
all	all	all	all	molecule-count	18
all	all	all	all	top-level-count	46
all	all	all	all	component-count	81
all	all	all	all	gc-perc	42
Primary Assembly	all	all	all	total-length	2426370816
Primary Assembly	all	all	all	ungapped-length	2426362316
Primary Assembly	all	all	all	scaffold-count	46
Primary Assembly	all	all	all	scaffold-N50	152606360
Primary Assembly	all	all	all	spanned-gaps	45
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	all	gc-perc	42
Primary Assembly	all	all	assembled-molecule	total-length	2422404785
Primary Assembly	all	all	assembled-molecule	ungapped-length	2422396285
Primary Assembly	all	all	assembled-molecule	scaffold-count	18
Primary Assembly	all	all	assembled-molecule	scaffold-N50	152606360
Primary Assembly	all	all	assembled-molecule	spanned-gaps	45
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	gc-perc	41.5
Primary Assembly	all	all	unlocalized-scaffold	total-length	3937321
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	3937321
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	27
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	178397
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	gc-perc	45
Primary Assembly	na	na	unplaced-scaffold	total-length	28710
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	28710
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	1
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	28710
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	gc-perc	45.5
Primary Assembly	A1	Chromosome	all	total-length	239694388
Primary Assembly	A1	Chromosome	all	ungapped-length	239694288
Primary Assembly	A1	Chromosome	all	scaffold-count	1
Primary Assembly	A1	Chromosome	all	scaffold-N50	239694388
Primary Assembly	A1	Chromosome	all	spanned-gaps	1
Primary Assembly	A1	Chromosome	all	unspanned-gaps	0
Primary Assembly	A1	Chromosome	all	gc-perc	40
Primary Assembly	A1	Chromosome	assembled-molecule	total-length	239694388
Primary Assembly	A1	Chromosome	assembled-molecule	ungapped-length	239694288
Primary Assembly	A1	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	A1	Chromosome	assembled-molecule	scaffold-N50	239694388
Primary Assembly	A1	Chromosome	assembled-molecule	spanned-gaps	1
Primary Assembly	A1	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	A1	Chromosome	assembled-molecule	gc-perc	40
Primary Assembly	A1	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	A1	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	A1	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	A1	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	A1	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	A1	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	B1	Chromosome	all	total-length	205836458
Primary Assembly	B1	Chromosome	all	ungapped-length	205836358
Primary Assembly	B1	Chromosome	all	scaffold-count	1
Primary Assembly	B1	Chromosome	all	scaffold-N50	205836458
Primary Assembly	B1	Chromosome	all	spanned-gaps	1
Primary Assembly	B1	Chromosome	all	unspanned-gaps	0
Primary Assembly	B1	Chromosome	all	gc-perc	39
Primary Assembly	B1	Chromosome	assembled-molecule	total-length	205836458
Primary Assembly	B1	Chromosome	assembled-molecule	ungapped-length	205836358
Primary Assembly	B1	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	B1	Chromosome	assembled-molecule	scaffold-N50	205836458
Primary Assembly	B1	Chromosome	assembled-molecule	spanned-gaps	1
Primary Assembly	B1	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	B1	Chromosome	assembled-molecule	gc-perc	39
Primary Assembly	B1	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	B1	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	B1	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	B1	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	B1	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	B1	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	C1	Chromosome	all	total-length	222052948
Primary Assembly	C1	Chromosome	all	ungapped-length	222052648
Primary Assembly	C1	Chromosome	all	scaffold-count	1
Primary Assembly	C1	Chromosome	all	scaffold-N50	222052948
Primary Assembly	C1	Chromosome	all	spanned-gaps	3
Primary Assembly	C1	Chromosome	all	unspanned-gaps	0
Primary Assembly	C1	Chromosome	all	gc-perc	41.5
Primary Assembly	C1	Chromosome	assembled-molecule	total-length	222052948
Primary Assembly	C1	Chromosome	assembled-molecule	ungapped-length	222052648
Primary Assembly	C1	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	C1	Chromosome	assembled-molecule	scaffold-N50	222052948
Primary Assembly	C1	Chromosome	assembled-molecule	spanned-gaps	3
Primary Assembly	C1	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	C1	Chromosome	assembled-molecule	gc-perc	41.5
Primary Assembly	C1	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	C1	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	C1	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	C1	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	C1	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	C1	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	D1	Chromosome	all	total-length	115856002
Primary Assembly	D1	Chromosome	all	ungapped-length	115855202
Primary Assembly	D1	Chromosome	all	scaffold-count	2
Primary Assembly	D1	Chromosome	all	scaffold-N50	115783437
Primary Assembly	D1	Chromosome	all	spanned-gaps	4
Primary Assembly	D1	Chromosome	all	unspanned-gaps	0
Primary Assembly	D1	Chromosome	all	gc-perc	42.5
Primary Assembly	D1	Chromosome	assembled-molecule	total-length	115783437
Primary Assembly	D1	Chromosome	assembled-molecule	ungapped-length	115782637
Primary Assembly	D1	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	D1	Chromosome	assembled-molecule	scaffold-N50	115783437
Primary Assembly	D1	Chromosome	assembled-molecule	spanned-gaps	4
Primary Assembly	D1	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	D1	Chromosome	assembled-molecule	gc-perc	42.5
Primary Assembly	D1	Chromosome	unlocalized-scaffold	total-length	72565
Primary Assembly	D1	Chromosome	unlocalized-scaffold	ungapped-length	72565
Primary Assembly	D1	Chromosome	unlocalized-scaffold	scaffold-count	1
Primary Assembly	D1	Chromosome	unlocalized-scaffold	scaffold-N50	72565
Primary Assembly	D1	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	D1	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	D1	Chromosome	unlocalized-scaffold	gc-perc	43
Primary Assembly	E1	Chromosome	all	total-length	61591894
Primary Assembly	E1	Chromosome	all	ungapped-length	61591394
Primary Assembly	E1	Chromosome	all	scaffold-count	1
Primary Assembly	E1	Chromosome	all	scaffold-N50	61591894
Primary Assembly	E1	Chromosome	all	spanned-gaps	1
Primary Assembly	E1	Chromosome	all	unspanned-gaps	0
Primary Assembly	E1	Chromosome	all	gc-perc	47
Primary Assembly	E1	Chromosome	assembled-molecule	total-length	61591894
Primary Assembly	E1	Chromosome	assembled-molecule	ungapped-length	61591394
Primary Assembly	E1	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	E1	Chromosome	assembled-molecule	scaffold-N50	61591894
Primary Assembly	E1	Chromosome	assembled-molecule	spanned-gaps	1
Primary Assembly	E1	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	E1	Chromosome	assembled-molecule	gc-perc	47
Primary Assembly	E1	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	E1	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	E1	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	E1	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	E1	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	E1	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	A2	Chromosome	all	total-length	169767591
Primary Assembly	A2	Chromosome	all	ungapped-length	169766191
Primary Assembly	A2	Chromosome	all	scaffold-count	2
Primary Assembly	A2	Chromosome	all	scaffold-N50	169709481
Primary Assembly	A2	Chromosome	all	spanned-gaps	6
Primary Assembly	A2	Chromosome	all	unspanned-gaps	0
Primary Assembly	A2	Chromosome	all	gc-perc	42.5
Primary Assembly	A2	Chromosome	assembled-molecule	total-length	169709481
Primary Assembly	A2	Chromosome	assembled-molecule	ungapped-length	169708081
Primary Assembly	A2	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	A2	Chromosome	assembled-molecule	scaffold-N50	169709481
Primary Assembly	A2	Chromosome	assembled-molecule	spanned-gaps	6
Primary Assembly	A2	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	A2	Chromosome	assembled-molecule	gc-perc	42.5
Primary Assembly	A2	Chromosome	unlocalized-scaffold	total-length	58110
Primary Assembly	A2	Chromosome	unlocalized-scaffold	ungapped-length	58110
Primary Assembly	A2	Chromosome	unlocalized-scaffold	scaffold-count	1
Primary Assembly	A2	Chromosome	unlocalized-scaffold	scaffold-N50	58110
Primary Assembly	A2	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	A2	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	A2	Chromosome	unlocalized-scaffold	gc-perc	52.5
Primary Assembly	B2	Chromosome	all	total-length	152723871
Primary Assembly	B2	Chromosome	all	ungapped-length	152723371
