# Assembly Statistics Report
# Assembly name:  sinChu7
# Organism name:  Siniperca chuatsi (mandarin fish)
# Isolate:  A2ci
# Sex:  female
# Taxid:          119488
# BioSample:      SAMN13269087
# BioProject:     PRJNA513951
# Submitter:      IGB Leibniz-Institute of Freshwater Ecology and Inland Fisheries
# Date:           2020-04-09
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    WNGT01
# Assembly method: canu v. 1.0; falcon v. 0.2.2; sspace v. 2.0; ragout v. 1.0; pbjelly pbsuite v. 15.8.24
# Expected final version: yes
# Genome coverage: 50x
# Sequencing technology: PacBio RSII
# GenBank assembly accession: GCA_011952085.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_011952215.1		Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# gc-perc	gc-count/atgc-count as percentage
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	755045244
all	all	all	all	spanned-gaps	308
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	1155
all	all	all	all	scaffold-N50	30508166
all	all	all	all	scaffold-L50	12
all	all	all	all	scaffold-N75	28844001
all	all	all	all	scaffold-N90	23880225
all	all	all	all	contig-count	1463
all	all	all	all	contig-N50	12191788
all	all	all	all	contig-L50	21
all	all	all	all	total-gap-length	1078130
all	all	all	all	molecule-count	24
all	all	all	all	top-level-count	1155
all	all	all	all	component-count	1155
all	all	all	all	gc-perc	40.5
Primary Assembly	all	all	all	total-length	755045244
Primary Assembly	all	all	all	ungapped-length	753967114
Primary Assembly	all	all	all	scaffold-count	1155
Primary Assembly	all	all	all	scaffold-N50	30508166
Primary Assembly	all	all	all	spanned-gaps	308
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	all	gc-perc	40.5
Primary Assembly	all	all	assembled-molecule	total-length	730055992
Primary Assembly	all	all	assembled-molecule	ungapped-length	728979903
Primary Assembly	all	all	assembled-molecule	scaffold-count	24
Primary Assembly	all	all	assembled-molecule	scaffold-N50	30577383
Primary Assembly	all	all	assembled-molecule	spanned-gaps	304
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	gc-perc	40.5
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	24989252
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	24987211
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	1131
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	27525
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	4
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	gc-perc	43.5
Primary Assembly	LG1	Linkage Group	all	total-length	28637991
