# Assembly Statistics Report
# Assembly name:  GRCm39
# Description:    Genome Reference Consortium Mouse Build 39
# Organism name:  Mus musculus (house mouse)
# Infraspecific name:  strain=C57BL/6J
# Taxid:          10090
# BioProject:     PRJNA20689
# Submitter:      Genome Reference Consortium
# Date:           2020-06-24
# Synonyms:       mm39	
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# RefSeq category: Reference Genome
# GenBank assembly accession: GCA_000001635.9
# RefSeq assembly accession: GCF_000001635.27
# RefSeq assembly and GenBank assemblies identical: yes
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_000000055.3	GCF_000000055.20	Primary Assembly (C57BL/6J)
## GCA_000004175.1	GCF_000004175.1	non-nuclear
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# gc-perc	gc-count/atgc-count as percentage
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	2728222451
all	all	all	all	spanned-gaps	204
all	all	all	all	unspanned-gaps	143
all	all	all	all	region-count	3
all	all	all	all	scaffold-count	102
all	all	all	all	scaffold-N50	106145001
all	all	all	all	scaffold-L50	11
all	all	all	all	scaffold-N75	82274824
all	all	all	all	scaffold-N90	44068269
all	all	all	all	contig-count	306
all	all	all	all	contig-N50	59462871
all	all	all	all	contig-L50	15
all	all	all	all	total-gap-length	73600614
all	all	all	all	molecule-count	22
all	all	all	all	top-level-count	61
all	all	all	all	component-count	21255
all	all	all	all	gc-perc	42
Primary Assembly (C57BL/6J)	all	all	all	total-length	2728206152
Primary Assembly (C57BL/6J)	all	all	all	ungapped-length	2654605538
Primary Assembly (C57BL/6J)	all	all	all	scaffold-count	101
Primary Assembly (C57BL/6J)	all	all	all	scaffold-N50	106145001
Primary Assembly (C57BL/6J)	all	all	all	spanned-gaps	204
Primary Assembly (C57BL/6J)	all	all	all	unspanned-gaps	143
Primary Assembly (C57BL/6J)	all	all	all	gc-perc	42
Primary Assembly (C57BL/6J)	all	all	assembled-molecule	total-length	2723414844
Primary Assembly (C57BL/6J)	all	all	assembled-molecule	ungapped-length	2649921870
Primary Assembly (C57BL/6J)	all	all	assembled-molecule	scaffold-count	62
Primary Assembly (C57BL/6J)	all	all	assembled-molecule	scaffold-N50	106145001
Primary Assembly (C57BL/6J)	all	all	assembled-molecule	spanned-gaps	138
Primary Assembly (C57BL/6J)	all	all	assembled-molecule	unspanned-gaps	143
Primary Assembly (C57BL/6J)	all	all	assembled-molecule	gc-perc	42
Primary Assembly (C57BL/6J)	all	all	unlocalized-scaffold	total-length	4052051
Primary Assembly (C57BL/6J)	all	all	unlocalized-scaffold	ungapped-length	4002051
Primary Assembly (C57BL/6J)	all	all	unlocalized-scaffold	scaffold-count	18
Primary Assembly (C57BL/6J)	all	all	unlocalized-scaffold	scaffold-N50	206961
Primary Assembly (C57BL/6J)	all	all	unlocalized-scaffold	spanned-gaps	1
Primary Assembly (C57BL/6J)	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly (C57BL/6J)	all	all	unlocalized-scaffold	gc-perc	40.5
Primary Assembly (C57BL/6J)	na	na	unplaced-scaffold	total-length	739257
Primary Assembly (C57BL/6J)	na	na	unplaced-scaffold	ungapped-length	681617
Primary Assembly (C57BL/6J)	na	na	unplaced-scaffold	scaffold-count	21
Primary Assembly (C57BL/6J)	na	na	unplaced-scaffold	scaffold-N50	31704
Primary Assembly (C57BL/6J)	na	na	unplaced-scaffold	spanned-gaps	65
Primary Assembly (C57BL/6J)	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly (C57BL/6J)	na	na	unplaced-scaffold	gc-perc	40
Primary Assembly (C57BL/6J)	1	Chromosome	all	total-length	195974786
Primary Assembly (C57BL/6J)	1	Chromosome	all	ungapped-length	192774546
Primary Assembly (C57BL/6J)	1	Chromosome	all	scaffold-count	8
Primary Assembly (C57BL/6J)	1	Chromosome	all	scaffold-N50	109679455
Primary Assembly (C57BL/6J)	1	Chromosome	all	spanned-gaps	6
Primary Assembly (C57BL/6J)	1	Chromosome	all	unspanned-gaps	6
Primary Assembly (C57BL/6J)	1	Chromosome	all	gc-perc	41.5
Primary Assembly (C57BL/6J)	1	Chromosome	assembled-molecule	total-length	195154279
Primary Assembly (C57BL/6J)	1	Chromosome	assembled-molecule	ungapped-length	191954039
Primary Assembly (C57BL/6J)	1	Chromosome	assembled-molecule	scaffold-count	2
Primary Assembly (C57BL/6J)	1	Chromosome	assembled-molecule	scaffold-N50	109679455
Primary Assembly (C57BL/6J)	1	Chromosome	assembled-molecule	spanned-gaps	6
Primary Assembly (C57BL/6J)	1	Chromosome	assembled-molecule	unspanned-gaps	6
Primary Assembly (C57BL/6J)	1	Chromosome	assembled-molecule	gc-perc	41.5
Primary Assembly (C57BL/6J)	1	Chromosome	unlocalized-scaffold	total-length	820507
Primary Assembly (C57BL/6J)	1	Chromosome	unlocalized-scaffold	ungapped-length	820507
Primary Assembly (C57BL/6J)	1	Chromosome	unlocalized-scaffold	scaffold-count	6
Primary Assembly (C57BL/6J)	1	Chromosome	unlocalized-scaffold	scaffold-N50	206961
Primary Assembly (C57BL/6J)	1	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly (C57BL/6J)	1	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly (C57BL/6J)	1	Chromosome	unlocalized-scaffold	gc-perc	44
Primary Assembly (C57BL/6J)	2	Chromosome	all	total-length	181755017
