# Assembly Statistics Report
# Assembly name:  Plas_frag_nilgiri_V1
# Organism name:  Plasmodium fragile (apicomplexans)
# Infraspecific name:  strain=nilgiri
# Taxid:          5857
# BioSample:      SAMN00013493
# BioProject:     PRJNA67411
# Submitter:      Broad Institute
# Date:           2015-03-20
# Assembly type:  haploid
# Release type:   major
# Assembly level: Scaffold
# Genome representation: full
# WGS project:    JOOM01
# Assembly method: allpaths v. R47870 (genomic); allpaths v. R47956 (apicoplast)
# Genome coverage: 114.0x (genomic); 58.0x (apicoplast)
# Sequencing technology: Illumina
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_000956335.1
# RefSeq assembly accession: GCF_000956335.1
# RefSeq assembly and GenBank assemblies identical: yes
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_000956345.1	GCF_000956345.1	Primary Assembly
## GCA_000956355.1	GCF_000956355.1	non-nuclear
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# gc-perc	gc-count/atgc-count as percentage
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	25914542
all	all	all	all	spanned-gaps	1522
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	248
all	all	all	all	scaffold-N50	306380
all	all	all	all	scaffold-L50	29
all	all	all	all	scaffold-N75	159713
all	all	all	all	scaffold-N90	62527
all	all	all	all	contig-count	1770
all	all	all	all	contig-N50	26314
all	all	all	all	contig-L50	246
all	all	all	all	total-gap-length	2977756
all	all	all	all	molecule-count	1
all	all	all	all	top-level-count	248
all	all	all	all	component-count	1770
all	all	all	all	gc-perc	41
Primary Assembly	all	all	all	total-length	25878926
Primary Assembly	all	all	all	ungapped-length	22907826
Primary Assembly	all	all	all	scaffold-count	247
Primary Assembly	all	all	all	scaffold-N50	306380
Primary Assembly	all	all	all	spanned-gaps	1520
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	all	gc-perc	41.5
Primary Assembly	all	all	assembled-molecule	total-length	0
Primary Assembly	all	all	assembled-molecule	ungapped-length	0
Primary Assembly	all	all	assembled-molecule	scaffold-count	0
Primary Assembly	all	all	assembled-molecule	scaffold-N50	0
Primary Assembly	all	all	assembled-molecule	spanned-gaps	0
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	25878926
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	22907826
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	247
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	306380
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	1520
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	gc-perc	41.5
non-nuclear	all	all	all	total-length	35616
non-nuclear	all	all	all	ungapped-length	28960
non-nuclear	all	all	all	scaffold-count	1
non-nuclear	all	all	all	scaffold-N50	35616
non-nuclear	all	all	all	spanned-gaps	2
non-nuclear	all	all	all	unspanned-gaps	0
non-nuclear	all	all	all	gc-perc	13
non-nuclear	all	all	assembled-molecule	total-length	0
non-nuclear	all	all	assembled-molecule	ungapped-length	0
non-nuclear	all	all	assembled-molecule	scaffold-count	0
non-nuclear	all	all	assembled-molecule	scaffold-N50	0
non-nuclear	all	all	assembled-molecule	spanned-gaps	0
non-nuclear	all	all	assembled-molecule	unspanned-gaps	0
non-nuclear	all	all	unlocalized-scaffold	total-length	35616
non-nuclear	all	all	unlocalized-scaffold	ungapped-length	28960
non-nuclear	all	all	unlocalized-scaffold	scaffold-count	1
non-nuclear	all	all	unlocalized-scaffold	scaffold-N50	35616
non-nuclear	all	all	unlocalized-scaffold	spanned-gaps	2
non-nuclear	all	all	unlocalized-scaffold	unspanned-gaps	0
non-nuclear	all	all	unlocalized-scaffold	gc-perc	13
non-nuclear	apicoplast	Apicoplast	all	total-length	35616
non-nuclear	apicoplast	Apicoplast	all	ungapped-length	28960
non-nuclear	apicoplast	Apicoplast	all	scaffold-count	1
non-nuclear	apicoplast	Apicoplast	all	scaffold-N50	35616
non-nuclear	apicoplast	Apicoplast	all	spanned-gaps	2
non-nuclear	apicoplast	Apicoplast	all	unspanned-gaps	0
non-nuclear	apicoplast	Apicoplast	all	gc-perc	13
non-nuclear	apicoplast	Apicoplast	assembled-molecule	total-length	0
non-nuclear	apicoplast	Apicoplast	assembled-molecule	ungapped-length	0
non-nuclear	apicoplast	Apicoplast	assembled-molecule	scaffold-count	0
non-nuclear	apicoplast	Apicoplast	assembled-molecule	scaffold-N50	0
non-nuclear	apicoplast	Apicoplast	assembled-molecule	spanned-gaps	0
non-nuclear	apicoplast	Apicoplast	assembled-molecule	unspanned-gaps	0
non-nuclear	apicoplast	Apicoplast	unlocalized-scaffold	total-length	35616
