# Assembly Statistics Report
# Assembly name:  CCMB_ZBic_1.2
# Organism name:  Zygogramma bicolorata (beetles)
# Isolate:  BP23
# Sex:  female
# Taxid:          937811
# BioSample:      SAMN37207133
# BioProject:     PRJNA1010988
# Submitter:      CSIR - Centre for Cellular and Molecular Biology
# Date:           2023-10-04
# Assembly type:  haploid
# Release type:   major
# Assembly level: Scaffold
# Genome representation: full
# WGS project:    JAVJAQ01
# Assembly method: Flye v. 2.9; LongStitch v. 1.0.2; Medaka v. 1.6; MaSuRCA v. 4.0.9; getOrganelle v. 1.7.6; Purgedups v. 2.22
# Expected final version: yes
# Genome coverage: 32.0x
# Sequencing technology: Oxford Nanopore PromethION; Illumina NovaSeq
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_032362365.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_032362375.1		Primary Assembly
## GCA_032362385.1		non-nuclear
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# gc-perc	gc-count/atgc-count as percentage
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	935931216
all	all	all	all	spanned-gaps	1610
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	6107
all	all	all	all	scaffold-N50	675871
all	all	all	all	scaffold-L50	293
all	all	all	all	scaffold-N75	333346
all	all	all	all	scaffold-N90	141982
all	all	all	all	contig-count	7717
all	all	all	all	contig-N50	448050
all	all	all	all	contig-L50	447
all	all	all	all	total-gap-length	13984969
all	all	all	all	molecule-count	1
all	all	all	all	top-level-count	6107
all	all	all	all	component-count	6107
all	all	all	all	gc-perc	35.5
Primary Assembly	all	all	all	total-length	935913224
Primary Assembly	all	all	all	ungapped-length	921928255
Primary Assembly	all	all	all	scaffold-count	6106
Primary Assembly	all	all	all	scaffold-N50	675871
Primary Assembly	all	all	all	spanned-gaps	1610
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	all	gc-perc	35.5
Primary Assembly	all	all	assembled-molecule	total-length	0
Primary Assembly	all	all	assembled-molecule	ungapped-length	0
Primary Assembly	all	all	assembled-molecule	scaffold-count	0
Primary Assembly	all	all	assembled-molecule	scaffold-N50	0
Primary Assembly	all	all	assembled-molecule	spanned-gaps	0
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	935913224
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	921928255
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	6106
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	675871
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	1610
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	gc-perc	35.5
non-nuclear	all	all	all	total-length	17992
non-nuclear	all	all	all	ungapped-length	17992
non-nuclear	all	all	all	scaffold-count	1
non-nuclear	all	all	all	scaffold-N50	17992
non-nuclear	all	all	all	spanned-gaps	0
non-nuclear	all	all	all	unspanned-gaps	0
non-nuclear	all	all	all	gc-perc	21.5
non-nuclear	all	all	assembled-molecule	total-length	17992
non-nuclear	all	all	assembled-molecule	ungapped-length	17992
non-nuclear	all	all	assembled-molecule	scaffold-count	1
non-nuclear	all	all	assembled-molecule	scaffold-N50	17992
non-nuclear	all	all	assembled-molecule	spanned-gaps	0
non-nuclear	all	all	assembled-molecule	unspanned-gaps	0
non-nuclear	all	all	assembled-molecule	gc-perc	21.5
non-nuclear	all	all	unlocalized-scaffold	total-length	0
non-nuclear	all	all	unlocalized-scaffold	ungapped-length	0
non-nuclear	all	all	unlocalized-scaffold	scaffold-count	0
non-nuclear	all	all	unlocalized-scaffold	scaffold-N50	0
non-nuclear	all	all	unlocalized-scaffold	spanned-gaps	0
non-nuclear	all	all	unlocalized-scaffold	unspanned-gaps	0
non-nuclear	MT	Mitochondrion	all	total-length	17992
non-nuclear	MT	Mitochondrion	all	ungapped-length	17992
non-nuclear	MT	Mitochondrion	all	scaffold-count	1
