# Assembly Statistics Report
# Assembly name:  ASM1490517v1
# Organism name:  Aphidius gifuensis (wasps, ants & bees)
# Isolate:  YNYX2018
# Taxid:          684658
# BioSample:      SAMN14446980
# BioProject:     PRJNA615161
# Submitter:      CAU
# Date:           2020-11-16
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    JACMRX01
# Assembly method: Smartdenovo v. JUL-2019; Canu v. JUL-2019
# Expected final version: no
# Genome coverage: 69.0x
# Sequencing technology: Oxford Nanopore GridION
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_014905175.1
# RefSeq assembly accession: GCF_014905175.1
# RefSeq assembly and GenBank assemblies identical: no
# Reporting on RefSeq assembly.
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_014905185.1	GCF_014905185.1	Primary Assembly
## 	GCF_020026875.1	non-nuclear
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# gc-perc	gc-count/atgc-count as percentage
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	156944493
all	all	all	all	spanned-gaps	112
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	24
all	all	all	all	scaffold-N50	27481583
all	all	all	all	scaffold-L50	3
all	all	all	all	scaffold-N75	21529862
all	all	all	all	scaffold-N90	18384974
all	all	all	all	contig-count	136
all	all	all	all	contig-N50	3929594
all	all	all	all	contig-L50	13
all	all	all	all	total-gap-length	11200
all	all	all	all	molecule-count	6
all	all	all	all	top-level-count	24
all	all	all	all	component-count	24
all	all	all	all	gc-perc	26.5
Primary Assembly	all	all	all	total-length	156944493
Primary Assembly	all	all	all	ungapped-length	156933293
Primary Assembly	all	all	all	scaffold-count	24
Primary Assembly	all	all	all	scaffold-N50	27481583
Primary Assembly	all	all	all	spanned-gaps	112
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	all	gc-perc	26.5
Primary Assembly	all	all	assembled-molecule	total-length	155454520
Primary Assembly	all	all	assembled-molecule	ungapped-length	155443320
Primary Assembly	all	all	assembled-molecule	scaffold-count	6
Primary Assembly	all	all	assembled-molecule	scaffold-N50	27481583
Primary Assembly	all	all	assembled-molecule	spanned-gaps	112
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	gc-perc	26.5
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	1489973
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	1489973
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	18
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	81904
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	gc-perc	27.5
Primary Assembly	LG1	Linkage Group	all	total-length	32149644
Primary Assembly	LG1	Linkage Group	all	ungapped-length	32147244
Primary Assembly	LG1	Linkage Group	all	scaffold-count	1
