# Assembly Statistics Report
# Assembly name:  MNHN_PicVir_1.0
# Organism name:  Picus viridis (Eurasian green woodpecker)
# Isolate:  MNHN-ZO-2020-125
# Taxid:          100825
# BioSample:      SAMN37791168
# BioProject:     PRJNA1027323
# Submitter:      Museum national d'Histoire naturelle
# Date:           2023-11-22
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    JAWKAJ01
# Assembly method: FLYE v. 2.8.1-b1676
# Expected final version: yes
# Genome coverage: 73.0x
# Sequencing technology: Illumina NovaSeq; Oxford Nanopore PromethION
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_033816785.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_033816895.1		Primary Assembly
## GCA_033816905.1		non-nuclear
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# gc-perc	gc-count/atgc-count as percentage
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	1244800746
all	all	all	all	spanned-gaps	69
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	1366
all	all	all	all	scaffold-N50	39164214
all	all	all	all	scaffold-L50	11
all	all	all	all	scaffold-N75	22849425
all	all	all	all	scaffold-N90	16039199
all	all	all	all	contig-count	1435
all	all	all	all	contig-N50	19899906
all	all	all	all	contig-L50	22
all	all	all	all	total-gap-length	1868
all	all	all	all	molecule-count	42
all	all	all	all	top-level-count	1366
all	all	all	all	component-count	1366
all	all	all	all	gc-perc	45.5
Primary Assembly	all	all	all	total-length	1244783828
Primary Assembly	all	all	all	ungapped-length	1244781960
Primary Assembly	all	all	all	scaffold-count	1365
Primary Assembly	all	all	all	scaffold-N50	39164214
Primary Assembly	all	all	all	spanned-gaps	69
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	all	gc-perc	45.5
Primary Assembly	all	all	assembled-molecule	total-length	1226614044
Primary Assembly	all	all	assembled-molecule	ungapped-length	1226612228
Primary Assembly	all	all	assembled-molecule	scaffold-count	41
Primary Assembly	all	all	assembled-molecule	scaffold-N50	39164214
Primary Assembly	all	all	assembled-molecule	spanned-gaps	67
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	gc-perc	45.5
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	18169784
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	18169732
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	1324
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	30058
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	2
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	gc-perc	54.5
Primary Assembly	1A	Chromosome	all	total-length	93193724
Primary Assembly	1A	Chromosome	all	ungapped-length	93193490
Primary Assembly	1A	Chromosome	all	scaffold-count	1
Primary Assembly	1A	Chromosome	all	scaffold-N50	93193724
Primary Assembly	1A	Chromosome	all	spanned-gaps	9
Primary Assembly	1A	Chromosome	all	unspanned-gaps	0
Primary Assembly	1A	Chromosome	all	gc-perc	43
Primary Assembly	1A	Chromosome	assembled-molecule	total-length	93193724
Primary Assembly	1A	Chromosome	assembled-molecule	ungapped-length	93193490
Primary Assembly	1A	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	1A	Chromosome	assembled-molecule	scaffold-N50	93193724
Primary Assembly	1A	Chromosome	assembled-molecule	spanned-gaps	9
Primary Assembly	1A	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	1A	Chromosome	assembled-molecule	gc-perc	43
Primary Assembly	1A	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	1A	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	1A	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	1A	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	1A	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	1A	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	1B	Chromosome	all	total-length	57958773
Primary Assembly	1B	Chromosome	all	ungapped-length	57958619
Primary Assembly	1B	Chromosome	all	scaffold-count	1
Primary Assembly	1B	Chromosome	all	scaffold-N50	57958773
Primary Assembly	1B	Chromosome	all	spanned-gaps	6
Primary Assembly	1B	Chromosome	all	unspanned-gaps	0
Primary Assembly	1B	Chromosome	all	gc-perc	43.5
Primary Assembly	1B	Chromosome	assembled-molecule	total-length	57958773
Primary Assembly	1B	Chromosome	assembled-molecule	ungapped-length	57958619
Primary Assembly	1B	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	1B	Chromosome	assembled-molecule	scaffold-N50	57958773
Primary Assembly	1B	Chromosome	assembled-molecule	spanned-gaps	6
Primary Assembly	1B	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	1B	Chromosome	assembled-molecule	gc-perc	43.5
Primary Assembly	1B	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	1B	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	1B	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	1B	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	1B	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	1B	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	1C	Chromosome	all	total-length	29308518
Primary Assembly	1C	Chromosome	all	ungapped-length	29308491
Primary Assembly	1C	Chromosome	all	scaffold-count	1
Primary Assembly	1C	Chromosome	all	scaffold-N50	29308518
Primary Assembly	1C	Chromosome	all	spanned-gaps	1
Primary Assembly	1C	Chromosome	all	unspanned-gaps	0
Primary Assembly	1C	Chromosome	all	gc-perc	45.5
Primary Assembly	1C	Chromosome	assembled-molecule	total-length	29308518
Primary Assembly	1C	Chromosome	assembled-molecule	ungapped-length	29308491
Primary Assembly	1C	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	1C	Chromosome	assembled-molecule	scaffold-N50	29308518
Primary Assembly	1C	Chromosome	assembled-molecule	spanned-gaps	1
Primary Assembly	1C	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	1C	Chromosome	assembled-molecule	gc-perc	45.5
Primary Assembly	1C	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	1C	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	1C	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	1C	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	1C	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	1C	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	1D	Chromosome	all	total-length	17770423
Primary Assembly	1D	Chromosome	all	ungapped-length	17770397
Primary Assembly	1D	Chromosome	all	scaffold-count	1
Primary Assembly	1D	Chromosome	all	scaffold-N50	17770423
Primary Assembly	1D	Chromosome	all	spanned-gaps	1
Primary Assembly	1D	Chromosome	all	unspanned-gaps	0
Primary Assembly	1D	Chromosome	all	gc-perc	46
Primary Assembly	1D	Chromosome	assembled-molecule	total-length	17770423
Primary Assembly	1D	Chromosome	assembled-molecule	ungapped-length	17770397
Primary Assembly	1D	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	1D	Chromosome	assembled-molecule	scaffold-N50	17770423
Primary Assembly	1D	Chromosome	assembled-molecule	spanned-gaps	1
Primary Assembly	1D	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	1D	Chromosome	assembled-molecule	gc-perc	46
Primary Assembly	1D	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	1D	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	1D	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	1D	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	1D	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	1D	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	1E	Chromosome	all	total-length	36351953
Primary Assembly	1E	Chromosome	all	ungapped-length	36351953
Primary Assembly	1E	Chromosome	all	scaffold-count	1
Primary Assembly	1E	Chromosome	all	scaffold-N50	36351953
Primary Assembly	1E	Chromosome	all	spanned-gaps	0
Primary Assembly	1E	Chromosome	all	unspanned-gaps	0
Primary Assembly	1E	Chromosome	all	gc-perc	43
Primary Assembly	1E	Chromosome	assembled-molecule	total-length	36351953
Primary Assembly	1E	Chromosome	assembled-molecule	ungapped-length	36351953
Primary Assembly	1E	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	1E	Chromosome	assembled-molecule	scaffold-N50	36351953
Primary Assembly	1E	Chromosome	assembled-molecule	spanned-gaps	0
Primary Assembly	1E	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	1E	Chromosome	assembled-molecule	gc-perc	43
Primary Assembly	1E	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	1E	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	1E	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	1E	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	1E	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	1E	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	2A	Chromosome	all	total-length	15416122
Primary Assembly	2A	Chromosome	all	ungapped-length	15416122
Primary Assembly	2A	Chromosome	all	scaffold-count	1
Primary Assembly	2A	Chromosome	all	scaffold-N50	15416122
Primary Assembly	2A	Chromosome	all	spanned-gaps	0
Primary Assembly	2A	Chromosome	all	unspanned-gaps	0
Primary Assembly	2A	Chromosome	all	gc-perc	47
Primary Assembly	2A	Chromosome	assembled-molecule	total-length	15416122
Primary Assembly	2A	Chromosome	assembled-molecule	ungapped-length	15416122
Primary Assembly	2A	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	2A	Chromosome	assembled-molecule	scaffold-N50	15416122
Primary Assembly	2A	Chromosome	assembled-molecule	spanned-gaps	0
Primary Assembly	2A	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	2A	Chromosome	assembled-molecule	gc-perc	47
Primary Assembly	2A	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	2A	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	2A	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	2A	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	2A	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	2A	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	2B	Chromosome	all	total-length	32526505
Primary Assembly	2B	Chromosome	all	ungapped-length	32526505
Primary Assembly	2B	Chromosome	all	scaffold-count	1
Primary Assembly	2B	Chromosome	all	scaffold-N50	32526505
Primary Assembly	2B	Chromosome	all	spanned-gaps	0
Primary Assembly	2B	Chromosome	all	unspanned-gaps	0
Primary Assembly	2B	Chromosome	all	gc-perc	44
Primary Assembly	2B	Chromosome	assembled-molecule	total-length	32526505
Primary Assembly	2B	Chromosome	assembled-molecule	ungapped-length	32526505
Primary Assembly	2B	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	2B	Chromosome	assembled-molecule	scaffold-N50	32526505
Primary Assembly	2B	Chromosome	assembled-molecule	spanned-gaps	0
Primary Assembly	2B	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	2B	Chromosome	assembled-molecule	gc-perc	44
Primary Assembly	2B	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	2B	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	2B	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	2B	Chromosome	unlocalized-scaffold	scaffold-N50	0
