# Assembly Statistics Report
# Assembly name:  ASM2049712v1
# Organism name:  Mauremys mutica (yellowpond turtle)
# Infraspecific name:  ecotype=Southern
# Isolate:  MM-2020
# Sex:  female
# Taxid:          74926
# BioSample:      SAMN19136605
# BioProject:     PRJNA729638
# Submitter:      Institute of Zoology, Guangdong Academy of Science
# Date:           2021-10-14
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    JAHDVG01
# Assembly method: FALCON v. March-2021
# Expected final version: yes
# Genome coverage: 99.81x
# Sequencing technology: PacBio
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_020497125.1
# RefSeq assembly accession: GCF_020497125.1
# RefSeq assembly and GenBank assemblies identical: no
# Reporting on RefSeq assembly.
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_020497135.1	GCF_020497135.1	Primary Assembly
## 	GCF_020736885.1	non-nuclear
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# gc-perc	gc-count/atgc-count as percentage
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	2484351270
all	all	all	all	spanned-gaps	1041
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	594
all	all	all	all	scaffold-N50	135065811
all	all	all	all	scaffold-L50	6
all	all	all	all	scaffold-N75	83389883
all	all	all	all	scaffold-N90	25374012
all	all	all	all	contig-count	1635
all	all	all	all	contig-N50	15010728
all	all	all	all	contig-L50	50
all	all	all	all	total-gap-length	93474084
all	all	all	all	molecule-count	26
all	all	all	all	top-level-count	594
all	all	all	all	component-count	594
all	all	all	all	gc-perc	45
Primary Assembly	all	all	all	total-length	2484351270
Primary Assembly	all	all	all	ungapped-length	2390877186
Primary Assembly	all	all	all	scaffold-count	594
Primary Assembly	all	all	all	scaffold-N50	135065811
Primary Assembly	all	all	all	spanned-gaps	1041
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	all	gc-perc	45
Primary Assembly	all	all	assembled-molecule	total-length	2358457482
Primary Assembly	all	all	assembled-molecule	ungapped-length	2294350363
Primary Assembly	all	all	assembled-molecule	scaffold-count	26
Primary Assembly	all	all	assembled-molecule	scaffold-N50	145648673
Primary Assembly	all	all	assembled-molecule	spanned-gaps	806
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	gc-perc	45
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	125893788
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	96526823
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	568
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	818386
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	235
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	gc-perc	51.5
Primary Assembly	1	Chromosome	all	total-length	375114972
Primary Assembly	1	Chromosome	all	ungapped-length	372229221
Primary Assembly	1	Chromosome	all	scaffold-count	1
Primary Assembly	1	Chromosome	all	scaffold-N50	375114972
Primary Assembly	1	Chromosome	all	spanned-gaps	81
Primary Assembly	1	Chromosome	all	unspanned-gaps	0
Primary Assembly	1	Chromosome	all	gc-perc	43.5
Primary Assembly	1	Chromosome	assembled-molecule	total-length	375114972
Primary Assembly	1	Chromosome	assembled-molecule	ungapped-length	372229221
Primary Assembly	1	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	1	Chromosome	assembled-molecule	scaffold-N50	375114972
Primary Assembly	1	Chromosome	assembled-molecule	spanned-gaps	81
Primary Assembly	1	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	1	Chromosome	assembled-molecule	gc-perc	43.5
Primary Assembly	1	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	2	Chromosome	all	total-length	300048998
Primary Assembly	2	Chromosome	all	ungapped-length	298876614
Primary Assembly	2	Chromosome	all	scaffold-count	1
Primary Assembly	2	Chromosome	all	scaffold-N50	300048998
Primary Assembly	2	Chromosome	all	spanned-gaps	63
Primary Assembly	2	Chromosome	all	unspanned-gaps	0
Primary Assembly	2	Chromosome	all	gc-perc	43.5
Primary Assembly	2	Chromosome	assembled-molecule	total-length	300048998
Primary Assembly	2	Chromosome	assembled-molecule	ungapped-length	298876614
Primary Assembly	2	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	2	Chromosome	assembled-molecule	scaffold-N50	300048998
