# Assembly Statistics Report
# Assembly name:  ilPieNapi4.1
# Organism name:  Pieris napi (butterflies)
# Taxid:          78633
# BioSample:      SAMEA7523140
# BioProject:     PRJEB43012
# Submitter:      WELLCOME SANGER INSTITUTE
# Date:           2021-02-20
# Assembly type:  haploid (principal pseudohaplotype of diploid)
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    CAJNIX01
# Genome coverage: 91x
# GenBank assembly accession: GCA_905231885.1
# Linked assembly: GCA_905231895.1 (alternate pseudohaplotype of diploid)
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_905231884.1		Primary Assembly
## GCA_905231886.1		non-nuclear
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# gc-perc	gc-count/atgc-count as percentage
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	320004350
all	all	all	all	spanned-gaps	27
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	49
all	all	all	all	scaffold-N50	12982002
all	all	all	all	scaffold-L50	12
all	all	all	all	scaffold-N75	12485368
all	all	all	all	scaffold-N90	11574744
all	all	all	all	contig-count	76
all	all	all	all	contig-N50	10922705
all	all	all	all	contig-L50	13
all	all	all	all	total-gap-length	6531
all	all	all	all	molecule-count	26
all	all	all	all	top-level-count	49
all	all	all	all	component-count	49
all	all	all	all	gc-perc	34
Primary Assembly	all	all	all	total-length	319989255
Primary Assembly	all	all	all	ungapped-length	319982724
Primary Assembly	all	all	all	scaffold-count	48
Primary Assembly	all	all	all	scaffold-N50	12982002
Primary Assembly	all	all	all	spanned-gaps	27
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	all	gc-perc	34
Primary Assembly	all	all	assembled-molecule	total-length	319186821
Primary Assembly	all	all	assembled-molecule	ungapped-length	319180321
Primary Assembly	all	all	assembled-molecule	scaffold-count	25
Primary Assembly	all	all	assembled-molecule	scaffold-N50	12982002
Primary Assembly	all	all	assembled-molecule	spanned-gaps	26
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	gc-perc	34
Primary Assembly	all	all	unlocalized-scaffold	total-length	161620
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	161589
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	2
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	132855
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	1
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	gc-perc	38.5
Primary Assembly	na	na	unplaced-scaffold	total-length	640814
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	640814
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	21
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	34033
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	gc-perc	41.5
Primary Assembly	1	Chromosome	all	total-length	15058180
Primary Assembly	1	Chromosome	all	ungapped-length	15058180
Primary Assembly	1	Chromosome	all	scaffold-count	1
Primary Assembly	1	Chromosome	all	scaffold-N50	15058180
