# Assembly Statistics Report
# Assembly name:  Jm3101_v1.0
# Organism name:  Juglans microcarpa x Juglans regia (eudicots)
# Isolate:  MS1-56
# Taxid:          2249226
# BioSample:      SAMN09474938
# BioProject:     PRJNA529253
# Submitter:      University of California, Davis
# Date:           2019-04-16
# Assembly type:  haploid (principal pseudohaplotype of diploid)
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    QKZX01
# Assembly method: FALCON v. 0.4.2
# Expected final version: no
# Genome coverage: 47x
# Sequencing technology: PacBio
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_004785595.1
# RefSeq assembly accession: GCF_004785595.1
# RefSeq assembly and GenBank assemblies identical: yes
# Linked assembly: GCA_004785585.1 (alternate pseudohaplotype of diploid)
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_004785615.1	GCF_004785615.1	Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# gc-perc	gc-count/atgc-count as percentage
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	527895757
all	all	all	all	spanned-gaps	54
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	154
all	all	all	all	scaffold-N50	35629462
all	all	all	all	scaffold-L50	7
all	all	all	all	scaffold-N75	27832763
all	all	all	all	scaffold-N90	22373256
all	all	all	all	contig-count	208
all	all	all	all	contig-N50	11553270
all	all	all	all	contig-L50	17
all	all	all	all	total-gap-length	4310200
all	all	all	all	molecule-count	16
all	all	all	all	top-level-count	154
all	all	all	all	component-count	154
all	all	all	all	gc-perc	36.5
Primary Assembly	all	all	all	total-length	527895757
Primary Assembly	all	all	all	ungapped-length	523585557
Primary Assembly	all	all	all	scaffold-count	154
Primary Assembly	all	all	all	scaffold-N50	35629462
Primary Assembly	all	all	all	spanned-gaps	54
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	all	gc-perc	36.5
Primary Assembly	all	all	assembled-molecule	total-length	522780668
Primary Assembly	all	all	assembled-molecule	ungapped-length	518470468
Primary Assembly	all	all	assembled-molecule	scaffold-count	16
Primary Assembly	all	all	assembled-molecule	scaffold-N50	35629462
Primary Assembly	all	all	assembled-molecule	spanned-gaps	54
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	gc-perc	36.5
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	5115089
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	5115089
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	138
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	46982
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	gc-perc	41
Primary Assembly	1D	Chromosome	all	total-length	49856174
Primary Assembly	1D	Chromosome	all	ungapped-length	49642249
Primary Assembly	1D	Chromosome	all	scaffold-count	1
