# Assembly Statistics Report
# Assembly name:  CAU_F1_paternal_1.0
# Organism name:  Ovis ammon polii x Ovis aries (even-toed ungulates)
# Isolate:  F1 hybrid
# Sex:  male
# Taxid:          2918886
# BioSample:      SAMN26012028
# BioProject:     PRJNA808184
# Submitter:      China Agricultural University
# Date:           2022-06-10
# Assembly type:  haploid
# Release type:   major
# Assembly level: Complete Genome
# Genome representation: full
# WGS project:    JALAIX01
# Assembly method: hifisam v. 0.12; NextPolish v. 1.3.0; LACHESIS v. latest
# Expected final version: yes
# Genome coverage: 35.77x
# Sequencing technology: PacBio Sequel II circular consensus sequencing (CCS; HiFi) mode; Illumina NovaSeq
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_023701655.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_023701665.1		Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# gc-perc	gc-count/atgc-count as percentage
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	2647058259
all	all	all	all	spanned-gaps	63
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	28
all	all	all	all	scaffold-N50	104794038
all	all	all	all	scaffold-L50	9
all	all	all	all	scaffold-N75	73864376
all	all	all	all	scaffold-N90	54108781
all	all	all	all	contig-count	91
all	all	all	all	contig-N50	80500000
all	all	all	all	contig-L50	12
all	all	all	all	total-gap-length	6300
all	all	all	all	molecule-count	28
all	all	all	all	top-level-count	28
all	all	all	all	component-count	28
all	all	all	all	gc-perc	43
Primary Assembly	all	all	all	total-length	2647058259
Primary Assembly	all	all	all	ungapped-length	2647051959
Primary Assembly	all	all	all	scaffold-count	28
Primary Assembly	all	all	all	scaffold-N50	104794038
Primary Assembly	all	all	all	spanned-gaps	63
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	all	gc-perc	43
Primary Assembly	all	all	assembled-molecule	total-length	2647058259
Primary Assembly	all	all	assembled-molecule	ungapped-length	2647051959
Primary Assembly	all	all	assembled-molecule	scaffold-count	28
Primary Assembly	all	all	assembled-molecule	scaffold-N50	104794038
Primary Assembly	all	all	assembled-molecule	spanned-gaps	63
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	gc-perc	43
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	Y	Chromosome	all	total-length	30159514
Primary Assembly	Y	Chromosome	all	ungapped-length	30158614
Primary Assembly	Y	Chromosome	all	scaffold-count	1
Primary Assembly	Y	Chromosome	all	scaffold-N50	30159514
Primary Assembly	Y	Chromosome	all	spanned-gaps	9
Primary Assembly	Y	Chromosome	all	unspanned-gaps	0
Primary Assembly	Y	Chromosome	all	gc-perc	43.5
Primary Assembly	Y	Chromosome	assembled-molecule	total-length	30159514
Primary Assembly	Y	Chromosome	assembled-molecule	ungapped-length	30158614
Primary Assembly	Y	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	Y	Chromosome	assembled-molecule	scaffold-N50	30159514
