# Assembly Statistics Report
# Assembly name:  ASM2949068v1
# Organism name:  Schizonepeta tenuifolia (eudicots)
# Infraspecific name:  cultivar=JingJie
# Taxid:          2849020
# BioSample:      SAMN29799125
# BioProject:     PRJNA859855
# Submitter:      Nanjing University of Chinese medicine
# Date:           2023-04-06
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    JANLIY01
# Assembly method: FALCON v. 3.0
# Expected final version: yes
# Genome coverage: 101.0x
# Sequencing technology: PacBio; DNBseq; Hi-C
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_029490685.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_029492825.1		Primary Assembly
## GCA_029493805.1		non-nuclear
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# gc-perc	gc-count/atgc-count as percentage
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	762114881
all	all	all	all	spanned-gaps	939
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	1457
all	all	all	all	scaffold-N50	107001266
all	all	all	all	scaffold-L50	3
all	all	all	all	scaffold-N75	101221630
all	all	all	all	scaffold-N90	100876201
all	all	all	all	contig-count	2396
all	all	all	all	contig-N50	1326458
all	all	all	all	contig-L50	174
all	all	all	all	total-gap-length	469500
all	all	all	all	molecule-count	7
all	all	all	all	top-level-count	1457
all	all	all	all	component-count	1457
all	all	all	all	gc-perc	37.5
Primary Assembly	all	all	all	total-length	762070521
Primary Assembly	all	all	all	ungapped-length	761601021
Primary Assembly	all	all	all	scaffold-count	1452
Primary Assembly	all	all	all	scaffold-N50	107001266
Primary Assembly	all	all	all	spanned-gaps	939
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	all	gc-perc	37.5
Primary Assembly	all	all	assembled-molecule	total-length	696428624
Primary Assembly	all	all	assembled-molecule	ungapped-length	695959124
Primary Assembly	all	all	assembled-molecule	scaffold-count	6
Primary Assembly	all	all	assembled-molecule	scaffold-N50	107001266
Primary Assembly	all	all	assembled-molecule	spanned-gaps	939
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	gc-perc	37.5
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	65641897
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	65641897
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	1446
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	60454
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	gc-perc	38.5
Primary Assembly	1	Chromosome	all	total-length	151179623
