# Assembly Statistics Report
# Assembly name:  iyNomFlav1.1
# Organism name:  Nomada flava (bees)
# Taxid:          601523
# BioSample:      SAMEA10157824
# BioProject:     PRJEB62675
# Submitter:      WELLCOME SANGER INSTITUTE
# Date:           2023-05-30
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    CATOQN01
# Assembly method: various
# Genome coverage: 71x
# Sequencing technology: PacBio,Arima2
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_951802745.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_951802744.1		Primary Assembly
## GCA_951802746.1		non-nuclear
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# gc-perc	gc-count/atgc-count as percentage
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	308446685
all	all	all	all	spanned-gaps	39
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	114
all	all	all	all	scaffold-N50	19641500
all	all	all	all	scaffold-L50	6
all	all	all	all	scaffold-N75	13149200
all	all	all	all	scaffold-N90	5410643
all	all	all	all	contig-count	153
all	all	all	all	contig-N50	12675410
all	all	all	all	contig-L50	9
all	all	all	all	total-gap-length	7800
all	all	all	all	molecule-count	15
all	all	all	all	top-level-count	114
all	all	all	all	component-count	114
all	all	all	all	gc-perc	42.5
Primary Assembly	all	all	all	total-length	308415395
Primary Assembly	all	all	all	ungapped-length	308407595
Primary Assembly	all	all	all	scaffold-count	113
Primary Assembly	all	all	all	scaffold-N50	19641500
Primary Assembly	all	all	all	spanned-gaps	39
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	all	gc-perc	42.5
Primary Assembly	all	all	assembled-molecule	total-length	269582098
Primary Assembly	all	all	assembled-molecule	ungapped-length	269574298
Primary Assembly	all	all	assembled-molecule	scaffold-count	14
Primary Assembly	all	all	assembled-molecule	scaffold-N50	20520400
Primary Assembly	all	all	assembled-molecule	spanned-gaps	39
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	gc-perc	42
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	38833297
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	38833297
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	99
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	2505521
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
