# Assembly Statistics Report
# Assembly name:  ASM432916v1
# Organism name:  Spatholobus suberectus (eudicots)
# Infraspecific name:  cultivar=SS-2018
# Taxid:          455371
# BioSample:      SAMN09721040
# BioProject:     PRJNA482912
# Submitter:      Guangxi Botanical Garden of Medicinal Plants
# Date:           2019-03-07
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    QUWT01
# Assembly method: FALCON v. 3.1
# Expected final version: yes
# Sequencing technology: PacBio Sequel
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_004329165.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_004329245.1		Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# gc-perc	gc-count/atgc-count as percentage
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	798470440
all	all	all	all	spanned-gaps	1151
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	816
all	all	all	all	scaffold-N50	86984808
all	all	all	all	scaffold-L50	5
all	all	all	all	scaffold-N75	79556866
all	all	all	all	scaffold-N90	58394570
all	all	all	all	contig-count	1967
all	all	all	all	contig-N50	2052247
all	all	all	all	contig-L50	114
all	all	all	all	total-gap-length	4382187
all	all	all	all	molecule-count	9
all	all	all	all	top-level-count	816
all	all	all	all	component-count	816
all	all	all	all	gc-perc	31.5
Primary Assembly	all	all	all	total-length	798470440
Primary Assembly	all	all	all	ungapped-length	794088253
Primary Assembly	all	all	all	scaffold-count	816
Primary Assembly	all	all	all	scaffold-N50	86984808
Primary Assembly	all	all	all	spanned-gaps	1151
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	all	gc-perc	31.5
Primary Assembly	all	all	assembled-molecule	total-length	748002332
Primary Assembly	all	all	assembled-molecule	ungapped-length	744041838
Primary Assembly	all	all	assembled-molecule	scaffold-count	9
Primary Assembly	all	all	assembled-molecule	scaffold-N50	87126992
Primary Assembly	all	all	assembled-molecule	spanned-gaps	1068
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	gc-perc	31.5
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	50468108
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	50046415
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	807
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	297025
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	83
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	gc-perc	31.5
Primary Assembly	1	Chromosome	all	total-length	103566353
Primary Assembly	1	Chromosome	all	ungapped-length	103134449
Primary Assembly	1	Chromosome	all	scaffold-count	1
