# Assembly Statistics Report
# Assembly name:  mArvNil1.pat.X
# Organism name:  Arvicanthis niloticus (Nile rat)
# Isolate:  mArvNil1
# Sex:  male
# Taxid:          61156
# BioSample:      SAMN12611849
# BioProject:     PRJNA608735
# Submitter:      Vertebrate Genomes Project
# Date:           2020-03-27
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    JAAOMG01
# Assembly method: TrioCanu v. 1.8; purge_dups v. 1.0.0; Scaff 10x v. 4.1.0; Bionano solve v. 3.2.1_04122018; Salsa2 HiC v. 2.2; Arrow polishing and gap filling v. smrtlink_6.0.0.47841; Freebayes v. 1.3.1; gEVAL manual curation v. 2020-01-16; VGP trio assembly pipeline v. 1.6
# Expected final version: no
# Genome coverage: 60.95x
# Sequencing technology: PacBio Sequel I CLR; Illumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_011762505.1
# RefSeq assembly accession: GCF_011762505.1
# RefSeq assembly and GenBank assemblies identical: no
# Reporting on RefSeq assembly.
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_011762575.1	GCF_011762575.1	Primary Assembly
## GCA_011762585.1		non-nuclear
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# gc-perc	gc-count/atgc-count as percentage
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	2496777707
all	all	all	all	spanned-gaps	1624
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	1596
all	all	all	all	scaffold-N50	82689117
all	all	all	all	scaffold-L50	11
all	all	all	all	scaffold-N75	53135676
all	all	all	all	scaffold-N90	40139754
all	all	all	all	contig-count	3220
all	all	all	all	contig-N50	11143170
all	all	all	all	contig-L50	56
all	all	all	all	total-gap-length	20289527
all	all	all	all	molecule-count	24
all	all	all	all	top-level-count	1596
all	all	all	all	component-count	1596
all	all	all	all	gc-perc	41.5
Primary Assembly	all	all	all	total-length	2496761438
Primary Assembly	all	all	all	ungapped-length	2476471911
Primary Assembly	all	all	all	scaffold-count	1595
Primary Assembly	all	all	all	scaffold-N50	82689117
Primary Assembly	all	all	all	spanned-gaps	1624
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	all	gc-perc	41.5
Primary Assembly	all	all	assembled-molecule	total-length	2026043516
Primary Assembly	all	all	assembled-molecule	ungapped-length	2015497713
Primary Assembly	all	all	assembled-molecule	scaffold-count	22
Primary Assembly	all	all	assembled-molecule	scaffold-N50	91426705
Primary Assembly	all	all	assembled-molecule	spanned-gaps	979
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	gc-perc	41
Primary Assembly	all	all	unlocalized-scaffold	total-length	29816896
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	25657120
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	4
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	6376363
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	106
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	gc-perc	40
Primary Assembly	na	na	unplaced-scaffold	total-length	440901026
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	435317078
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	1569
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	40139754
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	539
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	gc-perc	42.5
Primary Assembly	1	Chromosome	all	total-length	167116563
Primary Assembly	1	Chromosome	all	ungapped-length	166495568
Primary Assembly	1	Chromosome	all	scaffold-count	1
Primary Assembly	1	Chromosome	all	scaffold-N50	167116563
Primary Assembly	1	Chromosome	all	spanned-gaps	50
Primary Assembly	1	Chromosome	all	unspanned-gaps	0
Primary Assembly	1	Chromosome	all	gc-perc	42.5
Primary Assembly	1	Chromosome	assembled-molecule	total-length	167116563
