# Assembly Statistics Report
# Assembly name:  ASM1421772v1
# Organism name:  Nakaseomyces glabratus (budding yeasts)
# Infraspecific name:  strain=BG2
# Taxid:          5478
# BioSample:      SAMN13836662
# BioProject:     PRJNA600925
# Submitter:      Johns Hopkins Medical Institution
# Date:           2020-08-17
# Assembly type:  haploid
# Release type:   major
# Assembly level: Complete Genome
# Genome representation: full
# Assembly method: Canu v. 1.5
# Expected final version: yes
# Genome coverage: 40.0x
# Sequencing technology: PacBio RSII
# GenBank assembly accession: GCA_014217725.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_014217735.1		Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# gc-perc	gc-count/atgc-count as percentage
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	12696838
all	all	all	all	spanned-gaps	0
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	13
all	all	all	all	scaffold-N50	1058141
all	all	all	all	scaffold-L50	5
all	all	all	all	scaffold-N75	759829
all	all	all	all	scaffold-N90	554850
all	all	all	all	total-gap-length	0
all	all	all	all	molecule-count	13
all	all	all	all	top-level-count	13
all	all	all	all	component-count	13
all	all	all	all	gc-perc	39
Primary Assembly	all	all	all	total-length	12696838
Primary Assembly	all	all	all	ungapped-length	12696838
Primary Assembly	all	all	all	scaffold-count	13
Primary Assembly	all	all	all	scaffold-N50	1058141
Primary Assembly	all	all	all	spanned-gaps	0
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	all	gc-perc	39
Primary Assembly	all	all	assembled-molecule	total-length	12696838
Primary Assembly	all	all	assembled-molecule	ungapped-length	12696838
Primary Assembly	all	all	assembled-molecule	scaffold-count	13
Primary Assembly	all	all	assembled-molecule	scaffold-N50	1058141
Primary Assembly	all	all	assembled-molecule	spanned-gaps	0
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	gc-perc	39
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	A	Chromosome	all	total-length	510173
Primary Assembly	A	Chromosome	all	ungapped-length	510173
Primary Assembly	A	Chromosome	all	scaffold-count	1
Primary Assembly	A	Chromosome	all	scaffold-N50	510173
Primary Assembly	A	Chromosome	all	spanned-gaps	0
Primary Assembly	A	Chromosome	all	unspanned-gaps	0
Primary Assembly	A	Chromosome	all	gc-perc	40.5
Primary Assembly	A	Chromosome	assembled-molecule	total-length	510173
Primary Assembly	A	Chromosome	assembled-molecule	ungapped-length	510173
Primary Assembly	A	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	A	Chromosome	assembled-molecule	scaffold-N50	510173
Primary Assembly	A	Chromosome	assembled-molecule	spanned-gaps	0
Primary Assembly	A	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	A	Chromosome	assembled-molecule	gc-perc	40.5
Primary Assembly	A	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	A	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	A	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	A	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	A	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	A	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	B	Chromosome	all	total-length	514772
Primary Assembly	B	Chromosome	all	ungapped-length	514772
Primary Assembly	B	Chromosome	all	scaffold-count	1
Primary Assembly	B	Chromosome	all	scaffold-N50	514772
Primary Assembly	B	Chromosome	all	spanned-gaps	0
Primary Assembly	B	Chromosome	all	unspanned-gaps	0
Primary Assembly	B	Chromosome	all	gc-perc	39
Primary Assembly	B	Chromosome	assembled-molecule	total-length	514772
Primary Assembly	B	Chromosome	assembled-molecule	ungapped-length	514772
Primary Assembly	B	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	B	Chromosome	assembled-molecule	scaffold-N50	514772
Primary Assembly	B	Chromosome	assembled-molecule	spanned-gaps	0
Primary Assembly	B	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	B	Chromosome	assembled-molecule	gc-perc	39
Primary Assembly	B	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	B	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	B	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	B	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	B	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	B	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	C	Chromosome	all	total-length	554850
Primary Assembly	C	Chromosome	all	ungapped-length	554850
Primary Assembly	C	Chromosome	all	scaffold-count	1
Primary Assembly	C	Chromosome	all	scaffold-N50	554850
Primary Assembly	C	Chromosome	all	spanned-gaps	0
Primary Assembly	C	Chromosome	all	unspanned-gaps	0
Primary Assembly	C	Chromosome	all	gc-perc	40
Primary Assembly	C	Chromosome	assembled-molecule	total-length	554850
Primary Assembly	C	Chromosome	assembled-molecule	ungapped-length	554850
Primary Assembly	C	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	C	Chromosome	assembled-molecule	scaffold-N50	554850
Primary Assembly	C	Chromosome	assembled-molecule	spanned-gaps	0
Primary Assembly	C	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	C	Chromosome	assembled-molecule	gc-perc	40
Primary Assembly	C	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	C	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	C	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	C	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	C	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	C	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	D	Chromosome	all	total-length	702307
Primary Assembly	D	Chromosome	all	ungapped-length	702307
Primary Assembly	D	Chromosome	all	scaffold-count	1
Primary Assembly	D	Chromosome	all	scaffold-N50	702307
Primary Assembly	D	Chromosome	all	spanned-gaps	0
Primary Assembly	D	Chromosome	all	unspanned-gaps	0
Primary Assembly	D	Chromosome	all	gc-perc	39.5
Primary Assembly	D	Chromosome	assembled-molecule	total-length	702307
Primary Assembly	D	Chromosome	assembled-molecule	ungapped-length	702307
Primary Assembly	D	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	D	Chromosome	assembled-molecule	scaffold-N50	702307
Primary Assembly	D	Chromosome	assembled-molecule	spanned-gaps	0
Primary Assembly	D	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	D	Chromosome	assembled-molecule	gc-perc	39.5
Primary Assembly	D	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	D	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	D	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	D	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	D	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	D	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	E	Chromosome	all	total-length	708771
Primary Assembly	E	Chromosome	all	ungapped-length	708771
Primary Assembly	E	Chromosome	all	scaffold-count	1
Primary Assembly	E	Chromosome	all	scaffold-N50	708771
Primary Assembly	E	Chromosome	all	spanned-gaps	0
Primary Assembly	E	Chromosome	all	unspanned-gaps	0
Primary Assembly	E	Chromosome	all	gc-perc	39.5
Primary Assembly	E	Chromosome	assembled-molecule	total-length	708771
Primary Assembly	E	Chromosome	assembled-molecule	ungapped-length	708771
Primary Assembly	E	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	E	Chromosome	assembled-molecule	scaffold-N50	708771
Primary Assembly	E	Chromosome	assembled-molecule	spanned-gaps	0
Primary Assembly	E	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	E	Chromosome	assembled-molecule	gc-perc	39.5
Primary Assembly	E	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	E	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	E	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	E	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	E	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	E	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	F	Chromosome	all	total-length	940328
Primary Assembly	F	Chromosome	all	ungapped-length	940328
Primary Assembly	F	Chromosome	all	scaffold-count	1
Primary Assembly	F	Chromosome	all	scaffold-N50	940328
Primary Assembly	F	Chromosome	all	spanned-gaps	0
Primary Assembly	F	Chromosome	all	unspanned-gaps	0
Primary Assembly	F	Chromosome	all	gc-perc	38.5
Primary Assembly	F	Chromosome	assembled-molecule	total-length	940328
Primary Assembly	F	Chromosome	assembled-molecule	ungapped-length	940328
Primary Assembly	F	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	F	Chromosome	assembled-molecule	scaffold-N50	940328
Primary Assembly	F	Chromosome	assembled-molecule	spanned-gaps	0
Primary Assembly	F	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	F	Chromosome	assembled-molecule	gc-perc	38.5
Primary Assembly	F	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	F	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	F	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	F	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	F	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	F	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	G	Chromosome	all	total-length	1010829
Primary Assembly	G	Chromosome	all	ungapped-length	1010829
Primary Assembly	G	Chromosome	all	scaffold-count	1
Primary Assembly	G	Chromosome	all	scaffold-N50	1010829
Primary Assembly	G	Chromosome	all	spanned-gaps	0
Primary Assembly	G	Chromosome	all	unspanned-gaps	0
Primary Assembly	G	Chromosome	all	gc-perc	39
Primary Assembly	G	Chromosome	assembled-molecule	total-length	1010829
Primary Assembly	G	Chromosome	assembled-molecule	ungapped-length	1010829
Primary Assembly	G	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	G	Chromosome	assembled-molecule	scaffold-N50	1010829
Primary Assembly	G	Chromosome	assembled-molecule	spanned-gaps	0
Primary Assembly	G	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	G	Chromosome	assembled-molecule	gc-perc	39
Primary Assembly	G	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	G	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	G	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	G	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	G	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	G	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	H	Chromosome	all	total-length	1058141
