# Assembly Statistics Report
# Assembly name:  ilEpiRame1.1
# Organism name:  Epinotia ramella (moths)
# Taxid:          1594296
# BioSample:      SAMEA7746614
# BioProject:     PRJEB58281
# Submitter:      WELLCOME SANGER INSTITUTE
# Date:           2022-12-18
# Assembly type:  haploid (principal pseudohaplotype of diploid)
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    CANPUT01
# Assembly method: various
# Genome coverage: 31x
# Sequencing technology: PacBio,Illumina,Arima2
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_947578815.1
# Linked assembly: GCA_947580245.1 (alternate pseudohaplotype of diploid)
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_947578814.1		Primary Assembly
## GCA_947578816.1		non-nuclear
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# gc-perc	gc-count/atgc-count as percentage
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	781992136
all	all	all	all	spanned-gaps	72
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	151
all	all	all	all	scaffold-N50	27488655
all	all	all	all	scaffold-L50	12
all	all	all	all	scaffold-N75	23619777
all	all	all	all	scaffold-N90	16504716
all	all	all	all	contig-count	223
all	all	all	all	contig-N50	13995162
all	all	all	all	contig-L50	19
all	all	all	all	total-gap-length	14400
all	all	all	all	molecule-count	29
all	all	all	all	top-level-count	151
all	all	all	all	component-count	151
all	all	all	all	gc-perc	39
Primary Assembly	all	all	all	total-length	781976700
Primary Assembly	all	all	all	ungapped-length	781962300
Primary Assembly	all	all	all	scaffold-count	150
Primary Assembly	all	all	all	scaffold-N50	27488655
Primary Assembly	all	all	all	spanned-gaps	72
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	all	gc-perc	39
Primary Assembly	all	all	assembled-molecule	total-length	746936677
Primary Assembly	all	all	assembled-molecule	ungapped-length	746922277
Primary Assembly	all	all	assembled-molecule	scaffold-count	28
Primary Assembly	all	all	assembled-molecule	scaffold-N50	27862344
Primary Assembly	all	all	assembled-molecule	spanned-gaps	72
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	gc-perc	39
Primary Assembly	all	all	unlocalized-scaffold	total-length	117558
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	117558
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	1
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	117558
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	gc-perc	40
Primary Assembly	na	na	unplaced-scaffold	total-length	34922465
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	34922465
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	121
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	576904
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	gc-perc	40.5
Primary Assembly	1	Chromosome	all	total-length	45624181
Primary Assembly	1	Chromosome	all	ungapped-length	45623581
Primary Assembly	1	Chromosome	all	scaffold-count	1
Primary Assembly	1	Chromosome	all	scaffold-N50	45624181
Primary Assembly	1	Chromosome	all	spanned-gaps	3
Primary Assembly	1	Chromosome	all	unspanned-gaps	0
Primary Assembly	1	Chromosome	all	gc-perc	38.5
