# Assembly Statistics Report
# Assembly name:  Pisum_sativum_v1a
# Organism name:  Pisum sativum (garden pea)
# Taxid:          3888
# BioSample:      SAMEA5358931
# BioProject:     PRJEB31320
# Submitter:      Genoscope CEA
# Date:           2019-07-18
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    CAADHX02
# Genome coverage: 150x
# GenBank assembly accession: GCA_900700895.2
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_900700894.2		Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# gc-perc	gc-count/atgc-count as percentage
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	3920131294
all	all	all	all	spanned-gaps	237306
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	14273
all	all	all	all	scaffold-N50	446350677
all	all	all	all	scaffold-L50	4
all	all	all	all	scaffold-N75	372165146
all	all	all	all	scaffold-N90	158103
all	all	all	all	contig-count	251573
all	all	all	all	contig-N50	37021
all	all	all	all	contig-L50	24996
all	all	all	all	total-gap-length	760591735
all	all	all	all	molecule-count	7
all	all	all	all	top-level-count	14273
all	all	all	all	component-count	24623
all	all	all	all	gc-perc	37.5
Primary Assembly	all	all	all	total-length	3920131294
Primary Assembly	all	all	all	ungapped-length	3159539559
Primary Assembly	all	all	all	scaffold-count	14273
Primary Assembly	all	all	all	scaffold-N50	446350677
Primary Assembly	all	all	all	spanned-gaps	237306
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	all	gc-perc	37.5
Primary Assembly	all	all	assembled-molecule	total-length	3234741624
Primary Assembly	all	all	assembled-molecule	ungapped-length	2587403260
Primary Assembly	all	all	assembled-molecule	scaffold-count	7
Primary Assembly	all	all	assembled-molecule	scaffold-N50	446350677
Primary Assembly	all	all	assembled-molecule	spanned-gaps	192141
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	gc-perc	37.5
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	685389670
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	572136299
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	14266
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	136387
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	45165
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	gc-perc	38
Primary Assembly	1LG6	Chromosome	all	total-length	372165146
Primary Assembly	1LG6	Chromosome	all	ungapped-length	310578806
Primary Assembly	1LG6	Chromosome	all	scaffold-count	1
Primary Assembly	1LG6	Chromosome	all	scaffold-N50	372165146
Primary Assembly	1LG6	Chromosome	all	spanned-gaps	21687
Primary Assembly	1LG6	Chromosome	all	unspanned-gaps	0
Primary Assembly	1LG6	Chromosome	all	gc-perc	37
Primary Assembly	1LG6	Chromosome	assembled-molecule	total-length	372165146
Primary Assembly	1LG6	Chromosome	assembled-molecule	ungapped-length	310578806
Primary Assembly	1LG6	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	1LG6	Chromosome	assembled-molecule	scaffold-N50	372165146
Primary Assembly	1LG6	Chromosome	assembled-molecule	spanned-gaps	21687
Primary Assembly	1LG6	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	1LG6	Chromosome	assembled-molecule	gc-perc	37
Primary Assembly	1LG6	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	1LG6	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	1LG6	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	1LG6	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	1LG6	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	1LG6	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	2LG1	Chromosome	all	total-length	427597918
Primary Assembly	2LG1	Chromosome	all	ungapped-length	335978987
Primary Assembly	2LG1	Chromosome	all	scaffold-count	1
Primary Assembly	2LG1	Chromosome	all	scaffold-N50	427597918
Primary Assembly	2LG1	Chromosome	all	spanned-gaps	25244
Primary Assembly	2LG1	Chromosome	all	unspanned-gaps	0
Primary Assembly	2LG1	Chromosome	all	gc-perc	38
Primary Assembly	2LG1	Chromosome	assembled-molecule	total-length	427597918
Primary Assembly	2LG1	Chromosome	assembled-molecule	ungapped-length	335978987
Primary Assembly	2LG1	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	2LG1	Chromosome	assembled-molecule	scaffold-N50	427597918
Primary Assembly	2LG1	Chromosome	assembled-molecule	spanned-gaps	25244
Primary Assembly	2LG1	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	2LG1	Chromosome	assembled-molecule	gc-perc	38
Primary Assembly	2LG1	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	2LG1	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	2LG1	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	2LG1	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	2LG1	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	2LG1	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	3LG5	Chromosome	all	total-length	437560801
Primary Assembly	3LG5	Chromosome	all	ungapped-length	345181198
Primary Assembly	3LG5	Chromosome	all	scaffold-count	1
Primary Assembly	3LG5	Chromosome	all	scaffold-N50	437560801
Primary Assembly	3LG5	Chromosome	all	spanned-gaps	26497
Primary Assembly	3LG5	Chromosome	all	unspanned-gaps	0
Primary Assembly	3LG5	Chromosome	all	gc-perc	37.5
Primary Assembly	3LG5	Chromosome	assembled-molecule	total-length	437560801
Primary Assembly	3LG5	Chromosome	assembled-molecule	ungapped-length	345181198
Primary Assembly	3LG5	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	3LG5	Chromosome	assembled-molecule	scaffold-N50	437560801
Primary Assembly	3LG5	Chromosome	assembled-molecule	spanned-gaps	26497
Primary Assembly	3LG5	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	3LG5	Chromosome	assembled-molecule	gc-perc	37.5
Primary Assembly	3LG5	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	3LG5	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	3LG5	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	3LG5	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	3LG5	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	3LG5	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	4LG4	Chromosome	all	total-length	446350677
Primary Assembly	4LG4	Chromosome	all	ungapped-length	356390732
Primary Assembly	4LG4	Chromosome	all	scaffold-count	1
Primary Assembly	4LG4	Chromosome	all	scaffold-N50	446350677
Primary Assembly	4LG4	Chromosome	all	spanned-gaps	26491
Primary Assembly	4LG4	Chromosome	all	unspanned-gaps	0
Primary Assembly	4LG4	Chromosome	all	gc-perc	37.5
Primary Assembly	4LG4	Chromosome	assembled-molecule	total-length	446350677
Primary Assembly	4LG4	Chromosome	assembled-molecule	ungapped-length	356390732
Primary Assembly	4LG4	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	4LG4	Chromosome	assembled-molecule	scaffold-N50	446350677
Primary Assembly	4LG4	Chromosome	assembled-molecule	spanned-gaps	26491
Primary Assembly	4LG4	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	4LG4	Chromosome	assembled-molecule	gc-perc	37.5
Primary Assembly	4LG4	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	4LG4	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	4LG4	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	4LG4	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	4LG4	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	4LG4	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	5LG3	Chromosome	all	total-length	579269071
Primary Assembly	5LG3	Chromosome	all	ungapped-length	465809715
Primary Assembly	5LG3	Chromosome	all	scaffold-count	1
Primary Assembly	5LG3	Chromosome	all	scaffold-N50	579269071
Primary Assembly	5LG3	Chromosome	all	spanned-gaps	34353
Primary Assembly	5LG3	Chromosome	all	unspanned-gaps	0
Primary Assembly	5LG3	Chromosome	all	gc-perc	37.5
Primary Assembly	5LG3	Chromosome	assembled-molecule	total-length	579269071
Primary Assembly	5LG3	Chromosome	assembled-molecule	ungapped-length	465809715
Primary Assembly	5LG3	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	5LG3	Chromosome	assembled-molecule	scaffold-N50	579269071
Primary Assembly	5LG3	Chromosome	assembled-molecule	spanned-gaps	34353
Primary Assembly	5LG3	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	5LG3	Chromosome	assembled-molecule	gc-perc	37.5
Primary Assembly	5LG3	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	5LG3	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	5LG3	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	5LG3	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	5LG3	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	5LG3	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	6LG2	Chromosome	all	total-length	480417049
Primary Assembly	6LG2	Chromosome	all	ungapped-length	382202527
Primary Assembly	6LG2	Chromosome	all	scaffold-count	1
Primary Assembly	6LG2	Chromosome	all	scaffold-N50	480417049
Primary Assembly	6LG2	Chromosome	all	spanned-gaps	27913
Primary Assembly	6LG2	Chromosome	all	unspanned-gaps	0
Primary Assembly	6LG2	Chromosome	all	gc-perc	37.5
Primary Assembly	6LG2	Chromosome	assembled-molecule	total-length	480417049
Primary Assembly	6LG2	Chromosome	assembled-molecule	ungapped-length	382202527
Primary Assembly	6LG2	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	6LG2	Chromosome	assembled-molecule	scaffold-N50	480417049
Primary Assembly	6LG2	Chromosome	assembled-molecule	spanned-gaps	27913
Primary Assembly	6LG2	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	6LG2	Chromosome	assembled-molecule	gc-perc	37.5
Primary Assembly	6LG2	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	6LG2	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	6LG2	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	6LG2	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	6LG2	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	6LG2	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	7LG7	Chromosome	all	total-length	491380962
Primary Assembly	7LG7	Chromosome	all	ungapped-length	391261295
Primary Assembly	7LG7	Chromosome	all	scaffold-count	1
Primary Assembly	7LG7	Chromosome	all	scaffold-N50	491380962
Primary Assembly	7LG7	Chromosome	all	spanned-gaps	29956
Primary Assembly	7LG7	Chromosome	all	unspanned-gaps	0
Primary Assembly	7LG7	Chromosome	all	gc-perc	37.5
Primary Assembly	7LG7	Chromosome	assembled-molecule	total-length	491380962
Primary Assembly	7LG7	Chromosome	assembled-molecule	ungapped-length	391261295
Primary Assembly	7LG7	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	7LG7	Chromosome	assembled-molecule	scaffold-N50	491380962
Primary Assembly	7LG7	Chromosome	assembled-molecule	spanned-gaps	29956
Primary Assembly	7LG7	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	7LG7	Chromosome	assembled-molecule	gc-perc	37.5
Primary Assembly	7LG7	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	7LG7	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	7LG7	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	7LG7	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	7LG7	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	7LG7	Chromosome	unlocalized-scaffold	unspanned-gaps	0
