# Assembly Statistics Report
# Assembly name:  ilScoBipu1.1
# Organism name:  Scotopteryx bipunctaria (moths)
# Taxid:          987009
# BioSample:      SAMEA111458816
# BioProject:     PRJEB60251
# Submitter:      WELLCOME SANGER INSTITUTE
# Date:           2023-03-10
# Assembly type:  haploid (principal pseudohaplotype of diploid)
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    CASGHS01
# Assembly method: various
# Genome coverage: 90x
# Sequencing technology: PacBio,Arima2
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_949320045.1
# Linked assembly: GCA_949319305.1 (alternate pseudohaplotype of diploid)
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_949320044.1		Primary Assembly
## GCA_949320046.1		non-nuclear
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# gc-perc	gc-count/atgc-count as percentage
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	326465721
all	all	all	all	spanned-gaps	30
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	46
all	all	all	all	scaffold-N50	11591880
all	all	all	all	scaffold-L50	13
all	all	all	all	scaffold-N75	10201210
all	all	all	all	scaffold-N90	7684000
all	all	all	all	contig-count	76
all	all	all	all	contig-N50	7806198
all	all	all	all	contig-L50	16
all	all	all	all	total-gap-length	6000
all	all	all	all	molecule-count	32
all	all	all	all	top-level-count	46
all	all	all	all	component-count	46
all	all	all	all	gc-perc	38.5
Primary Assembly	all	all	all	total-length	326449338
Primary Assembly	all	all	all	ungapped-length	326443338
Primary Assembly	all	all	all	scaffold-count	45
Primary Assembly	all	all	all	scaffold-N50	11591880
Primary Assembly	all	all	all	spanned-gaps	30
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	all	gc-perc	38.5
Primary Assembly	all	all	assembled-molecule	total-length	325882999
Primary Assembly	all	all	assembled-molecule	ungapped-length	325876999
Primary Assembly	all	all	assembled-molecule	scaffold-count	31
Primary Assembly	all	all	assembled-molecule	scaffold-N50	11591880
Primary Assembly	all	all	assembled-molecule	spanned-gaps	30
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	gc-perc	38.5
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	566339
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	566339
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	14
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	50000
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	gc-perc	47
Primary Assembly	1	Chromosome	all	total-length	13927231
