# Assembly Statistics Report
# Assembly name:  daLigVulg1.1
# Organism name:  Ligustrum vulgare (common privet)
# Taxid:          13597
# BioSample:      SAMEA7535976
# BioProject:     PRJEB66504
# Submitter:      WELLCOME SANGER INSTITUTE
# Date:           2023-10-05
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    CAUVWQ01
# Assembly method: various
# Genome coverage: 34x
# Sequencing technology: PacBio,Arima2
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_963555705.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_963555704.1		Primary Assembly
## GCA_963555706.1		non-nuclear
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# gc-perc	gc-count/atgc-count as percentage
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	1385159111
all	all	all	all	spanned-gaps	181
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	52
all	all	all	all	scaffold-N50	62494563
all	all	all	all	scaffold-L50	10
all	all	all	all	scaffold-N75	54173994
all	all	all	all	scaffold-N90	45303176
all	all	all	all	contig-count	233
all	all	all	all	contig-N50	11361039
all	all	all	all	contig-L50	38
all	all	all	all	total-gap-length	36200
all	all	all	all	molecule-count	26
all	all	all	all	top-level-count	52
all	all	all	all	component-count	52
all	all	all	all	gc-perc	34
Primary Assembly	all	all	all	total-length	1384034573
Primary Assembly	all	all	all	ungapped-length	1383998373
Primary Assembly	all	all	all	scaffold-count	49
Primary Assembly	all	all	all	scaffold-N50	62494563
Primary Assembly	all	all	all	spanned-gaps	181
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	all	gc-perc	34
Primary Assembly	all	all	assembled-molecule	total-length	1380735798
Primary Assembly	all	all	assembled-molecule	ungapped-length	1380699598
Primary Assembly	all	all	assembled-molecule	scaffold-count	23
Primary Assembly	all	all	assembled-molecule	scaffold-N50	62494563
Primary Assembly	all	all	assembled-molecule	spanned-gaps	181
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	gc-perc	34
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	3298775
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	3298775
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	26
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	137000
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	gc-perc	31.5
Primary Assembly	1	Chromosome	all	total-length	100421371
Primary Assembly	1	Chromosome	all	ungapped-length	100419371
Primary Assembly	1	Chromosome	all	scaffold-count	1
Primary Assembly	1	Chromosome	all	scaffold-N50	100421371
Primary Assembly	1	Chromosome	all	spanned-gaps	10
