# Assembly Statistics Report
# Assembly name:  wcLumRube1.1
# Organism name:  Lumbricus rubellus (humus earthworm)
# Taxid:          35632
# BioSample:      SAMEA7524021
# BioProject:     PRJEB54837
# Submitter:      WELLCOME SANGER INSTITUTE
# Date:           2022-09-13
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    CAMAOG01
# Genome coverage: 30x
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_945859605.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_945859604.1		Primary Assembly
## GCA_945859606.1		non-nuclear
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# gc-perc	gc-count/atgc-count as percentage
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	787530981
all	all	all	all	spanned-gaps	1880
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	381
all	all	all	all	scaffold-N50	41365854
all	all	all	all	scaffold-L50	8
all	all	all	all	scaffold-N75	34731788
all	all	all	all	scaffold-N90	33209857
all	all	all	all	contig-count	2261
all	all	all	all	contig-N50	709756
all	all	all	all	contig-L50	337
all	all	all	all	total-gap-length	376000
all	all	all	all	molecule-count	19
all	all	all	all	top-level-count	381
all	all	all	all	component-count	381
all	all	all	all	gc-perc	40.5
Primary Assembly	all	all	all	total-length	787515170
Primary Assembly	all	all	all	ungapped-length	787139170
Primary Assembly	all	all	all	scaffold-count	380
Primary Assembly	all	all	all	scaffold-N50	41365854
Primary Assembly	all	all	all	spanned-gaps	1880
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	all	gc-perc	40.5
Primary Assembly	all	all	assembled-molecule	total-length	775786089
Primary Assembly	all	all	assembled-molecule	ungapped-length	775410089
Primary Assembly	all	all	assembled-molecule	scaffold-count	18
Primary Assembly	all	all	assembled-molecule	scaffold-N50	41365854
Primary Assembly	all	all	assembled-molecule	spanned-gaps	1880
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	gc-perc	40.5
Primary Assembly	all	all	unlocalized-scaffold	total-length	180039
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	180039
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	3
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	59683
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	gc-perc	41.5
Primary Assembly	na	na	unplaced-scaffold	total-length	11549042
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	11549042
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	359
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	37333
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	gc-perc	43
Primary Assembly	1	Chromosome	all	total-length	68399915
Primary Assembly	1	Chromosome	all	ungapped-length	68369715
Primary Assembly	1	Chromosome	all	scaffold-count	1
Primary Assembly	1	Chromosome	all	scaffold-N50	68399915
Primary Assembly	1	Chromosome	all	spanned-gaps	151
Primary Assembly	1	Chromosome	all	unspanned-gaps	0
Primary Assembly	1	Chromosome	all	gc-perc	40
Primary Assembly	1	Chromosome	assembled-molecule	total-length	68399915
Primary Assembly	1	Chromosome	assembled-molecule	ungapped-length	68369715
Primary Assembly	1	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	1	Chromosome	assembled-molecule	scaffold-N50	68399915
Primary Assembly	1	Chromosome	assembled-molecule	spanned-gaps	151
Primary Assembly	1	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	1	Chromosome	assembled-molecule	gc-perc	40
Primary Assembly	1	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	2	Chromosome	all	total-length	62939490
Primary Assembly	2	Chromosome	all	ungapped-length	62912290
Primary Assembly	2	Chromosome	all	scaffold-count	1
Primary Assembly	2	Chromosome	all	scaffold-N50	62939490
Primary Assembly	2	Chromosome	all	spanned-gaps	136
Primary Assembly	2	Chromosome	all	unspanned-gaps	0
Primary Assembly	2	Chromosome	all	gc-perc	40.5
Primary Assembly	2	Chromosome	assembled-molecule	total-length	62939490
Primary Assembly	2	Chromosome	assembled-molecule	ungapped-length	62912290
Primary Assembly	2	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	2	Chromosome	assembled-molecule	scaffold-N50	62939490
Primary Assembly	2	Chromosome	assembled-molecule	spanned-gaps	136
Primary Assembly	2	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	2	Chromosome	assembled-molecule	gc-perc	40.5
Primary Assembly	2	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	3	Chromosome	all	total-length	56539518
Primary Assembly	3	Chromosome	all	ungapped-length	56515518
Primary Assembly	3	Chromosome	all	scaffold-count	1
Primary Assembly	3	Chromosome	all	scaffold-N50	56539518
